PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30677048","Association between vaginal washing and vaginal bacterial concentrations","Sabo MC, Balkus JE, Richardson BA, Srinivasan S, Kimani J, Anzala O, Schwebke J, Feidler TL, Fredricks DN, McClelland RS.","PLoS One. 2019 Jan 24;14(1):e0210825. doi: 10.1371/journal.pone.0210825. eCollection 2019.","Sabo MC","PLoS One","2019","2019/01/25","PMC6345501","","10.1371/journal.pone.0210825"
"20091319","Lbx1 expression and frog limb development","Sabo MC, Nath K, Elinson RP.","Dev Genes Evol. 2009 Dec;219(11-12):609-12. doi: 10.1007/s00427-009-0314-8. Epub 2010 Jan 21.","Sabo MC","Dev Genes Evol","2009","2010/01/22","","","10.1007/s00427-009-0314-8"
"36945124","Next generation sequencing to examine associations between vaginal washing and vaginal microbiota: A cohort study","Sabo MC, Balkus JE, Richardson BA, Srinivasan S, Kimani J, Anzala O, Schwebke J, Fiedler TL, Fredricks DN, McClelland RS.","Int J STD AIDS. 2023 Jul;34(8):557-566. doi: 10.1177/09564624231160806. Epub 2023 Mar 21.","Sabo MC","Int J STD AIDS","2023","2023/03/22","","","10.1177/09564624231160806"
"22078164","Hepatitis C virus epitope exposure and neutralization by antibodies is affected by time and temperature","Sabo MC, Luca VC, Ray SC, Bukh J, Fremont DH, Diamond MS.","Virology. 2012 Jan 20;422(2):174-84. doi: 10.1016/j.virol.2011.10.023. Epub 2011 Nov 12.","Sabo MC","Virology","2012","2011/11/15","PMC3356770","NIHMS335066","10.1016/j.virol.2011.10.023"
"31048629","Does bacterial vaginosis modify the effect of hormonal contraception on HIV seroconversion","Sabo MC, Richardson BA, Lavreys L, Martin HL Jr, Jaoko W, Mandaliya K, Baeten JM, Overbaugh J, McClelland RS.","AIDS. 2019 Jun 1;33(7):1225-1230. doi: 10.1097/QAD.0000000000002167.","Sabo MC","AIDS","2019","2019/05/04","PMC6501800","NIHMS1520495","10.1097/QAD.0000000000002167"
"37207618","Changes in vaginal bacteria and inflammatory mediators from periconception through early-postpartum in a cohort of HIV-negative Kenyan women","Sabo MC, Lokken EM, Srinivasan S, Kinuthia J, Richardson BA, Fiedler TL, Munch M, Proll S, Salano C, John-Stewart G, Jaoko W, Fredricks DN, McClelland RS.","J Infect Dis. 2023 May 19:jiad168. doi: 10.1093/infdis/jiad168. Online ahead of print.","Sabo MC","J Infect Dis","2023","2023/05/19","","","10.1093/infdis/jiad168"
"36823694","MUC5AC genetic variation is associated with tuberculous meningitis CSF cytokine responses and mortality","Sabo MC, Thuong NTT, Chang X, Ardiansyah E, Tram TTB, Hai HT, Nghia HDT, Bang ND, Dian S, Ganiem AR, Shaporifar S, Kumar V, Li Z, Hibberd M, Khor CC, Thwaites GE, Heemskerk D, van Laarhoven A, van Crevel R, Dunstan SJ, Shah JA.","J Infect Dis. 2023 Feb 24:jiad050. doi: 10.1093/infdis/jiad050. Online ahead of print.","Sabo MC","J Infect Dis","2023","2023/02/24","","","10.1093/infdis/jiad050"
"32701583","Elevation of cervical C-X-C motif chemokine ligand 10 levels is associated with HIV-1 acquisition in pregnant and postpartum women","Sabo MC, Lehman DA, Pintye JC, Wang B, Drake AL, Kinuthia J, Osborn L, Matemo D, Richardson BA, Overbaugh J, John-Stewart G, Graham SM.","AIDS. 2020 Oct 1;34(12):1725-1733. doi: 10.1097/QAD.0000000000002613.","Sabo MC","AIDS","2020","2020/07/24","PMC7964249","NIHMS1619085","10.1097/QAD.0000000000002613"
"31723573","Back Pain in a 23-Year-Old Male With X-Linked Chronic Granulomatous Disease","Sabo MC, Blain M, McCulloch D, Glasgow HL, Sengupta DJ, Le T, Cookson BT, Pottinger PS, Liles WC, Graham SM.","Open Forum Infect Dis. 2019 Oct 18;6(11):ofz449. doi: 10.1093/ofid/ofz449. eCollection 2019 Nov.","Sabo MC","Open Forum Infect Dis","2019","2019/11/15","PMC6834088","","10.1093/ofid/ofz449"
"31197065","Associations between vaginal bacteria implicated in HIV acquisition risk and proinflammatory cytokines and chemokines","Sabo MC, Lehman DA, Wang B, Richardson BA, Srinivasan S, Osborn L, Matemo D, Kinuthia J, Fiedler TL, Munch MM, Drake AL, Fredricks DN, Overbaugh J, John-Stewart G, McClelland RS, Graham SM.","Sex Transm Infect. 2020 Feb;96(1):3-9. doi: 10.1136/sextrans-2018-053949. Epub 2019 Jun 13.","Sabo MC","Sex Transm Infect","2020","2019/06/15","PMC6920574","NIHMS1050131","10.1136/sextrans-2018-053949"
