PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34937145","Early Remdesivir to Prevent Progression to Severe Covid-19 in Outpatients","Gottlieb RL, Vaca CE, Paredes R, Mera J, Webb BJ, Perez G, Oguchi G, Ryan P, Nielsen BU, Brown M, Hidalgo A, Sachdeva Y, Mittal S, Osiyemi O, Skarbinski J, Juneja K, Hyland RH, Osinusi A, Chen S, Camus G, Abdelghany M, Davies S, Behenna-Renton N, Duff F, Marty FM, Katz MJ, Ginde AA, Brown SM, Schiffer JT, Hill JA; GS-US-540-9012 (PINETREE) Investigators.","N Engl J Med. 2022 Jan 27;386(4):305-315. doi: 10.1056/NEJMoa2116846. Epub 2021 Dec 22.","Gottlieb RL","N Engl J Med","2022","2021/12/22","PMC8757570","","10.1056/NEJMoa2116846"
"33657225","Cytomegalovirus-specific T-cell reconstitution following letermovir prophylaxis after hematopoietic cell transplantation","Zamora D, Duke ER, Xie H, Edmison BC, Akoto B, Kiener R, Stevens-Ayers T, Wagner R, Mielcarek M, Leisenring WM, Jerome KR, Schiffer JT, Finak G, De Rosa SC, Boeckh M.","Blood. 2021 Jul 8;138(1):34-43. doi: 10.1182/blood.2020009396.","Zamora D","Blood","2021","2021/03/03","PMC8493975","","10.1182/blood.2020009396"
"36190406","Combinations of Host- and Virus-Targeting Antiviral Drugs Confer Synergistic Suppression of SARS-CoV-2","Wagoner J, Herring S, Hsiang TY, Ianevski A, Biering SB, Xu S, Hoffmann M, Pöhlmann S, Gale M Jr, Aittokallio T, Schiffer JT, White JM, Polyak SJ.","Microbiol Spectr. 2022 Oct 26;10(5):e0333122. doi: 10.1128/spectrum.03331-22. Epub 2022 Oct 3.","Wagoner J","Microbiol Spectr","2022","2022/10/03","PMC9718484","","10.1128/spectrum.03331-22"
"19185086","Feverish, jaundiced","Leung J, Schiffer J.","Am J Med. 2009 Feb;122(2):129-31. doi: 10.1016/j.amjmed.2008.10.009.","Leung J","Am J Med","2009","2009/02/03","","","10.1016/j.amjmed.2008.10.009"
"18456032","Multisystem mystery","Bachmann JM, Brownlee NA, Schiffer JT.","Am J Med. 2008 May;121(5):387-9. doi: 10.1016/j.amjmed.2008.01.024.","Bachmann JM","Am J Med","2008","2008/05/06","","","10.1016/j.amjmed.2008.01.024"
"36705262","The Continuing Puzzle of Defining Duration of Severe Acute Respiratory Syndrome Coronavirus 2 Infectivity","Schiffer JT.","J Infect Dis. 2023 Jun 15;227(12):1339-1342. doi: 10.1093/infdis/jiad019.","Schiffer JT","J Infect Dis","2023","2023/01/27","","","10.1093/infdis/jiad019"
"29617786","Reply to Giménez et al","Hill JA, Mayer BT, Xie H, Leisenring WM, Boeckh M, Schiffer JT.","Clin Infect Dis. 2018 Aug 16;67(5):807-808. doi: 10.1093/cid/ciy139.","Hill JA","Clin Infect Dis","2018","2018/04/05","PMC6093997","","10.1093/cid/ciy139"
"35106463","HIV reservoir quantification using cross-subtype multiplex ddPCR","Cassidy NAJ, Fish CS, Levy CN, Roychoudhury P, Reeves DB, Hughes SM, Schiffer JT, Benki-Nugent S, John-Stewart G, Wamalwa D, Jerome KR, Overbaugh J, Hladik F, Lehman DA.","iScience. 2021 Dec 11;25(1):103615. doi: 10.1016/j.isci.2021.103615. eCollection 2022 Jan 21.","Cassidy NAJ","iScience","2021","2022/02/02","PMC8786636","","10.1016/j.isci.2021.103615"
"34933447","Drug Combinations as a First Line of Defense against Coronaviruses and Other Emerging Viruses","White JM, Schiffer JT, Bender Ignacio RA, Xu S, Kainov D, Ianevski A, Aittokallio T, Frieman M, Olinger GG, Polyak SJ.","mBio. 2021 Dec 21;12(6):e0334721. doi: 10.1128/mbio.03347-21. Epub 2021 Dec 21.","White JM","mBio","2021","2021/12/22","PMC8689562","","10.1128/mbio.03347-21"
"29625767","Review of mathematical models of HSV-2 vaccination: Implications for vaccine development","Spicknall IH, Looker KJ, Gottlieb SL, Chesson HW, Schiffer JT, Elmes J, Boily MC.","Vaccine. 2019 Nov 28;37(50):7396-7407. doi: 10.1016/j.vaccine.2018.02.067. Epub 2018 Apr 4.","Spicknall IH","Vaccine","2019","2018/04/08","PMC6892260","","10.1016/j.vaccine.2018.02.067"
"28958807","Biologic interactions between HSV-2 and HIV-1 and possible implications for HSV vaccine development","Schiffer JT, Gottlieb SL.","Vaccine. 2019 Nov 28;37(50):7363-7371. doi: 10.1016/j.vaccine.2017.09.044. Epub 2017 Sep 25.","Schiffer JT","Vaccine","2019","2017/09/30","PMC5867191","NIHMS908760","10.1016/j.vaccine.2017.09.044"
"30381415","To what extent can mathematical modeling inform the design of clinical trials? The example of safe dose reduction of tyrosine kinase inhibitors in responding patients with chronic myeloid leukemia","Schiffer JT, Schiffer CA.","Haematologica. 2018 Nov;103(11):1756-1757. doi: 10.3324/haematol.2018.201897.","Schiffer JT","Haematologica","2018","2018/11/02","PMC6278970","","10.3324/haematol.2018.201897"
"28647165","Modelling efforts needed to advance herpes simplex virus (HSV) vaccine development: Key findings from the World Health Organization Consultation on HSV Vaccine Impact Modelling","Gottlieb SL, Giersing B, Boily MC, Chesson H, Looker KJ, Schiffer J, Spicknall I, Hutubessy R, Broutet N; WHO HSV Vaccine Impact Modelling Meeting Working Group.","Vaccine. 2019 Nov 28;37(50):7336-7345. doi: 10.1016/j.vaccine.2017.03.074. Epub 2017 Jun 21.","Gottlieb SL","Vaccine","2019","2017/06/26","","","10.1016/j.vaccine.2017.03.074"
"22718830","Targeted DNA mutagenesis for the cure of chronic viral infections","Schiffer JT, Aubert M, Weber ND, Mintzer E, Stone D, Jerome KR.","J Virol. 2012 Sep;86(17):8920-36. doi: 10.1128/JVI.00052-12. Epub 2012 Jun 20.","Schiffer JT","J Virol","2012","2012/06/22","PMC3416169","","10.1128/JVI.00052-12"
"28843576","Effect of HSV-2 infection on subsequent HIV acquisition: an updated systematic review and meta-analysis","Looker KJ, Elmes JAR, Gottlieb SL, Schiffer JT, Vickerman P, Turner KME, Boily MC.","Lancet Infect Dis. 2017 Dec;17(12):1303-1316. doi: 10.1016/S1473-3099(17)30405-X. Epub 2017 Aug 23.","Looker KJ","Lancet Infect Dis","2017","2017/08/28","PMC5700807","","10.1016/S1473-3099(17)30405-X"
"37443365","Impact of misclassified defective proviruses on HIV reservoir measurements","Reeves DB, Gaebler C, Oliveira TY, Peluso MJ, Schiffer JT, Cohn LB, Deeks SG, Nussenzweig MC.","Nat Commun. 2023 Jul 13;14(1):4186. doi: 10.1038/s41467-023-39837-z.","Reeves DB","Nat Commun","2023","2023/07/14","PMC10345136","","10.1038/s41467-023-39837-z"
"30129205","Herpes simplex virus-2 dynamics as a probe to measure the extremely rapid and spatially localized tissue-resident T-cell response","Schiffer JT, Swan DA, Prlic M, Lund JM.","Immunol Rev. 2018 Sep;285(1):113-133. doi: 10.1111/imr.12672.","Schiffer JT","Immunol Rev","2018","2018/08/22","PMC6752889","NIHMS1029834","10.1111/imr.12672"
"34696352","Mathematical Modeling of Vaccines That Prevent SARS-CoV-2 Transmission","Swan DA, Goyal A, Bracis C, Moore M, Krantz E, Brown E, Cardozo-Ojeda F, Reeves DB, Gao F, Gilbert PB, Corey L, Cohen MS, Janes H, Dimitrov D, Schiffer JT.","Viruses. 2021 Sep 24;13(10):1921. doi: 10.3390/v13101921.","Swan DA","Viruses","2021","2021/10/26","PMC8539635","","10.3390/v13101921"
"37314481","Recurrent infection transiently expands human tissue T cells while maintaining long-term homeostasis","Davé V, Richert-Spuhler LE, Arkatkar T, Warrier L, Pholsena T, Johnston C, Schiffer JT, Prlic M, Lund JM.","J Exp Med. 2023 Sep 4;220(9):e20210692. doi: 10.1084/jem.20210692. Epub 2023 Jun 14.","Davé V","J Exp Med","2023","2023/06/14","PMC10267593","","10.1084/jem.20210692"
"32710762","Reliability of Self-Sampling for Accurate Assessment of Respiratory Virus Viral and Immunologic Kinetics","Waghmare A, Krantz EM, Baral S, Vasquez E, Loeffelholz T, Chung EL, Pandey U, Kuypers J, Duke ER, Jerome KR, Greninger AL, Reeves DB, Hladik F, Cardozo-Ojeda EF, Boeckh M, Schiffer JT.","J Infect Dis. 2022 Aug 24;226(2):278-286. doi: 10.1093/infdis/jiaa451.","Waghmare A","J Infect Dis","2022","2020/07/26","PMC7454707","","10.1093/infdis/jiaa451"
"35145025","Evolution during primary HIV infection does not require adaptive immune selection","Swan DA, Rolland M, Herbeck JT, Schiffer JT, Reeves DB.","Proc Natl Acad Sci U S A. 2022 Feb 15;119(7):e2109172119. doi: 10.1073/pnas.2109172119.","Swan DA","Proc Natl Acad Sci U S A","2022","2022/02/11","PMC8851487","","10.1073/pnas.2109172119"
"29491180","Model-based estimation of superinfection prevalence from limited datasets","Reeves DB, Magaret AS, Greninger AL, Johnston C, Schiffer JT.","J R Soc Interface. 2018 Feb;15(139):20170968. doi: 10.1098/rsif.2017.0968.","Reeves DB","J R Soc Interface","2018","2018/03/02","PMC5832741","","10.1098/rsif.2017.0968"
"33620317","Viral load and contact heterogeneity predict SARS-CoV-2 transmission and super-spreading events","Goyal A, Reeves DB, Cardozo-Ojeda EF, Schiffer JT, Mayer BT.","Elife. 2021 Feb 23;10:e63537. doi: 10.7554/eLife.63537.","Goyal A","Elife","2021","2021/02/23","PMC7929560","","10.7554/eLife.63537"
"35385469","Optimizing clinical dosing of combination broadly neutralizing antibodies for HIV prevention","Mayer BT, deCamp AC, Huang Y, Schiffer JT, Gottardo R, Gilbert PB, Reeves DB.","PLoS Comput Biol. 2022 Apr 6;18(4):e1010003. doi: 10.1371/journal.pcbi.1010003. eCollection 2022 Apr.","Mayer BT","PLoS Comput Biol","2022","2022/04/06","PMC9084525","","10.1371/journal.pcbi.1010003"
"35634576","Modeling explains prolonged SARS-CoV-2 nasal shedding relative to lung shedding in remdesivir-treated rhesus macaques","Goyal A, Duke ER, Cardozo-Ojeda EF, Schiffer JT.","iScience. 2022 Jun 17;25(6):104448. doi: 10.1016/j.isci.2022.104448. Epub 2022 May 25.","Goyal A","iScience","2022","2022/05/31","PMC9130309","","10.1016/j.isci.2022.104448"
"19857385","New concepts in understanding genital herpes","Schiffer JT, Corey L.","Curr Infect Dis Rep. 2009 Nov;11(6):457-64. doi: 10.1007/s11908-009-0066-7.","Schiffer JT","Curr Infect Dis Rep","2009","2009/10/28","PMC2804398","NIHMS164659","10.1007/s11908-009-0066-7"
"36821766","Stochastic fate decisions of HSCs after transplantation: early contribution, symmetric expansion, and pool formation","Radtke S, Enstrom M, Pande D, Duke ER, Cardozo-Ojeda EF, Madhu R, Owen S, Kanestrom G, Cui M, Perez AM, Schiffer JT, Kiem HP.","Blood. 2023 Jul 6;142(1):33-43. doi: 10.1182/blood.2022018564.","Radtke S","Blood","2023","2023/02/23","","","10.1182/blood.2022018564"
"28839090","Reply to ""Early Stochastic Dynamics in Human Cytomegalovirus Infection""","Gantt S, Mayer BT, Schiffer JT.","J Virol. 2017 Aug 24;91(18):e01006-17. doi: 10.1128/JVI.01006-17. Print 2017 Sep 15.","Gantt S","J Virol","2017","2017/08/26","PMC5571264","","10.1128/JVI.01006-17"
"32125285","Tissue-resident T cell-derived cytokines eliminate herpes simplex virus-2-infected cells","Roychoudhury P, Swan DA, Duke E, Corey L, Zhu J, Davé V, Spuhler LR, Lund JM, Prlic M, Schiffer JT.","J Clin Invest. 2020 Jun 1;130(6):2903-2919. doi: 10.1172/JCI132583.","Roychoudhury P","J Clin Invest","2020","2020/03/04","PMC7260013","","10.1172/JCI132583"
"36519118","Stable HIV Reservoir Despite Prolonged Low-Dose Mycophenolate to Limit CD4+ T-cell Proliferation","Schiffer JT, Levy C, Hughes SM, Pandey U, Padullo M, Jerome KR, Zhu H, Puckett K, Helgeson E, Harrington RD, Hladik F.","Open Forum Infect Dis. 2022 Nov 19;9(12):ofac620. doi: 10.1093/ofid/ofac620. eCollection 2022 Dec.","Schiffer JT","Open Forum Infect Dis","2022","2022/12/15","PMC9745781","","10.1093/ofid/ofac620"
"28638104","Anti-proliferative therapy for HIV cure: a compound interest approach","Reeves DB, Duke ER, Hughes SM, Prlic M, Hladik F, Schiffer JT.","Sci Rep. 2017 Jun 21;7(1):4011. doi: 10.1038/s41598-017-04160-3.","Reeves DB","Sci Rep","2017","2017/06/23","PMC5479830","","10.1038/s41598-017-04160-3"
"33432929","Thresholds for post-rebound SHIV control after CCR5 gene-edited autologous hematopoietic cell transplantation","Cardozo-Ojeda EF, Duke ER, Peterson CW, Reeves DB, Mayer BT, Kiem HP, Schiffer JT.","Elife. 2021 Jan 12;10:e57646. doi: 10.7554/eLife.57646.","Cardozo-Ojeda EF","Elife","2021","2021/01/12","PMC7803377","","10.7554/eLife.57646"
"21352788","HSV-2 serology can be predictive of HIV epidemic potential and hidden sexual risk behavior in the Middle East and North Africa","Abu-Raddad LJ, Schiffer JT, Ashley R, Mumtaz G, Alsallaq RA, Akala FA, Semini I, Riedner G, Wilson D.","Epidemics. 2010 Dec;2(4):173-82. doi: 10.1016/j.epidem.2010.08.003. Epub 2010 Sep 15.","Abu-Raddad LJ","Epidemics","2010","2011/03/01","PMC3722433","NIHMS471013","10.1016/j.epidem.2010.08.003"
"33899042","Rapid vaccination and partial lockdown minimize 4(th) waves from emerging highly contagious SARS-CoV-2 variants","Reeves DB, Bracis C, Swan DA, Burns E, Moore M, Dimitrov D, Schiffer JT.","Med. 2021 May 14;2(5):573-574. doi: 10.1016/j.medj.2021.04.012. Epub 2021 Apr 20.","Reeves DB","Med","2021","2021/04/26","PMC8057771","","10.1016/j.medj.2021.04.012"
"32661497","An Early Test-and-Treat Strategy for Severe Acute Respiratory Syndrome Coronavirus 2","Schiffer JT, Johnston C, Wald A, Corey L.","Open Forum Infect Dis. 2020 Jun 12;7(7):ofaa232. doi: 10.1093/ofid/ofaa232. eCollection 2020 Jul.","Schiffer JT","Open Forum Infect Dis","2020","2020/07/15","PMC7313828","","10.1093/ofid/ofaa232"
"19114165","With jaundiced eyes","Durand C, Schiffer JT.","Am J Med. 2009 Jan;122(1):21-3. doi: 10.1016/j.amjmed.2008.09.006.","Durand C","Am J Med","2009","2008/12/31","","","10.1016/j.amjmed.2008.09.006"
"33948574","A highly multiplexed droplet digital PCR assay to measure the intact HIV-1 proviral reservoir","Levy CN, Hughes SM, Roychoudhury P, Reeves DB, Amstuz C, Zhu H, Huang ML, Wei Y, Bull ME, Cassidy NAJ, McClure J, Frenkel LM, Stone M, Bakkour S, Wonderlich ER, Busch MP, Deeks SG, Schiffer JT, Coombs RW, Lehman DA, Jerome KR, Hladik F.","Cell Rep Med. 2021 Apr 12;2(4):100243. doi: 10.1016/j.xcrm.2021.100243. eCollection 2021 Apr 20.","Levy CN","Cell Rep Med","2021","2021/05/05","PMC8080125","","10.1016/j.xcrm.2021.100243"
"33469590","Optimizing vaccine allocation for COVID-19 vaccines: potential role of single-dose vaccination","Matrajt L, Eaton J, Leung T, Dimitrov D, Schiffer JT, Swan DA, Janes H.","medRxiv. 2021 Apr 15:2020.12.31.20249099. doi: 10.1101/2020.12.31.20249099. Preprint.","Matrajt L","medRxiv","2021","2021/01/20","PMC7814836","","10.1101/2020.12.31.20249099"
"32970635","CMV viral load kinetics as surrogate endpoints after allogeneic transplantation","Duke ER, Williamson BD, Borate B, Golob JL, Wychera C, Stevens-Ayers T, Huang ML, Cossrow N, Wan H, Mast TC, Marks MA, Flowers ME, Jerome KR, Corey L, Gilbert PB, Schiffer JT, Boeckh M.","J Clin Invest. 2021 Jan 4;131(1):e133960. doi: 10.1172/JCI133960.","Duke ER","J Clin Invest","2021","2020/09/24","PMC7773411","","10.1172/JCI133960"
"34186015","Timing HIV infection with a simple and accurate population viral dynamics model","Reeves DB, Rolland M, Dearlove BL, Li Y, Robb ML, Schiffer JT, Gilbert P, Cardozo-Ojeda EF, Mayer BT.","J R Soc Interface. 2021 Jun;18(179):20210314. doi: 10.1098/rsif.2021.0314. Epub 2021 Jun 30.","Reeves DB","J R Soc Interface","2021","2021/06/29","PMC8241492","","10.1098/rsif.2021.0314"
"34088770","Cervicovaginal Tissue Residence Confers a Distinct Differentiation Program upon Memory CD8 T Cells","Davé VA, Cardozo-Ojeda EF, Mair F, Erickson J, Woodward-Davis AS, Koehne A, Soerens A, Czartoski J, Teague C, Potchen N, Oberle S, Zehn D, Schiffer JT, Lund JM, Prlic M.","J Immunol. 2021 Jun 15;206(12):2937-2948. doi: 10.4049/jimmunol.2100166. Epub 2021 Jun 4.","Davé VA","J Immunol","2021","2021/06/05","PMC8642491","NIHMS1695343","10.4049/jimmunol.2100166"
"35382576","Multi-scale modelling reveals that early super-spreader events are a likely contributor to novel variant predominance","Goyal A, Reeves DB, Schiffer JT.","J R Soc Interface. 2022 Apr;19(189):20210811. doi: 10.1098/rsif.2021.0811. Epub 2022 Apr 6.","Goyal A","J R Soc Interface","2022","2022/04/06","PMC8984334","","10.1098/rsif.2021.0811"
"29889809","Nonprimary Maternal Cytomegalovirus Infection After Viral Shedding in Infants","Boucoiran I, Mayer BT, Krantz EM, Marchant A, Pati S, Boppana S, Wald A, Corey L, Casper C, Schiffer JT, Gantt S.","Pediatr Infect Dis J. 2018 Jul;37(7):627-631. doi: 10.1097/INF.0000000000001877.","Boucoiran I","Pediatr Infect Dis J","2018","2018/06/12","PMC6016842","NIHMS929920","10.1097/INF.0000000000001877"
"35194099","Author Correction: Mutations in viral nucleocapsid protein and endoRNase are discovered to associate with COVID19 hospitalization risk","Zhao LP, Roychoudhury P, Gilbert P, Schiffer J, Lybrand TP, Payne TH, Randhawa A, Thiebaud S, Mills M, Greninger A, Pyo CW, Wang R, Li R, Thomas A, Norris B, Nelson WC, Jerome KR, Geraghty DE.","Sci Rep. 2022 Feb 22;12(1):3274. doi: 10.1038/s41598-022-07002-z.","Zhao LP","Sci Rep","2022","2022/02/23","PMC8864003","","10.1038/s41598-022-07002-z"
