PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36519117","Epstein-Barr Virus Glycoprotein Antibody Titers and Risk of Nasopharyngeal Carcinoma","Coghill AE, McGuire A, Sinha S, Homad L, Sinha I, Sholukh A, Koh WP, Yuan JM.","Open Forum Infect Dis. 2022 Nov 25;9(12):ofac635. doi: 10.1093/ofid/ofac635. eCollection 2022 Dec.","Coghill AE","Open Forum Infect Dis","2022","2022/12/15","PMC9745775","","10.1093/ofid/ofac635"
"34288726","Evaluation of Cell-Based and Surrogate SARS-CoV-2 Neutralization Assays","Sholukh AM, Fiore-Gartland A, Ford ES, Miner MD, Hou YJ, Tse LV, Kaiser H, Zhu H, Lu J, Madarampalli B, Park A, Lempp FA, St Germain R, Bossard EL, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Huang ML, Jerome KR, Baric RS, Montefiori D, Corey L.","J Clin Microbiol. 2021 Sep 20;59(10):e0052721. doi: 10.1128/JCM.00527-21. Epub 2021 Jul 21.","Sholukh AM","J Clin Microbiol","2021","2021/07/21","PMC8451402","","10.1128/JCM.00527-21"
"36396691","Serological fingerprints link antiviral activity of therapeutic antibodies to affinity and concentration","Fiedler S, Devenish SRA, Morgunov AS, Ilsley A, Ricci F, Emmenegger M, Kosmoliaptsis V, Theel ES, Mills JR, Sholukh AM, Aguzzi A, Iwasaki A, Lynn AK, Knowles TPJ.","Sci Rep. 2022 Nov 17;12(1):19791. doi: 10.1038/s41598-022-22214-z.","Fiedler S","Sci Rep","2022","2022/11/17","PMC9672333","","10.1038/s41598-022-22214-z"
"35411021","Structural definition of a pan-sarbecovirus neutralizing epitope on the spike S2 subunit","Hurlburt NK, Homad LJ, Sinha I, Jennewein MF, MacCamy AJ, Wan YH, Boonyaratanakornkit J, Sholukh AM, Jackson AM, Zhou P, Burton DR, Andrabi R, Ozorowski G, Ward AB, Stamatatos L, Pancera M, McGuire AT.","Commun Biol. 2022 Apr 11;5(1):342. doi: 10.1038/s42003-022-03262-7.","Hurlburt NK","Commun Biol","2022","2022/04/12","PMC9001700","","10.1038/s42003-022-03262-7"
"34696505","Methods to Measure Antibody Neutralization of Live Human Coronavirus OC43","Boonyaratanakornkit J, Sholukh AM, Gray M, Bossard EL, Ford ES, Corbett KS, Corey L, Taylor JJ.","Viruses. 2021 Oct 14;13(10):2075. doi: 10.3390/v13102075.","Boonyaratanakornkit J","Viruses","2021","2021/10/26","PMC8540522","","10.3390/v13102075"
"33095855","Maternal Epstein-Barr Virus-Specific Antibodies and Risk of Infection in Ugandan Infants","Minab R, Bu W, Nguyen H, Wall A, Sholukh AM, Huang ML, Ortego M, Krantz EM, Irvine M, Casper C, Orem J, McGuire AT, Cohen JI, Gantt S.","J Infect Dis. 2021 Jun 4;223(11):1897-1904. doi: 10.1093/infdis/jiaa654.","Minab R","J Infect Dis","2021","2020/10/23","PMC8176630","","10.1093/infdis/jiaa654"
"36263073","CD8+ T cell clonotypes from prior SARS-CoV-2 infection predominate during the cellular immune response to mRNA vaccination","Ford ES, Mayer-Blackwell K, Jing L, Sholukh AM, Germain RS, Bossard EL, Xie H, Pulliam TH, Jani S, Selke S, Burrow CJ, McClurkan CL, Wald A, Holbrook MR, Eaton B, Eudy E, Murphy M, Postnikova E, Robins HS, Elyanow R, Gittelman RM, Ecsedi M, Wilcox E, Chapuis AG, Fiore-Gartland A, Koelle DM.","Res Sq. 2022 Oct 10:rs.3.rs-2146712. doi: 10.21203/rs.3.rs-2146712/v1. Preprint.","Ford ES","Res Sq","2022","2022/10/20","PMC9580387","","10.21203/rs.3.rs-2146712/v1"
"33784252","B cells, antibody-secreting cells, and virus-specific antibodies respond to herpes simplex virus 2 reactivation in skin","Ford ES, Sholukh AM, Boytz R, Carmack SS, Klock A, Phasouk K, Shao D, Rossenkhan R, Edlefsen PT, Peng T, Johnston C, Wald A, Zhu J, Corey L.","J Clin Invest. 2021 May 3;131(9):e142088. doi: 10.1172/JCI142088.","Ford ES","J Clin Invest","2021","2021/03/30","PMC8087200","","10.1172/JCI142088"
"35862190","Herpes simplex virus lymphadenitis is associated with tumor reduction in a patient with chronic lymphocytic leukemia","Chang A, Sholukh AM, Wieland A, Jaye DL, Carrington M, Huang ML, Xie H, Jerome KR, Roychoudhury P, Greninger AL, Koff JL, Cohen JB, Koelle DM, Corey L, Flowers CR, Ahmed R.","J Clin Invest. 2022 Sep 15;132(18):e161109. doi: 10.1172/JCI161109.","Chang A","J Clin Invest","2022","2022/07/21","PMC9479599","","10.1172/JCI161109"
"22737224","Isolation of monoclonal antibodies with predetermined conformational epitope specificity","Sholukh AM, Mukhtar MM, Humbert M, Essono SS, Watkins JD, Vyas HK, Shanmuganathan V, Hemashettar G, Kahn M, Hu SL, Montefiori DC, Polonis VR, Schur PH, Ruprecht RM.","PLoS One. 2012;7(6):e38943. doi: 10.1371/journal.pone.0038943. Epub 2012 Jun 21.","Sholukh AM","PLoS One","2012","2012/06/28","PMC3380854","","10.1371/journal.pone.0038943"
"33330875","Evaluation of SARS-CoV-2 neutralization assays for antibody monitoring in natural infection and vaccine trials","Sholukh AM, Fiore-Gartland A, Ford ES, Hou Y, Tse LV, Lempp FA, Kaiser H, Saint Germain R, Bossard E, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Jerome KR, Baric RS, Montefiori D, Corey L.","medRxiv. 2020 Dec 8:2020.12.07.20245431. doi: 10.1101/2020.12.07.20245431. Preprint.","Sholukh AM","medRxiv","2020","2020/12/17","PMC7743084","","10.1101/2020.12.07.20245431"
"32743610","High Community SARS-CoV-2 Antibody Seroprevalence in a Ski Resort Community, Blaine County, Idaho, US. Preliminary Results","McLaughlin CC, Doll MK, Morrison KT, McLaughlin WL, O'Connor T, Sholukh AM, Bossard EL, Phasouk K, Ford ES, Diem K, Klock AM, Jerome KR, Corey L.","medRxiv. 2020 Jul 21:2020.07.19.20157198. doi: 10.1101/2020.07.19.20157198. Preprint.","McLaughlin CC","medRxiv","2020","2020/08/04","PMC7386534","","10.1101/2020.07.19.20157198"
"25769884","Defense-in-depth by mucosally administered anti-HIV dimeric IgA2 and systemic IgG1 mAbs: complete protection of rhesus monkeys from mucosal SHIV challenge","Sholukh AM, Watkins JD, Vyas HK, Gupta S, Lakhashe SK, Thorat S, Zhou M, Hemashettar G, Bachler BC, Forthal DN, Villinger F, Sattentau QJ, Weiss RA, Agatic G, Corti D, Lanzavecchia A, Heeney JL, Ruprecht RM.","Vaccine. 2015 Apr 21;33(17):2086-95. doi: 10.1016/j.vaccine.2015.02.020. Epub 2015 Mar 11.","Sholukh AM","Vaccine","2015","2015/03/15","PMC4411954","NIHMS671514","10.1016/j.vaccine.2015.02.020"
"24444350","Passive immunization of macaques with polyclonal anti-SHIV IgG against a heterologous tier 2 SHIV: outcome depends on IgG dose","Sholukh AM, Byrareddy SN, Shanmuganathan V, Hemashettar G, Lakhashe SK, Rasmussen RA, Watkins JD, Vyas HK, Thorat S, Brandstoetter T, Mukhtar MM, Yoon JK, Novembre FJ, Villinger F, Landucci G, Forthal DN, Ratcliffe S, Tuero I, Robert-Guroff M, Polonis VR, Bilska M, Montefiori DC, Johnson WE, Ertl HC, Ruprecht RM.","Retrovirology. 2014 Jan 20;11:8. doi: 10.1186/1742-4690-11-8.","Sholukh AM","Retrovirology","2014","2014/01/22","PMC3905655","","10.1186/1742-4690-11-8"
"23775002","Anti-HIV IgA isotypes: differential virion capture and inhibition of transcytosis are linked to prevention of mucosal R5 SHIV transmission","Watkins JD, Sholukh AM, Mukhtar MM, Siddappa NB, Lakhashe SK, Kim M, Reinherz EL, Gupta S, Forthal DN, Sattentau QJ, Villinger F, Corti D, Ruprecht RM; CAVD Project Group.","AIDS. 2013 Jun 1;27(9):F13-20. doi: 10.1097/QAD.0b013e328360eac6.","Watkins JD","AIDS","2013","2013/06/19","PMC4084966","NIHMS596305","10.1097/QAD.0b013e328360eac6"
"21483815","An anti-HIV-1 V3 loop antibody fully protects cross-clade and elicits T-cell immunity in macaques mucosally challenged with an R5 clade C SHIV","Watkins JD, Siddappa NB, Lakhashe SK, Humbert M, Sholukh A, Hemashettar G, Wong YL, Yoon JK, Wang W, Novembre FJ, Villinger F, Ibegbu C, Patel K, Corti D, Agatic G, Vanzetta F, Bianchi S, Heeney JL, Sallusto F, Lanzavecchia A, Ruprecht RM.","PLoS One. 2011 Mar 31;6(3):e18207. doi: 10.1371/journal.pone.0018207.","Watkins JD","PLoS One","2011","2011/04/13","PMC3069056","","10.1371/journal.pone.0018207"
