PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34789871","Reporting guidelines for human microbiome research: the STORMS checklist","Mirzayi C, Renson A; Genomic Standards Consortium; Massive Analysis and Quality Control Society; Zohra F, Elsafoury S, Geistlinger L, Kasselman LJ, Eckenrode K, van de Wijgert J, Loughman A, Marques FZ, MacIntyre DA, Arumugam M, Azhar R, Beghini F, Bergstrom K, Bhatt A, Bisanz JE, Braun J, Bravo HC, Buck GA, Bushman F, Casero D, Clarke G, Collado MC, Cotter PD, Cryan JF, Demmer RT, Devkota S, Elinav E, Escobar JS, Fettweis J, Finn RD, Fodor AA, Forslund S, Franke A, Furlanello C, Gilbert J, Grice E, Haibe-Kains B, Handley S, Herd P, Holmes S, Jacobs JP, Karstens L, Knight R, Knights D, Koren O, Kwon DS, Langille M, Lindsay B, McGovern D, McHardy AC, McWeeney S, Mueller NT, Nezi L, Olm M, Palm N, Pasolli E, Raes J, Redinbo MR, Rühlemann M, Balfour Sartor R, Schloss PD, Schriml L, Segal E, Shardell M, Sharpton T, Smirnova E, Sokol H, Sonnenburg JL, Srinivasan S, Thingholm LB, Turnbaugh PJ, Upadhyay V, Walls RL, Wilmes P, Yamada T, Zeller G, Zhang M, Zhao N, Zhao L, Bao W, Culhane A, Devanarayan V, Dopazo J, Fan X, Fischer M, Jones W, Kusko R, Mason CE, Mercer TR, Sansone SA, Scherer A, Shi L, Thakkar S, Tong W, Wolfinger R, Hunter C, et al.","Nat Med. 2021 Nov;27(11):1885-1892. doi: 10.1038/s41591-021-01552-x. Epub 2021 Nov 17.","Mirzayi C","Nat Med","2021","2021/11/18","PMC9105086","NIHMS1801461","10.1038/s41591-021-01552-x"
"33675793","Association between postmenopausal vulvovaginal discomfort, vaginal microbiota, and mucosal inflammation","Mitchell CM, Ma N, Mitchell AJ, Wu MC, Valint DJ, Proll S, Reed SD, Guthrie KA, Lacroix AZ, Larson JC, Pepin R, Raftery D, Fredricks DN, Srinivasan S.","Am J Obstet Gynecol. 2021 Aug;225(2):159.e1-159.e15. doi: 10.1016/j.ajog.2021.02.034. Epub 2021 Mar 4.","Mitchell CM","Am J Obstet Gynecol","2021","2021/03/06","PMC8328873","NIHMS1679870","10.1016/j.ajog.2021.02.034"
"35353163","Impact of Topical Interventions on the Vaginal Microbiota and Metabolome in Postmenopausal Women: A Secondary Analysis of a Randomized Clinical Trial","Srinivasan S, Hua X, Wu MC, Proll S, Valint DJ, Reed SD, Guthrie KA, LaCroix AZ, Larson JC, Pepin R, Bhasin S, Raftery D, Fredricks DN, Mitchell CM.","JAMA Netw Open. 2022 Mar 1;5(3):e225032. doi: 10.1001/jamanetworkopen.2022.5032.","Srinivasan S","JAMA Netw Open","2022","2022/03/30","PMC8968546","","10.1001/jamanetworkopen.2022.5032"
"31550285","Optimizing bacterial DNA extraction in urine","Munch MM, Chambers LC, Manhart LE, Domogala D, Lopez A, Fredricks DN, Srinivasan S.","PLoS One. 2019 Sep 24;14(9):e0222962. doi: 10.1371/journal.pone.0222962. eCollection 2019.","Munch MM","PLoS One","2019","2019/09/25","PMC6759279","","10.1371/journal.pone.0222962"
"37480848","Intestinal microbiota controls graft-versus-host disease independent of donor-host genetic disparity","Koyama M, Hippe DS, Srinivasan S, Proll SC, Miltiadous O, Li N, Zhang P, Ensbey KS, Hoffman NG, Schmidt CR, Yeh AC, Minnie SA, Strenk SM, Fiedler TL, Hattangady N, Kowalsky J, Grady WM, Degli-Esposti MA, Varelias A, Clouston AD, van den Brink MRM, Dey N, Randolph TW, Markey KA, Fredricks DN, Hill GR.","Immunity. 2023 Jul 17:S1074-7613(23)00281-9. doi: 10.1016/j.immuni.2023.06.024. Online ahead of print.","Koyama M","Immunity","2023","2023/07/22","","","10.1016/j.immuni.2023.06.024"
"29997295","Vaginal microbiome modulates topical antiretroviral drug pharmacokinetics","Taneva E, Sinclair S, Mesquita PM, Weinrick B, Cameron SA, Cheshenko N, Reagle K, Frank B, Srinivasan S, Fredricks D, Keller MJ, Herold BC.","JCI Insight. 2018 Jul 12;3(13):e99545. doi: 10.1172/jci.insight.99545.","Taneva E","JCI Insight","2018","2018/07/13","PMC6124523","","10.1172/jci.insight.99545"
"25873373","Metabolic signatures of bacterial vaginosis","Srinivasan S, Morgan MT, Fiedler TL, Djukovic D, Hoffman NG, Raftery D, Marrazzo JM, Fredricks DN.","mBio. 2015 Apr 14;6(2):e00204-15. doi: 10.1128/mBio.00204-15.","Srinivasan S","mBio","2015","2015/04/16","PMC4453549","","10.1128/mBio.00204-15"
"33107562","Bacterial Communities Associated With Abnormal Nugent Score in Postmenopausal Versus Premenopausal Women","Mitchell CM, Srinivasan S, Ma N, Reed SD, Wu MC, Hoffman NG, Valint DJ, Proll S, Fiedler TL, Agnew KJ, Guthrie KA, Fredricks DN.","J Infect Dis. 2021 Jun 15;223(12):2048-2052. doi: 10.1093/infdis/jiaa675.","Mitchell CM","J Infect Dis","2021","2020/10/27","PMC8350750","","10.1093/infdis/jiaa675"
"32726445","Association Between Vaginal Bacterial Microbiota and Vaginal Yeast Colonization","Eastment MC, Balkus JE, Richardson BA, Srinivasan S, Kimani J, Anzala O, Schwebke J, Fiedler TL, Fredricks DN, McClelland RS.","J Infect Dis. 2021 Mar 3;223(5):914-923. doi: 10.1093/infdis/jiaa459.","Eastment MC","J Infect Dis","2021","2020/07/30","PMC7938175","","10.1093/infdis/jiaa459"
"30677048","Association between vaginal washing and vaginal bacterial concentrations","Sabo MC, Balkus JE, Richardson BA, Srinivasan S, Kimani J, Anzala O, Schwebke J, Feidler TL, Fredricks DN, McClelland RS.","PLoS One. 2019 Jan 24;14(1):e0210825. doi: 10.1371/journal.pone.0210825. eCollection 2019.","Sabo MC","PLoS One","2019","2019/01/25","PMC6345501","","10.1371/journal.pone.0210825"
