PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28895846","In Vivo Hematopoietic Stem Cell Transduction","Richter M, Stone D, Miao C, Humbert O, Kiem HP, Papayannopoulou T, Lieber A.","Hematol Oncol Clin North Am. 2017 Oct;31(5):771-785. doi: 10.1016/j.hoc.2017.06.001.","Richter M","Hematol Oncol Clin North Am","2017","2017/09/13","PMC5659626","NIHMS883935","10.1016/j.hoc.2017.06.001"
"37165032","Adeno-associated virus vectors and neurotoxicity-lessons from preclinical and human studies","Stone D, Aubert M, Jerome KR.","Gene Ther. 2023 May 10. doi: 10.1038/s41434-023-00405-1. Online ahead of print.","Stone D","Gene Ther","2023","2023/05/10","","","10.1038/s41434-023-00405-1"
"27272125","Genome editing and the next generation of antiviral therapy","Stone D, Niyonzima N, Jerome KR.","Hum Genet. 2016 Sep;135(9):1071-82. doi: 10.1007/s00439-016-1686-2. Epub 2016 Jun 8.","Stone D","Hum Genet","2016","2016/06/09","PMC5002242","NIHMS793885","10.1007/s00439-016-1686-2"
"33892762","Optimization of AAV vectors to target persistent viral reservoirs","Colón-Thillet R, Jerome KR, Stone D.","Virol J. 2021 Apr 23;18(1):85. doi: 10.1186/s12985-021-01555-7.","Colón-Thillet R","Virol J","2021","2021/04/24","PMC8067653","","10.1186/s12985-021-01555-7"
"23478911","Targeted gene disruption to cure HIV","Stone D, Kiem HP, Jerome KR.","Curr Opin HIV AIDS. 2013 May;8(3):217-23. doi: 10.1097/COH.0b013e32835f736c.","Stone D","Curr Opin HIV AIDS","2013","2013/03/13","PMC4226633","NIHMS636501","10.1097/COH.0b013e32835f736c"
"29522311","CRISPR/Cas9 and Genome Editing for Viral Disease-Is Resistance Futile?","De Silva Feelixge HS, Stone D, Roychoudhury P, Aubert M, Jerome KR.","ACS Infect Dis. 2018 Jun 8;4(6):871-880. doi: 10.1021/acsinfecdis.7b00273. Epub 2018 Mar 21.","De Silva Feelixge HS","ACS Infect Dis","2018","2018/03/10","PMC5993632","NIHMS962811","10.1021/acsinfecdis.7b00273"
"22718830","Targeted DNA mutagenesis for the cure of chronic viral infections","Schiffer JT, Aubert M, Weber ND, Mintzer E, Stone D, Jerome KR.","J Virol. 2012 Sep;86(17):8920-36. doi: 10.1128/JVI.00052-12. Epub 2012 Jun 20.","Schiffer JT","J Virol","2012","2012/06/22","PMC3416169","","10.1128/JVI.00052-12"
"24485787","DNA cleavage enzymes for treatment of persistent viral infections: recent advances and the pathway forward","Weber ND, Aubert M, Dang CH, Stone D, Jerome KR.","Virology. 2014 Apr;454-455:353-61. doi: 10.1016/j.virol.2013.12.037. Epub 2014 Jan 31.","Weber ND","Virology","2014","2014/02/04","PMC3988252","NIHMS562607","10.1016/j.virol.2013.12.037"
"32811834","Gene editing and elimination of latent herpes simplex virus in vivo","Aubert M, Strongin DE, Roychoudhury P, Loprieno MA, Haick AK, Klouser LM, Stensland L, Huang ML, Makhsous N, Tait A, De Silva Feelixge HS, Galetto R, Duchateau P, Greninger AL, Stone D, Jerome KR.","Nat Commun. 2020 Aug 18;11(1):4148. doi: 10.1038/s41467-020-17936-5.","Aubert M","Nat Commun","2020","2020/08/20","PMC7435201","","10.1038/s41467-020-17936-5"
"26829887","Digital detection of endonuclease mediated gene disruption in the HIV provirus","Sedlak RH, Liang S, Niyonzima N, De Silva Feelixge HS, Roychoudhury P, Greninger AL, Weber ND, Boissel S, Scharenberg AM, Cheng A, Magaret A, Bumgarner R, Stone D, Jerome KR.","Sci Rep. 2016 Feb 2;6:20064. doi: 10.1038/srep20064.","Sedlak RH","Sci Rep","2016","2016/02/03","PMC4735761","","10.1038/srep20064"
