PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35938852","Weight loss reduces circulating micro-RNA related to obesity and breast cancer in postmenopausal women","Duggan C, Tapsoba JD, Scheel J, Wang CY, McTiernan A.","Epigenetics. 2022 Dec;17(13):2082-2095. doi: 10.1080/15592294.2022.2107841. Epub 2022 Aug 8.","Duggan C","Epigenetics","2022","2022/08/08","PMC9665139","","10.1080/15592294.2022.2107841"
"29743162","Telomere Length and Lung Cancer Mortality among Heavy Smokers","Doherty JA, Grieshober L, Houck JR, Barnett MJ, Tapsoba JD, Thornquist M, Wang CY, Goodman GE, Chen C.","Cancer Epidemiol Biomarkers Prev. 2018 Jul;27(7):829-837. doi: 10.1158/1055-9965.EPI-17-1183. Epub 2018 May 9.","Doherty JA","Cancer Epidemiol Biomarkers Prev","2018","2018/05/11","PMC6035074","NIHMS967453","10.1158/1055-9965.EPI-17-1183"
"30461557","Long-term weight loss maintenance, sex steroid hormones, and sex hormone-binding globulin","Duggan C, Tapsoba JD, Stanczyk F, Wang CY, Schubert KF, McTiernan A.","Menopause. 2019 Apr;26(4):417-422. doi: 10.1097/GME.0000000000001250.","Duggan C","Menopause","2019","2018/11/22","PMC6435415","NIHMS1506661","10.1097/GME.0000000000001250"
"32859616","Changes in Dietary Inflammatory Index Patterns with Weight Loss in Women: A Randomized Controlled Trial","Duggan C, Tapsoba JD, Shivappa N, Harris HR, Hébert JR, Wang CY, McTiernan A.","Cancer Prev Res (Phila). 2021 Jan;14(1):85-94. doi: 10.1158/1940-6207.CAPR-20-0181. Epub 2020 Aug 28.","Duggan C","Cancer Prev Res (Phila)","2021","2020/08/30","PMC7914258","NIHMS1625321","10.1158/1940-6207.CAPR-20-0181"
"34550860","Exercise effects on DNA methylation in EVL, CDKN2A (p14, ARF), and ESR1 in colon tissue from healthy men and women","Duggan C, Yu M, Willbanks AR, Tapsoba JD, Wang CY, Grady WM, McTiernan A.","Epigenetics. 2022 Oct;17(10):1070-1079. doi: 10.1080/15592294.2021.1982512. Epub 2021 Oct 6.","Duggan C","Epigenetics","2022","2021/09/22","PMC9542713","","10.1080/15592294.2021.1982512"
"27060050","Effects of Vitamin D3 Supplementation on Lean Mass, Muscle Strength, and Bone Mineral Density During Weight Loss: A Double-Blind Randomized Controlled Trial","Mason C, Tapsoba JD, Duggan C, Imayama I, Wang CY, Korde L, McTiernan A.","J Am Geriatr Soc. 2016 Apr;64(4):769-78. doi: 10.1111/jgs.14049. Epub 2016 Apr 5.","Mason C","J Am Geriatr Soc","2016","2016/04/10","PMC4840082","NIHMS748702","10.1111/jgs.14049"
"36095005","Continued attendance in a PrEP program despite low adherence and non-protective drug levels among adolescent girls and young women in Kenya: Results from a prospective cohort study","Tapsoba JD, Cover J, Obong'o C, Brady M, Cressey TR, Mori K, Okomo G, Kariithi E, Obanda R, Oluoch-Madiang D, Chen YQ, Drain P, Duerr A.","PLoS Med. 2022 Sep 12;19(9):e1004097. doi: 10.1371/journal.pmed.1004097. eCollection 2022 Sep.","Tapsoba JD","PLoS Med","2022","2022/09/12","PMC9521917","","10.1371/journal.pmed.1004097"
"29042415","Long-Term Effects of Weight Loss and Exercise on Biomarkers Associated with Angiogenesis","Duggan C, Tapsoba JD, Wang CY, Schubert KEF, McTiernan A.","Cancer Epidemiol Biomarkers Prev. 2017 Dec;26(12):1788-1794. doi: 10.1158/1055-9965.EPI-17-0356. Epub 2017 Oct 17.","Duggan C","Cancer Epidemiol Biomarkers Prev","2017","2017/10/19","PMC5712238","NIHMS910972","10.1158/1055-9965.EPI-17-0356"
"31997385","Methods for generalized change-point models: with applications to human immunodeficiency virus surveillance and diabetes data","Tapsoba JD, Wang CY, Zangeneh S, Chen YQ.","Stat Med. 2020 Apr 15;39(8):1167-1182. doi: 10.1002/sim.8469. Epub 2020 Jan 29.","Tapsoba JD","Stat Med","2020","2020/01/31","PMC7260994","NIHMS1590210","10.1002/sim.8469"
"27803047","Dietary Weight Loss, Exercise, and Oxidative Stress in Postmenopausal Women: A Randomized Controlled Trial","Duggan C, Tapsoba JD, Wang CY, Campbell KL, Foster-Schubert K, Gross MD, McTiernan A.","Cancer Prev Res (Phila). 2016 Nov;9(11):835-843. doi: 10.1158/1940-6207.CAPR-16-0163.","Duggan C","Cancer Prev Res (Phila)","2016","2016/11/03","PMC5117666","NIHMS812366","10.1158/1940-6207.CAPR-16-0163"
"30954972","Simulation Extrapolation Method for Cox Regression Model with a Mixture of Berkson and Classical Errors in the Covariates using Calibration Data","Tapsoba JD, Chao EC, Wang CY.","Int J Biostat. 2019 Apr 6;15(2):/j/ijb.2019.15.issue-2/ijb-2018-0028/ijb-2018-0028.xml. doi: 10.1515/ijb-2018-0028.","Tapsoba JD","Int J Biostat","2019","2019/04/08","PMC7767084","NIHMS1652058","10.1515/ijb-2018-0028"
"24009099","Expected estimating equation using calibration data for generalized linear models with a mixture of Berkson and classical errors in covariates","Tapsoba JD, Lee SM, Wang CY.","Stat Med. 2014 Feb 20;33(4):675-92. doi: 10.1002/sim.5966. Epub 2013 Sep 6.","Tapsoba JD","Stat Med","2014","2013/09/07","PMC3947110","NIHMS528416","10.1002/sim.5966"
"21717494","Approximate nonparametric corrected-score method for joint modeling of survival and longitudinal data measured with error","Tapsoba JD, Lee SM, Wang CY.","Biom J. 2011 Jul;53(4):557-77. doi: 10.1002/bimj.201000180.","Tapsoba JD","Biom J","2011","2011/07/01","PMC3724540","NIHMS483681","10.1002/bimj.201000180"
