PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35857583","Respiratory mucosal immunity against SARS-CoV-2 after mRNA vaccination","Tang J, Zeng C, Cox TM, Li C, Son YM, Cheon IS, Wu Y, Behl S, Taylor JJ, Chakaraborty R, Johnson AJ, Shiavo DN, Utz JP, Reisenauer JS, Midthun DE, Mullon JJ, Edell ES, Alameh MG, Borish L, Teague WG, Kaplan MH, Weissman D, Kern R, Hu H, Vassallo R, Liu SL, Sun J.","Sci Immunol. 2022 Oct 28;7(76):eadd4853. doi: 10.1126/sciimmunol.add4853. Epub 2022 Oct 21.","Tang J","Sci Immunol","2022","2022/07/20","PMC9348751","","10.1126/sciimmunol.add4853"
"31396218","Techniques to Study Antigen-Specific B Cell Responses","Boonyaratanakornkit J, Taylor JJ.","Front Immunol. 2019 Jul 24;10:1694. doi: 10.3389/fimmu.2019.01694. eCollection 2019.","Boonyaratanakornkit J","Front Immunol","2019","2019/08/10","PMC6667631","","10.3389/fimmu.2019.01694"
"33419791","Tissue-resident CD4(+) T helper cells assist the development of protective respiratory B and CD8(+) T cell memory responses","Son YM, Cheon IS, Wu Y, Li C, Wang Z, Gao X, Chen Y, Takahashi Y, Fu YX, Dent AL, Kaplan MH, Taylor JJ, Cui W, Sun J.","Sci Immunol. 2021 Jan 8;6(55):eabb6852. doi: 10.1126/sciimmunol.abb6852.","Son YM","Sci Immunol","2021","2021/01/09","PMC8056937","NIHMS1689584","10.1126/sciimmunol.abb6852"
"31101673","B cells engineered to express pathogen-specific antibodies protect against infection","Moffett HF, Harms CK, Fitzpatrick KS, Tooley MR, Boonyaratanakornkit J, Taylor JJ.","Sci Immunol. 2019 May 17;4(35):eaax0644. doi: 10.1126/sciimmunol.aax0644.","Moffett HF","Sci Immunol","2019","2019/05/19","PMC6913193","NIHMS1062041","10.1126/sciimmunol.aax0644"
"32144185","Long-lived T follicular helper cells retain plasticity and help sustain humoral immunity","Künzli M, Schreiner D, Pereboom TC, Swarnalekha N, Litzler LC, Lötscher J, Ertuna YI, Roux J, Geier F, Jakob RP, Maier T, Hess C, Taylor JJ, King CG.","Sci Immunol. 2020 Mar 6;5(45):eaay5552. doi: 10.1126/sciimmunol.aay5552.","Künzli M","Sci Immunol","2020","2020/03/08","","","10.1126/sciimmunol.aay5552"
"35881384","Assessment of Plasmodium falciparum Antigen-Specific B Cells","Hopp CS, Taylor JJ, Crompton PD.","Methods Mol Biol. 2022;2470:689-713. doi: 10.1007/978-1-0716-2189-9_52.","Hopp CS","Methods Mol Biol","2022","2022/07/26","","","10.1007/978-1-0716-2189-9_52"
"21524898","CD4+ memory T cell survival","Taylor JJ, Jenkins MK.","Curr Opin Immunol. 2011 Jun;23(3):319-23. doi: 10.1016/j.coi.2011.03.010. Epub 2011 Apr 27.","Taylor JJ","Curr Opin Immunol","2011","2011/04/29","","","10.1016/j.coi.2011.03.010"
"36781872","Cross-protective antibodies against common endemic respiratory viruses","Cabán M, Rodarte JV, Bibby M, Gray MD, Taylor JJ, Pancera M, Boonyaratanakornkit J.","Nat Commun. 2023 Feb 13;14(1):798. doi: 10.1038/s41467-023-36459-3.","Cabán M","Nat Commun","2023","2023/02/13","PMC9923667","","10.1038/s41467-023-36459-3"
"22920843","Heterogeneity in the differentiation and function of memory B cells","Taylor JJ, Jenkins MK, Pape KA.","Trends Immunol. 2012 Dec;33(12):590-7. doi: 10.1016/j.it.2012.07.005. Epub 2012 Aug 21.","Taylor JJ","Trends Immunol","2012","2012/08/28","PMC3505266","NIHMS402616","10.1016/j.it.2012.07.005"
"31345931","Anti-idiotypic antibodies elicit anti-HIV-1-specific B cell responses","Dosenovic P, Pettersson AK, Wall A, Thientosapol ES, Feng J, Weidle C, Bhullar K, Kara EE, Hartweger H, Pai JA, Gray MD, Parks KR, Taylor JJ, Pancera M, Stamatatos L, Nussenzweig MC, McGuire AT.","J Exp Med. 2019 Oct 7;216(10):2316-2330. doi: 10.1084/jem.20190446. Epub 2019 Jul 25.","Dosenovic P","J Exp Med","2019","2019/07/27","PMC6780999","","10.1084/jem.20190446"
