PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30792814","Barriers in Latin America for the management of locally advanced breast cancer","Pinto JA, Pinillos L, Villarreal-Garza C, Morante Z, Villarán MV, Mejía G, Caglevic C, Aguilar A, Fajardo W, Usuga F, Carrasco M, Rebaza P, Posada AM, Tirado-Hurtado I, Flores C, Vallejos CS.","Ecancermedicalscience. 2019 Jan 22;13:897. doi: 10.3332/ecancer.2019.897. eCollection 2019.","Pinto JA","Ecancermedicalscience","2019","2019/02/23","PMC6372299","","10.3332/ecancer.2019.897"
"34011233","Linkage to care after HIV diagnosis among men who have sex with men and transgender women in Lima, Peru","Primbas AD, White E, Long JE, Wilson J, Pasalar S, Sanchez H, Cabello RL, Sanchez J, Meneses G, Villarán MV, Lama JR, Duerr A.","AIDS Care. 2022 May;34(5):580-584. doi: 10.1080/09540121.2021.1929818. Epub 2021 May 20.","Primbas AD","AIDS Care","2022","2021/05/20","PMC8605033","NIHMS1752151","10.1080/09540121.2021.1929818"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
"34702087","Correlates of condomless anal intercourse with different types of sexual partners among men who have sex with men and transgender women in Lima, Peru","Bachman VF, Montaño MA, Ulrich A, Villaran M, Cabello R, Gonzalez P, Sanchez H, Lama JR, Duerr A.","AIDS Care. 2023 Jun;35(6):791-799. doi: 10.1080/09540121.2021.1994517. Epub 2021 Oct 26.","Bachman VF","AIDS Care","2023","2021/10/27","PMC9038957","NIHMS1751682","10.1080/09540121.2021.1994517"
"34769653","Prevalence of Intimate Partner Violence, Substance Use Disorders and Depression among Incarcerated Women in Lima, Perú","Cyrus E, Sanchez J, Madhivanan P, Lama JR, Bazo AC, Valencia J, Leon SR, Villaran M, Vagenas P, Sciaudone M, Vu D, Coudray MS, Atice FL.","Int J Environ Res Public Health. 2021 Oct 23;18(21):11134. doi: 10.3390/ijerph182111134.","Cyrus E","Int J Environ Res Public Health","2021","2021/11/13","PMC8583326","","10.3390/ijerph182111134"
"19568433","Influenza-like illness sentinel surveillance in Peru","Laguna-Torres VA, Gómez J, Ocaña V, Aguilar P, Saldarriaga T, Chavez E, Perez J, Zamalloa H, Forshey B, Paz I, Gomez E, Ore R, Chauca G, Ortiz E, Villaran M, Vilcarromero S, Rocha C, Chincha O, Jiménez G, Villanueva M, Pozo E, Aspajo J, Kochel T.","PLoS One. 2009 Jul 1;4(7):e6118. doi: 10.1371/journal.pone.0006118.","Laguna-Torres VA","PLoS One","2009","2009/07/02","PMC2700970","","10.1371/journal.pone.0006118"
"22398988","Condom use by partner type among military and police personnel in Peru","Villaran MV, Bayer A, Konda KA, Mendoza C, Quijandria H, Ampuero JS, Apolaya M, Palacios O, Lescano AG, Vega AM, Blazes DL, Kochel T, Montano SM.","Am J Mens Health. 2012 Jul;6(4):266-72. doi: 10.1177/1557988311431628. Epub 2012 Mar 7.","Villaran MV","Am J Mens Health","2012","2012/03/09","PMC4080898","NIHMS594077","10.1177/1557988311431628"
"36962933","Substance use and other correlates of HIV infection among transwomen and men who have sex with men in Perú: Implications for targeted HIV prevention strategies for transwomen","Cyrus E, Lama JR, Sanchez J, Sullivan DS, Leon S, Villaran MV, Vagenas P, Vu D, Coudray M, Altice FL.","PLOS Glob Public Health. 2023 Jan 12;3(1):e0001464. doi: 10.1371/journal.pgph.0001464. eCollection 2023.","Cyrus E","PLOS Glob Public Health","2023","2023/03/24","PMC10022005","","10.1371/journal.pgph.0001464"
"22616720","Serologic evidence for human hantavirus infection in Peru","Castillo Oré RM, Forshey BM, Huaman A, Villaran MV, Long KC, Kochel TJ, Guevara C, Montgomery JM, Alvarez CA, Vilcarromero S, Morrison AC, Halsey ES.","Vector Borne Zoonotic Dis. 2012 Aug;12(8):683-9. doi: 10.1089/vbz.2011.0820. Epub 2012 May 22.","Castillo Oré RM","Vector Borne Zoonotic Dis","2012","2012/05/24","","","10.1089/vbz.2011.0820"
"24119298","Human rhinoviruses and enteroviruses in influenza-like illness in Latin America","Garcia J, Espejo V, Nelson M, Sovero M, Villaran MV, Gomez J, Barrantes M, Sanchez F, Comach G, Arango AE, Aguayo N, de Rivera IL, Chicaiza W, Jimenez M, Aleman W, Rodriguez F, Gonzales MS, Kochel TJ, Halsey ES.","Virol J. 2013 Oct 11;10:305. doi: 10.1186/1743-422X-10-305.","Garcia J","Virol J","2013","2013/10/15","PMC3854537","","10.1186/1743-422X-10-305"
