PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34329577","Dose-dense brentuximab vedotin plus ifosfamide, carboplatin, and etoposide for second-line treatment of relapsed or refractory classical Hodgkin lymphoma: a single centre, phase 1/2 study","Lynch RC, Cassaday RD, Smith SD, Fromm JR, Cowan AJ, Warren EH, Shadman MS, Shustov A, Till BG, Ujjani CS, Libby EN 3rd, Philip M, Coye H, Martino CN, Bhark SL, Morris K, Rasmussen H, Behnia S, Voutsinas J, Gopal AK.","Lancet Haematol. 2021 Aug;8(8):e562-e571. doi: 10.1016/S2352-3026(21)00170-8.","Lynch RC","Lancet Haematol","2021","2021/07/30","PMC8457616","NIHMS1730456","10.1016/S2352-3026(21)00170-8"
"35073168","Precision Medicine in Low- and Middle-Income Countries","Radich JP, Briercheck E, Chiu DT, Menon MP, Sala Torra O, Yeung CCS, Warren EH.","Annu Rev Pathol. 2022 Jan 24;17:387-402. doi: 10.1146/annurev-pathol-042320-034052.","Radich JP","Annu Rev Pathol","2022","2022/01/24","PMC9275191","NIHMS1813122","10.1146/annurev-pathol-042320-034052"
"33667140","Current status of antigen-specific T-cell immunotherapy for advanced renal-cell carcinoma","Xu Y, Miller CP, Warren EH, Tykodi SS.","Hum Vaccin Immunother. 2021 Jul 3;17(7):1882-1896. doi: 10.1080/21645515.2020.1870846. Epub 2021 Mar 5.","Xu Y","Hum Vaccin Immunother","2021","2021/03/05","PMC8189101","","10.1080/21645515.2020.1870846"
"22859606","Effect of MHC and non-MHC donor/recipient genetic disparity on the outcome of allogeneic HCT","Warren EH, Zhang XC, Li S, Fan W, Storer BE, Chien JW, Boeckh MJ, Zhao LP, Martin PJ, Hansen JA.","Blood. 2012 Oct 4;120(14):2796-806. doi: 10.1182/blood-2012-04-347286. Epub 2012 Aug 2.","Warren EH","Blood","2012","2012/08/04","PMC3466963","","10.1182/blood-2012-04-347286"
"34807468","Heterologous SARS-CoV-2 vaccinations in patients with B-cell lymphoid malignancies","Ujjani C, Greninger AL, Shadman M, Hill JA, Lynch RC, Warren EH, Gopal AK.","Am J Hematol. 2022 Feb 1;97(2):E67-E69. doi: 10.1002/ajh.26418. Epub 2021 Nov 30.","Ujjani C","Am J Hematol","2022","2021/11/22","PMC9011525","","10.1002/ajh.26418"
"21195308","Graft versus leukemia reactivity after allogeneic stem cell transplantation","Falkenburg JH, Warren EH.","Biol Blood Marrow Transplant. 2011 Jan;17(1 Suppl):S33-8. doi: 10.1016/j.bbmt.2010.11.009.","Falkenburg JH","Biol Blood Marrow Transplant","2011","2011/01/04","","","10.1016/j.bbmt.2010.11.009"
"27416962","Mechanisms of immune evasion and current status of checkpoint inhibitors in non-small cell lung cancer","Qin A, Coffey DG, Warren EH, Ramnath N.","Cancer Med. 2016 Sep;5(9):2567-78. doi: 10.1002/cam4.819. Epub 2016 Jul 15.","Qin A","Cancer Med","2016","2016/07/16","PMC5055165","","10.1002/cam4.819"
"22226099","Applications of next-generation sequencing to blood and marrow transplantation","Chapman M, Warren EH 3rd, Wu CJ.","Biol Blood Marrow Transplant. 2012 Jan;18(1 Suppl):S151-60. doi: 10.1016/j.bbmt.2011.11.011.","Chapman M","Biol Blood Marrow Transplant","2012","2012/01/10","PMC3260465","NIHMS341631","10.1016/j.bbmt.2011.11.011"
"22282500","Evaluation of published single nucleotide polymorphisms associated with acute GVHD","Chien JW, Zhang XC, Fan W, Wang H, Zhao LP, Martin PJ, Storer BE, Boeckh M, Warren EH, Hansen JA.","Blood. 2012 May 31;119(22):5311-9. doi: 10.1182/blood-2011-09-371153. Epub 2012 Jan 26.","Chien JW","Blood","2012","2012/01/28","PMC3369619","","10.1182/blood-2011-09-371153"
"36735485","Immunohistochemical Detection of 5T4 in Renal Cell Carcinoma","Miller CP, Shokri F, Akilesh S, Xu Y, Warren EH, Tykodi SS, Tretiakova M.","Appl Immunohistochem Mol Morphol. 2023 Mar 1;31(3):135-144. doi: 10.1097/PAI.0000000000001101. Epub 2023 Feb 6.","Miller CP","Appl Immunohistochem Mol Morphol","2023","2023/02/03","","","10.1097/PAI.0000000000001101"
