PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32255483","Before the Flood","Seattle Front Line Infection Prevention, Public Health, and Clinical Healthcare Teams.","Clin Infect Dis. 2020 Dec 3;71(9):2513-2515. doi: 10.1093/cid/ciaa393.","Seattle Front Line Infection Prevention, Public Health, and Clinical Healthcare Teams","Clin Infect Dis","2020","2020/04/08","PMC7184343","","10.1093/cid/ciaa393"
"37085225","SARS-CoV-2 Infection and COVID-19 in Children","Waghmare A, Hijano DR.","Clin Chest Med. 2023 Jun;44(2):359-371. doi: 10.1016/j.ccm.2022.11.014. Epub 2022 Nov 22.","Waghmare A","Clin Chest Med","2023","2023/04/21","PMC9678836","","10.1016/j.ccm.2022.11.014"
"35849517","Monoclonal antibodies for prophylaxis and treatment of respiratory viral infections","Boonyaratanakornkit J, Boeckh M, Waghmare A.","Curr Opin Infect Dis. 2022 Aug 1;35(4):280-287. doi: 10.1097/QCO.0000000000000846. Epub 2022 Jul 5.","Boonyaratanakornkit J","Curr Opin Infect Dis","2022","2022/07/18","","","10.1097/QCO.0000000000000846"
"33764433","Unraveling the lung metatranscriptome in HCT","Waghmare A, Gharib SA.","Blood. 2021 Mar 25;137(12):1570-1572. doi: 10.1182/blood.2020010539.","Waghmare A","Blood","2021","2021/03/25","","","10.1182/blood.2020010539"
"35447514","Correlation of initial upper respiratory tract viral burden with progression to lower tract disease in adult allogeneic hematopoietic cell transplant recipients","Ogimi C, Xie H, Waghmare A, Jerome KR, Leisenring WM, Milano F, Englund JA, Boeckh M.","J Clin Virol. 2022 Jun;150-151:105152. doi: 10.1016/j.jcv.2022.105152. Epub 2022 Apr 4.","Ogimi C","J Clin Virol","2022","2022/04/21","PMC9206235","NIHMS1799556","10.1016/j.jcv.2022.105152"
"32918548","Multicenter Interim Guidance on Use of Antivirals for Children With Coronavirus Disease 2019/Severe Acute Respiratory Syndrome Coronavirus 2","Chiotos K, Hayes M, Kimberlin DW, Jones SB, James SH, Pinninti SG, Yarbrough A, Abzug MJ, MacBrayne CE, Soma VL, Dulek DE, Vora SB, Waghmare A, Wolf J, Olivero R, Grapentine S, Wattier RL, Bio L, Cross SJ, Dillman NO, Downes KJ, Oliveira CR, Timberlake K, Young J, Orscheln RC, Tamma PD, Schwenk HT, Zachariah P, Aldrich ML, Goldman DL, Groves HE, Rajapakse NS, Lamb GS, Tribble AC, Hersh AL, Thorell EA, Denison MR, Ratner AJ, Newland JG, Nakamura MM.","J Pediatric Infect Dis Soc. 2021 Feb 13;10(1):34-48. doi: 10.1093/jpids/piaa115.","Chiotos K","J Pediatric Infect Dis Soc","2021","2020/09/12","PMC7543452","","10.1093/jpids/piaa115"
"26968533","How I treat respiratory viral infections in the setting of intensive chemotherapy or hematopoietic cell transplantation","Waghmare A, Englund JA, Boeckh M.","Blood. 2016 Jun 2;127(22):2682-92. doi: 10.1182/blood-2016-01-634873. Epub 2016 Mar 11.","Waghmare A","Blood","2016","2016/03/13","PMC4891952","","10.1182/blood-2016-01-634873"
"28472318","Parainfluenza Virus 3-Specific T Cells: Opportunity for Intervention?","Waghmare A, Englund JA, Boeckh M.","J Infect Dis. 2017 Jul 15;216(2):147-149. doi: 10.1093/infdis/jix207.","Waghmare A","J Infect Dis","2017","2017/05/05","PMC5854008","","10.1093/infdis/jix207"
"36476522","Monoclonal Antibody and Antiviral Therapy for Mild-to-Moderate COVID-19 in Pediatric Patients","Vora SB, Englund JA, Trehan I, Waghmare A, Kong A, Adler A, Zerr DM.","Pediatr Infect Dis J. 2023 Jan 1;42(1):32-34. doi: 10.1097/INF.0000000000003740. Epub 2022 Oct 21.","Vora SB","Pediatr Infect Dis J","2023","2022/12/08","PMC9725736","","10.1097/INF.0000000000003740"
"32710762","Reliability of Self-Sampling for Accurate Assessment of Respiratory Virus Viral and Immunologic Kinetics","Waghmare A, Krantz EM, Baral S, Vasquez E, Loeffelholz T, Chung EL, Pandey U, Kuypers J, Duke ER, Jerome KR, Greninger AL, Reeves DB, Hladik F, Cardozo-Ojeda EF, Boeckh M, Schiffer JT.","J Infect Dis. 2022 Aug 24;226(2):278-286. doi: 10.1093/infdis/jiaa451.","Waghmare A","J Infect Dis","2022","2020/07/26","PMC7454707","","10.1093/infdis/jiaa451"
"36103987","Revised Guidelines for Coronavirus Disease 19 Management in Hematopoietic Cell Transplantation and Cellular Therapy Recipients (August 2022)","Dioverti V, Boghdadly ZE, Shahid Z, Waghmare A, Abidi MZ, Pergam S, Boeckh M, Dadwal S, Kamboj M, Seo S, Chemaly RF, Papanicolaou GA.","Transplant Cell Ther. 2022 Dec;28(12):810-821. doi: 10.1016/j.jtct.2022.09.002. Epub 2022 Sep 11.","Dioverti V","Transplant Cell Ther","2022","2022/09/14","PMC9464362","","10.1016/j.jtct.2022.09.002"
"35446933","Respiratory viruses in hematopoietic cell transplant candidates: impact of preexisting lower tract disease on outcomes","Kim YJ, Waghmare A, Xie H, Holmberg L, Pergam SA, Jerome KR, Leisenring WM, Ogimi C, Campbell AP, Englund JA, Boeckh M.","Blood Adv. 2022 Sep 27;6(18):5307-5316. doi: 10.1182/bloodadvances.2021004915.","Kim YJ","Blood Adv","2022","2022/04/21","PMC9631699","","10.1182/bloodadvances.2021004915"
"36853602","Acute and Postacute COVID-19 Outcomes Among Immunologically Naive Adults During Delta vs Omicron Waves","Doll MK, Waghmare A, Heit A, Levenson Shakoor B, Kimball LE, Ozbek N, Blazevic RL, Mose L, Boonyaratanakornkit J, Stevens-Ayers TL, Cornell K, Sheppard BD, Hampson E, Sharmin F, Goodwin B, Dan JM, Archie T, O'Connor T, Heckerman D, Schmitz F, Boeckh M, Crotty S.","JAMA Netw Open. 2023 Feb 1;6(2):e231181. doi: 10.1001/jamanetworkopen.2023.1181.","Doll MK","JAMA Netw Open","2023","2023/02/28","PMC9975921","","10.1001/jamanetworkopen.2023.1181"
"32736007","Guidelines for COVID-19 Management in Hematopoietic Cell Transplantation and Cellular Therapy Recipients","Waghmare A, Abidi MZ, Boeckh M, Chemaly RF, Dadwal S, El Boghdadly Z, Kamboj M, Papanicolaou GA, Pergam SA, Shahid Z.","Biol Blood Marrow Transplant. 2020 Nov;26(11):1983-1994. doi: 10.1016/j.bbmt.2020.07.027. Epub 2020 Jul 28.","Waghmare A","Biol Blood Marrow Transplant","2020","2020/08/01","PMC7386267","","10.1016/j.bbmt.2020.07.027"
"35173288","Novel factors to predict respiratory viral disease progression in allogeneic hematopoietic cell transplant recipients","Ogimi C, Xie H, Waghmare A, Jerome KR, Leisenring WM, Ueda Oshima M, Carpenter PA, Englund JA, Boeckh M.","Bone Marrow Transplant. 2022 Apr;57(4):649-657. doi: 10.1038/s41409-022-01575-z. Epub 2022 Feb 16.","Ogimi C","Bone Marrow Transplant","2022","2022/02/17","PMC8853301","","10.1038/s41409-022-01575-z"
