PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35763740","Engaging in Intersectional Liberation for Every(Black)Body Impacted by Anti-Blackness and HIV-Related Stigma","Nnaji C, Smith JC, Daffin GK, Wallace SE, Hopkins E.","Am J Public Health. 2022 Jun;112(S4):S380-S383. doi: 10.2105/AJPH.2021.306711.","Nnaji C","Am J Public Health","2022","2022/06/28","PMC9241470","","10.2105/AJPH.2021.306711"
"31800273","Stigma, Implicit Bias, and Long-Lasting Prevention Interventions to End the Domestic HIV/AIDS Epidemic","Andrasik M, Broder G, Oseso L, Wallace S, Rentas F, Corey L.","Am J Public Health. 2020 Jan;110(1):67-68. doi: 10.2105/AJPH.2019.305454.","Andrasik M","Am J Public Health","2020","2019/12/05","PMC6893342","","10.2105/AJPH.2019.305454"
"37012537","Mapping Community-Engaged Implementation Strategies with Transgender Scientists, Stakeholders, and Trans-Led Community Organizations","Restar A, Minalga BJ, Quilantang MI, Adamson T, Dusic E, van der Merwe LA, Millet G, Rosadiño D, Laguing T, Lett E, Everhart A, Phillips G 2nd, Janamnuaysook R, Seekaew P, Baker K, Ashley F, Wickersham J, Wallace SE, Operario D, Gamarel KE.","Curr HIV/AIDS Rep. 2023 Jun;20(3):160-169. doi: 10.1007/s11904-023-00656-y. Epub 2023 Apr 4.","Restar A","Curr HIV/AIDS Rep","2023","2023/04/03","PMC10071255","","10.1007/s11904-023-00656-y"
"35636901","Awakening: The Unveiling of Historically Unaddressed Social Inequities During the COVID-19 Pandemic in the United States","Andrasik MP, Maunakea AK, Oseso L, Rodriguez-Diaz CE, Wallace S, Walters K, Yukawa M.","Infect Dis Clin North Am. 2022 Jun;36(2):295-308. doi: 10.1016/j.idc.2022.01.009. Epub 2022 Feb 1.","Andrasik MP","Infect Dis Clin North Am","2022","2022/05/31","PMC8806123","NIHMS1777210","10.1016/j.idc.2022.01.009"
"33504629","Shadow of HIV exceptionalism 40 years later","Blain M, Wallace SE, Tuegel C.","J Med Ethics. 2021 Nov;47(11):727-728. doi: 10.1136/medethics-2020-106908. Epub 2021 Jan 27.","Blain M","J Med Ethics","2021","2021/01/28","","","10.1136/medethics-2020-106908"
"37392020","Perspectives on Design Approaches for HIV Prevention Efficacy Trials","Prudden HJ, Tatoud R, Janes H, Wallace S, Miller V, Bekker LG, Donnell D.","AIDS Res Hum Retroviruses. 2023 Jun 30. doi: 10.1089/AID.2022.0150. Online ahead of print.","Prudden HJ","AIDS Res Hum Retroviruses","2023","2023/07/01","","","10.1089/AID.2022.0150"
"32123636","House Ball Community Leaders' Perceptions of HIV and HIV Vaccine Research","Alio AP, Sibley C, Ouedraogo HS, Wallace SE, Wakefield S, Humes DL, Fields SD, Keefer MC.","Int J MCH AIDS. 2020;9(1):136-145. doi: 10.21106/ijma.331. Epub 2020 Feb 13.","Alio AP","Int J MCH AIDS","2020","2020/03/04","PMC7031880","","10.21106/ijma.331"
"34665829","Increasing Black, Indigenous and People of Color participation in clinical trials through community engagement and recruitment goal establishment","Andrasik MP, Broder GB, Wallace SE, Chaturvedi R, Michael NL, Bock S, Beyrer C, Oseso L, Aina J, Lucas J, Wilson DR, Kublin JG, Mensah GA.","PLoS One. 2021 Oct 19;16(10):e0258858. doi: 10.1371/journal.pone.0258858. eCollection 2021.","Andrasik MP","PLoS One","2021","2021/10/19","PMC8525736","","10.1371/journal.pone.0258858"
"32941520","Standardized metrics can reveal region-specific opportunities in community engagement to aid recruitment in HIV prevention trials","Broder GB, Lucas JP, Davis J, Wallace SE, Luthuli N, Baepanye K, White RR, Bolton M, Blanchette C, Andrasik MP.","PLoS One. 2020 Sep 17;15(9):e0239276. doi: 10.1371/journal.pone.0239276. eCollection 2020.","Broder GB","PLoS One","2020","2020/09/17","PMC7498108","","10.1371/journal.pone.0239276"
"36626154","Examining the Role of Autonomy Support, Goal Setting, and Care Coordination Quality on HIV PrEP Adherence in Black Men Who Have Sex with Men: HPTN 073","Boyd DT, Nelson LE, Hill MJ, Whitfield D, Ramos SR, Akyirem S, Emel L, Wilton L, Hightow-Weidman L, Shoptaw S, Magnus M, Mayer KH, Piwowar-Manning E, Wallace SE, Fields SD, Wheeler DP.","AIDS Patient Care STDS. 2023 Jan;37(1):22-30. doi: 10.1089/apc.2022.0139.","Boyd DT","AIDS Patient Care STDS","2023","2023/01/10","PMC10024067","","10.1089/apc.2022.0139"
"26293427","The Vancouver Consensus: antiretroviral medicines, medical evidence, and political will","Beyrer C, Birx DL, Bekker LG, Barré-Sinoussi F, Cahn P, Dybul MR, Eholié SP, Kavanagh MM, Katabira ET, Lundgren JD, Mworeko L, Pala M, Puttanakit T, Ryan O, Sidibé M, Montaner JS; Vancouver Consensus Signatories.","Lancet. 2015 Aug 8;386(9993):505-7. doi: 10.1016/S0140-6736(15)61458-1.","Beyrer C","Lancet","2015","2015/08/22","","","10.1016/S0140-6736(15)61458-1"
"36689221","Rapid Development of an Integrated Network Infrastructure to Conduct Phase 3 COVID-19 Vaccine Trials","Mena Lora AJ, Long JE, Huang Y, Baden LR, El Sahly HM, Follmann D, Goepfert P, Gray G, Grinsztejn B, Kotloff K, Rouphael N, Sobieszczyk M, Walsh SR, Andriesen J, Shah KA, Zhang Y, Gilbert P, Janes H, Gay CL, Falsey AR, Tripp RL, Gorman RL, Tong T, Marovich M, Neuzil K, Corey L, Kublin JG; COVID-19 Prevention Network.","JAMA Netw Open. 2023 Jan 3;6(1):e2251974. doi: 10.1001/jamanetworkopen.2022.51974.","Mena Lora AJ","JAMA Netw Open","2023","2023/01/23","","","10.1001/jamanetworkopen.2022.51974"
"25642120","Project VOGUE: A partnership for increasing HIV knowledge and HIV vaccine trial awareness among House Ball leaders in Western New York","Alio AP, Fields SD, Humes DL, Bunce CA, Wallace SE, Lewis C, Elder H, Wakefield S, Keefer MC; for the NIAID HIV Vaccine Trials Network.","J Gay Lesbian Soc Serv. 2014 Jul 1;26(3):336-354. doi: 10.1080/10538720.2014.924892.","Alio AP","J Gay Lesbian Soc Serv","2014","2015/02/03","PMC4308092","NIHMS615585","10.1080/10538720.2014.924892"
