PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32985507","Viral gene drive in herpesviruses","Walter M, Verdin E.","Nat Commun. 2020 Sep 28;11(1):4884. doi: 10.1038/s41467-020-18678-0.","Walter M","Nat Commun","2020","2020/09/28","PMC7522973","","10.1038/s41467-020-18678-0"
"35018374","SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein","Walter M, Chen IP, Vallejo-Gracia A, Kim IJ, Bielska O, Lam VL, Hayashi JM, Cruz A, Shah S, Gross JD, Krogan NJ, Schilling B, Ott M, Verdin E.","bioRxiv. 2022 Jan 5:2022.01.04.474979. doi: 10.1101/2022.01.04.474979. Preprint.","Walter M","bioRxiv","2022","2022/01/12","PMC8750649","","10.1101/2022.01.04.474979"
"36095012","SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein","Walter M, Chen IP, Vallejo-Gracia A, Kim IJ, Bielska O, Lam VL, Hayashi JM, Cruz A, Shah S, Soveg FW, Gross JD, Krogan NJ, Jerome KR, Schilling B, Ott M, Verdin E.","PLoS Pathog. 2022 Sep 12;18(9):e1010811. doi: 10.1371/journal.ppat.1010811. eCollection 2022 Sep.","Walter M","PLoS Pathog","2022","2022/09/12","PMC9499238","","10.1371/journal.ppat.1010811"
"36977698","Coenzyme A binding sites induce proximal acylation across protein families","Carrico C, Cruz A, Walter M, Meyer J, Wehrfritz C, Shah S, Wei L, Schilling B, Verdin E.","Sci Rep. 2023 Mar 28;13(1):5029. doi: 10.1038/s41598-023-31900-5.","Carrico C","Sci Rep","2023","2023/03/28","PMC10050154","","10.1038/s41598-023-31900-5"
"32541947","FOXO1 promotes HIV latency by suppressing ER stress in T cells","Vallejo-Gracia A, Chen IP, Perrone R, Besnard E, Boehm D, Battivelli E, Tezil T, Krey K, Raymond KA, Hull PA, Walter M, Habrylo I, Cruz A, Deeks S, Pillai S, Verdin E, Ott M.","Nat Microbiol. 2020 Sep;5(9):1144-1157. doi: 10.1038/s41564-020-0742-9. Epub 2020 Jun 15.","Vallejo-Gracia A","Nat Microbiol","2020","2020/06/17","PMC7483895","NIHMS1594912","10.1038/s41564-020-0742-9"
"30990414","Dynamic enhancer partitioning instructs activation of a growth-related gene during exit from naïve pluripotency","Greenberg M, Teissandier A, Walter M, Noordermeer D, Bourc'his D.","Elife. 2019 Apr 16;8:e44057. doi: 10.7554/eLife.44057.","Greenberg M","Elife","2019","2019/04/17","PMC6488298","","10.7554/eLife.44057"
"34548480","Characterising proteolysis during SARS-CoV-2 infection identifies viral cleavage sites and cellular targets with therapeutic potential","Meyer B, Chiaravalli J, Gellenoncourt S, Brownridge P, Bryne DP, Daly LA, Grauslys A, Walter M, Agou F, Chakrabarti LA, Craik CS, Eyers CE, Eyers PA, Gambin Y, Jones AR, Sierecki E, Verdin E, Vignuzzi M, Emmott E.","Nat Commun. 2021 Sep 21;12(1):5553. doi: 10.1038/s41467-021-25796-w.","Meyer B","Nat Commun","2021","2021/09/22","PMC8455558","","10.1038/s41467-021-25796-w"
"34011551","Targeting Conserved Sequences Circumvents the Evolution of Resistance in a Viral Gene Drive against Human Cytomegalovirus","Walter M, Perrone R, Verdin E.","J Virol. 2021 Jul 12;95(15):e0080221. doi: 10.1128/JVI.00802-21. Epub 2021 Jul 12.","Walter M","J Virol","2021","2021/05/20","PMC8274616","","10.1128/JVI.00802-21"
"27841881","Transient transcription in the early embryo sets an epigenetic state that programs postnatal growth","Greenberg MV, Glaser J, Borsos M, Marjou FE, Walter M, Teissandier A, Bourc'his D.","Nat Genet. 2017 Jan;49(1):110-118. doi: 10.1038/ng.3718. Epub 2016 Nov 14.","Greenberg MV","Nat Genet","2017","2016/11/15","","","10.1038/ng.3718"
"26109049","DNA methylation restrains transposons from adopting a chromatin signature permissive for meiotic recombination","Zamudio N, Barau J, Teissandier A, Walter M, Borsos M, Servant N, Bourc'his D.","Genes Dev. 2015 Jun 15;29(12):1256-70. doi: 10.1101/gad.257840.114.","Zamudio N","Genes Dev","2015","2015/06/26","PMC4495397","","10.1101/gad.257840.114"
"26814573","An epigenetic switch ensures transposon repression upon dynamic loss of DNA methylation in embryonic stem cells","Walter M, Teissandier A, Pérez-Palacios R, Bourc'his D.","Elife. 2016 Jan 27;5:e11418. doi: 10.7554/eLife.11418.","Walter M","Elife","2016","2016/01/28","PMC4769179","","10.7554/eLife.11418"
"23561645","A MATLAB based orientation analysis of Acheulean handaxe accumulations in Olorgesailie and Kariandusi, Kenya Rift","Walter MJ, Trauth MH.","J Hum Evol. 2013 Jun;64(6):569-81. doi: 10.1016/j.jhevol.2013.02.011. Epub 2013 Apr 3.","Walter MJ","J Hum Evol","2013","2013/04/09","","","10.1016/j.jhevol.2013.02.011"
