PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33657225","Cytomegalovirus-specific T-cell reconstitution following letermovir prophylaxis after hematopoietic cell transplantation","Zamora D, Duke ER, Xie H, Edmison BC, Akoto B, Kiener R, Stevens-Ayers T, Wagner R, Mielcarek M, Leisenring WM, Jerome KR, Schiffer JT, Finak G, De Rosa SC, Boeckh M.","Blood. 2021 Jul 8;138(1):34-43. doi: 10.1182/blood.2020009396.","Zamora D","Blood","2021","2021/03/03","PMC8493975","","10.1182/blood.2020009396"
"36240285","Depletion of exhausted alloreactive T cells enables targeting of stem-like memory T cells to generate tumor-specific immunity","Minnie SA, Waltner OG, Ensbey KS, Nemychenkov NS, Schmidt CR, Bhise SS, Legg SRW, Campoy G, Samson LD, Kuns RD, Zhou T, Huck JD, Vuckovic S, Zamora D, Yeh A, Spencer A, Koyama M, Markey KA, Lane SW, Boeckh M, Ring AM, Furlan SN, Hill GR.","Sci Immunol. 2022 Oct 21;7(76):eabo3420. doi: 10.1126/sciimmunol.abo3420. Epub 2022 Oct 14.","Minnie SA","Sci Immunol","2022","2022/10/14","PMC10184646","NIHMS1861113","10.1126/sciimmunol.abo3420"
"36693927","Cytomegalovirus breakthrough and resistance during letermovir prophylaxis","Perchetti GA, Biernacki MA, Xie H, Castor J, Joncas-Schronce L, Ueda Oshima M, Kim Y, Jerome KR, Sandmaier BM, Martin PJ, Boeckh M, Greninger AL, Zamora D.","Bone Marrow Transplant. 2023 Apr;58(4):430-436. doi: 10.1038/s41409-023-01920-w. Epub 2023 Jan 24.","Perchetti GA","Bone Marrow Transplant","2023","2023/01/24","","","10.1038/s41409-023-01920-w"
"34402885","Delayed-onset cytomegalovirus infection is frequent after discontinuing letermovir in cord blood transplant recipients","Hill JA, Zamora D, Xie H, Thur LA, Delaney C, Dahlberg A, Pergam SA, Leisenring WM, Boeckh M, Milano F.","Blood Adv. 2021 Aug 24;5(16):3113-3119. doi: 10.1182/bloodadvances.2021004362.","Hill JA","Blood Adv","2021","2021/08/17","PMC8405185","","10.1182/bloodadvances.2021004362"
"28122949","Regulators of Lysosome Function and Dynamics in Caenorhabditis elegans","Gee K, Zamora D, Horm T, George L, Upchurch C, Randall J, Weaver C, Sanford C, Miller A, Hernandez S, Dang H, Fares H.","G3 (Bethesda). 2017 Mar 10;7(3):991-1000. doi: 10.1534/g3.116.037515.","Gee K","G3 (Bethesda)","2017","2017/01/27","PMC5345728","","10.1534/g3.116.037515"
"28137807","Inhibition of Pseudomonas aeruginosa by Peptide-Conjugated Phosphorodiamidate Morpholino Oligomers","Howard JJ, Sturge CR, Moustafa DA, Daly SM, Marshall-Batty KR, Felder CF, Zamora D, Yabe-Gill M, Labandeira-Rey M, Bailey SM, Wong M, Goldberg JB, Geller BL, Greenberg DE.","Antimicrob Agents Chemother. 2017 Mar 24;61(4):e01938-16. doi: 10.1128/AAC.01938-16. Print 2017 Apr.","Howard JJ","Antimicrob Agents Chemother","2017","2017/02/01","PMC5365667","","10.1128/AAC.01938-16"
"36595478","Impact of GVHD prophylaxis on CMV reactivation and disease after HLA-matched peripheral blood stem cell transplantation","Ueda Oshima M, Xie H, Zamora D, Flowers ME, Hill GR, Mielcarek MB, Sandmaier BM, Gooley TA, Boeckh MJ.","Blood Adv. 2023 Apr 25;7(8):1394-1403. doi: 10.1182/bloodadvances.2022009112.","Ueda Oshima M","Blood Adv","2023","2023/01/03","PMC10139935","","10.1182/bloodadvances.2022009112"
"33436433","Peptide-Conjugated Phosphorodiamidate Morpholino Oligomers Retain Activity against Multidrug-Resistant Pseudomonas aeruginosa In Vitro and In Vivo","Moustafa DA, Wu AW, Zamora D, Daly SM, Sturge CR, Pybus C, Geller BL, Goldberg JB, Greenberg DE.","mBio. 2021 Jan 12;12(1):e02411-20. doi: 10.1128/mBio.02411-20.","Moustafa DA","mBio","2021","2021/01/13","PMC7844538","","10.1128/mBio.02411-20"
"33052361","Clinical, laboratory, and temporal predictors of neutralizing antibodies to SARS-CoV-2 after COVID-19","Boonyaratanakornkit J, Morishima C, Selke S, Zamora D, McGuffin S, Shapiro AE, Campbell VL, McClurkan CL, Jing L, Gross R, Liang J, Postnikova E, Mazur S, Chaudhary A, Das MK, Fink SL, Bryan A, Greninger AL, Jerome KR, Holbrook MR, Gernsheimer TB, Wener MH, Wald A, Koelle DM.","medRxiv. 2020 Oct 21:2020.10.06.20207472. doi: 10.1101/2020.10.06.20207472. Preprint.","Boonyaratanakornkit J","medRxiv","2020","2020/10/14","PMC7553186","","10.1101/2020.10.06.20207472"
"33320842","Clinical, laboratory, and temporal predictors of neutralizing antibodies against SARS-CoV-2 among COVID-19 convalescent plasma donor candidates","Boonyaratanakornkit J, Morishima C, Selke S, Zamora D, McGuffin S, Shapiro AE, Campbell VL, McClurkan CL, Jing L, Gross R, Liang J, Postnikova E, Mazur S, Lukin VV, Chaudhary A, Das MK, Fink SL, Bryan A, Greninger AL, Jerome KR, Holbrook MR, Gernsheimer TB, Wener MH, Wald A, Koelle DM.","J Clin Invest. 2021 Feb 1;131(3):e144930. doi: 10.1172/JCI144930.","Boonyaratanakornkit J","J Clin Invest","2021","2020/12/15","PMC7843229","","10.1172/JCI144930"
