PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33242424","Integrated Proteogenomic Characterization across Major Histological Types of Pediatric Brain Cancer","Petralia F, Tignor N, Reva B, Koptyra M, Chowdhury S, Rykunov D, Krek A, Ma W, Zhu Y, Ji J, Calinawan A, Whiteaker JR, Colaprico A, Stathias V, Omelchenko T, Song X, Raman P, Guo Y, Brown MA, Ivey RG, Szpyt J, Guha Thakurta S, Gritsenko MA, Weitz KK, Lopez G, Kalayci S, Gümüş ZH, Yoo S, da Veiga Leprevost F, Chang HY, Krug K, Katsnelson L, Wang Y, Kennedy JJ, Voytovich UJ, Zhao L, Gaonkar KS, Ennis BM, Zhang B, Baubet V, Tauhid L, Lilly JV, Mason JL, Farrow B, Young N, Leary S, Moon J, Petyuk VA, Nazarian J, Adappa ND, Palmer JN, Lober RM, Rivero-Hinojosa S, Wang LB, Wang JM, Broberg M, Chu RK, Moore RJ, Monroe ME, Zhao R, Smith RD, Zhu J, Robles AI, Mesri M, Boja E, Hiltke T, Rodriguez H, Zhang B, Schadt EE, Mani DR, Ding L, Iavarone A, Wiznerowicz M, Schürer S, Chen XS, Heath AP, Rokita JL, Nesvizhskii AI, Fenyö D, Rodland KD, Liu T, Gygi SP, Paulovich AG, Resnick AC, Storm PB, Rood BR, Wang P; Children’s Brain Tumor Network; Clinical Proteomic Tumor Analysis Consortium.","Cell. 2020 Dec 23;183(7):1962-1985.e31. doi: 10.1016/j.cell.2020.10.044. Epub 2020 Nov 25.","Petralia F","Cell","2020","2020/11/26","PMC8143193","NIHMS1694599","10.1016/j.cell.2020.10.044"
"33761533","SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study","COVIDSurg Collaborative, GlobalSurg Collaborative.","Br J Surg. 2021 Sep 27;108(9):1056-1063. doi: 10.1093/bjs/znab101.","COVIDSurg Collaborative, GlobalSurg Collaborative","Br J Surg","2021","2021/03/24","PMC7995808","","10.1093/bjs/znab101"
"34371522","Effects of pre-operative isolation on postoperative pulmonary complications after elective surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Nov;76(11):1454-1464. doi: 10.1111/anae.15560. Epub 2021 Aug 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/08/09","","","10.1111/anae.15560"
"33690889","Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Jun;76(6):748-758. doi: 10.1111/anae.15458. Epub 2021 Mar 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/03/10","PMC8206995","","10.1111/anae.15458"
"34428858","SARS-CoV-2 infection and venous thromboembolism after surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2022 Jan;77(1):28-39. doi: 10.1111/anae.15563. Epub 2021 Aug 24.","COVIDSurg Collaborative","Anaesthesia","2022","2021/08/24","PMC8652887","","10.1111/anae.15563"
"36777968","A Semiparametric Approach to Model-Based Sensitivity Analysis in Observational Studies","Zhang B, Tchetgen Tchetgen EJ.","J R Stat Soc Ser A Stat Soc. 2022 Dec;185(Suppl 2):S668-S691. doi: 10.1111/rssa.12946. Epub 2022 Nov 24.","Zhang B","J R Stat Soc Ser A Stat Soc","2022","2023/02/13","PMC9916707","NIHMS1828791","10.1111/rssa.12946"
"36509055","Using Malarial Retinopathy to Improve the Diagnosis of Pediatric Cerebral Malaria","Lin Y, Tebulo A, Small D, Seydel K, Taylor T, Zhang B.","Am J Trop Med Hyg. 2022 Dec 12;108(1):69-75. doi: 10.4269/ajtmh.22-0547. Print 2023 Jan 11.","Lin Y","Am J Trop Med Hyg","2022","2022/12/12","PMC9833082","","10.4269/ajtmh.22-0547"
"36640911","Predictors of Intraoperative Echocardiography: Analysis of The Society of Thoracic Surgeons Database","MacKay EJ, Zhang B, Shah RM, Augoustides JG, Groeneveld PW, Desai ND.","Ann Thorac Surg. 2023 May;115(5):1289-1295. doi: 10.1016/j.athoracsur.2023.01.005. Epub 2023 Jan 11.","MacKay EJ","Ann Thorac Surg","2023","2023/01/14","","","10.1016/j.athoracsur.2023.01.005"
"22289434","Sequencing genes in silico using single nucleotide polymorphisms","Zhang XC, Zhang B, Li SS, Huang X, Hansen JA, Zhao LP.","BMC Genet. 2012 Jan 30;13:6. doi: 10.1186/1471-2156-13-6.","Zhang XC","BMC Genet","2012","2012/02/01","PMC3283449","","10.1186/1471-2156-13-6"
"35909042","Impact of Hospital Practice and Staffing Differences on Transesophageal Echocardiography Use in Cardiac Valve or Coronary Artery Bypass Graft Surgery","MacKay EJ, Zhang B, Neuman MD, Augoustides JG, Desai ND, Groeneveld PW.","J Cardiothorac Vasc Anesth. 2022 Nov;36(11):4012-4021. doi: 10.1053/j.jvca.2022.07.005. Epub 2022 Jul 11.","MacKay EJ","J Cardiothorac Vasc Anesth","2022","2022/07/31","","","10.1053/j.jvca.2022.07.005"
"21254215","Predicting multiallelic genes using unphased and flanking single nucleotide polymorphisms","Li SS, Wang H, Smith A, Zhang B, Zhang XC, Schoch G, Geraghty D, Hansen JA, Zhao LP.","Genet Epidemiol. 2011 Feb;35(2):85-92. doi: 10.1002/gepi.20549. Epub 2010 Dec 31.","Li SS","Genet Epidemiol","2011","2011/01/22","PMC3057054","NIHMS265768","10.1002/gepi.20549"
"37334200","Testing Biased Randomization Assumptions and Quantifying Imperfect Matching and Residual Confounding in Matched Observational Studies","Chen K, Heng S, Long Q, Zhang B.","J Comput Graph Stat. 2023;32(2):528-538. doi: 10.1080/10618600.2022.2116447. Epub 2022 Oct 19.","Chen K","J Comput Graph Stat","2023","2023/06/19","PMC10275332","NIHMS1853455","10.1080/10618600.2022.2116447"
"24403859","Tumor evolution and intratumor heterogeneity of an oropharyngeal squamous cell carcinoma revealed by whole-genome sequencing","Zhang XC, Xu C, Mitchell RM, Zhang B, Zhao D, Li Y, Huang X, Fan W, Wang H, Lerma LA, Upton MP, Hay A, Méndez E, Zhao LP.","Neoplasia. 2013 Dec;15(12):1371-8. doi: 10.1593/neo.131400.","Zhang XC","Neoplasia","2013","2014/01/10","PMC3884528","","10.1593/neo.131400"
