PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36123328","Modeling human HSV infection via a vascularized immune-competent skin-on-chip platform","Sun S, Jin L, Zheng Y, Zhu J.","Nat Commun. 2022 Sep 19;13(1):5481. doi: 10.1038/s41467-022-33114-1.","Sun S","Nat Commun","2022","2022/09/19","PMC9485166","","10.1038/s41467-022-33114-1"
"37500295","Human skin-on-a-chip for mpox pathogenesis studies and preclinical drug evaluation","Zhu J, Abaci HE.","Trends Pharmacol Sci. 2023 Jul 26:S0165-6147(23)00150-5. doi: 10.1016/j.tips.2023.07.001. Online ahead of print.","Zhu J","Trends Pharmacol Sci","2023","2023/07/27","","","10.1016/j.tips.2023.07.001"
"35323418","Highly Sensitive Immunoresistive Sensor for Point-Of-Care Screening for COVID-19","Li T, Soelberg SD, Taylor Z, Sakthivelpathi V, Furlong CE, Kim JH, Ahn SG, Han PD, Starita LM, Zhu J, Chung JH.","Biosensors (Basel). 2022 Feb 28;12(3):149. doi: 10.3390/bios12030149.","Li T","Biosensors (Basel)","2022","2022/03/24","PMC8946488","","10.3390/bios12030149"
"32125285","Tissue-resident T cell-derived cytokines eliminate herpes simplex virus-2-infected cells","Roychoudhury P, Swan DA, Duke E, Corey L, Zhu J, Davé V, Spuhler LR, Lund JM, Prlic M, Schiffer JT.","J Clin Invest. 2020 Jun 1;130(6):2903-2919. doi: 10.1172/JCI132583.","Roychoudhury P","J Clin Invest","2020","2020/03/04","PMC7260013","","10.1172/JCI132583"
"35432373","HSV-2-Specific Human Female Reproductive Tract Tissue Resident Memory T Cells Recognize Diverse HSV Antigens","Koelle DM, Dong L, Jing L, Laing KJ, Zhu J, Jin L, Selke S, Wald A, Varon D, Huang ML, Johnston C, Corey L, Posavad CM.","Front Immunol. 2022 Mar 31;13:867962. doi: 10.3389/fimmu.2022.867962. eCollection 2022.","Koelle DM","Front Immunol","2022","2022/04/18","PMC9009524","","10.3389/fimmu.2022.867962"
"30814668","Random-Reaction-Seed Method for Automated Identification of Neurite Elongation and Branching","Li AZ, Corey L, Zhu J.","Sci Rep. 2019 Feb 27;9(1):2908. doi: 10.1038/s41598-019-39962-0.","Li AZ","Sci Rep","2019","2019/03/01","PMC6393450","","10.1038/s41598-019-39962-0"
"34156975","Distinct populations of antigen-specific tissue-resident CD8+ T cells in human cervix mucosa","Peng T, Phasouk K, Bossard E, Klock A, Jin L, Laing KJ, Johnston C, Williams NA, Czartoski JL, Varon D, Long AN, Bielas JH, Snyder TM, Robins H, Koelle DM, McElrath MJ, Wald A, Corey L, Zhu J.","JCI Insight. 2021 Aug 9;6(15):e149950. doi: 10.1172/jci.insight.149950.","Peng T","JCI Insight","2021","2021/06/22","PMC8410090","","10.1172/jci.insight.149950"
"28663436","Keratinocytes produce IL-17c to protect peripheral nervous systems during human HSV-2 reactivation","Peng T, Chanthaphavong RS, Sun S, Trigilio JA, Phasouk K, Jin L, Layton ED, Li AZ, Correnti CE, De van der Schueren W, Vazquez J, O'Day DR, Glass IA, Knipe DM, Wald A, Corey L, Zhu J.","J Exp Med. 2017 Aug 7;214(8):2315-2329. doi: 10.1084/jem.20160581. Epub 2017 Jun 29.","Peng T","J Exp Med","2017","2017/07/01","PMC5551564","","10.1084/jem.20160581"
"30045971","A Fixed Spatial Structure of CD8(+) T Cells in Tissue during Chronic HSV-2 Infection","Schiffer JT, Swan DA, Roychoudhury P, Lund JM, Prlic M, Zhu J, Wald A, Corey L.","J Immunol. 2018 Sep 1;201(5):1522-1535. doi: 10.4049/jimmunol.1800471. Epub 2018 Jul 25.","Schiffer JT","J Immunol","2018","2018/07/27","PMC6103892","NIHMS977566","10.4049/jimmunol.1800471"
"34155235","A CAR RNA FISH assay to study functional and spatial heterogeneity of chimeric antigen receptor T cells in tissue","Eichholz K, Li AZ, Diem K, Jensen MC, Zhu J, Corey L.","Sci Rep. 2021 Jun 21;11(1):12921. doi: 10.1038/s41598-021-92196-x.","Eichholz K","Sci Rep","2021","2021/06/22","PMC8217486","","10.1038/s41598-021-92196-x"
"26073660","Image analysis for accurately counting CD4+ and CD8+ T cells in human tissue","Diem K, Magaret A, Klock A, Jin L, Zhu J, Corey L.","J Virol Methods. 2015 Sep 15;222:117-21. doi: 10.1016/j.jviromet.2015.06.004. Epub 2015 Jun 12.","Diem K","J Virol Methods","2015","2015/06/16","PMC4558892","NIHMS705388","10.1016/j.jviromet.2015.06.004"
"33784252","B cells, antibody-secreting cells, and virus-specific antibodies respond to herpes simplex virus 2 reactivation in skin","Ford ES, Sholukh AM, Boytz R, Carmack SS, Klock A, Phasouk K, Shao D, Rossenkhan R, Edlefsen PT, Peng T, Johnston C, Wald A, Zhu J, Corey L.","J Clin Invest. 2021 May 3;131(9):e142088. doi: 10.1172/JCI142088.","Ford ES","J Clin Invest","2021","2021/03/30","PMC8087200","","10.1172/JCI142088"
"34462503","Author Correction: A CAR RNA FISH assay to study functional and spatial heterogeneity of chimeric antigen receptor T cells in tissue","Eichholz K, Li AZ, Diem K, Jensen MC, Zhu J, Corey L.","Sci Rep. 2021 Aug 30;11(1):17650. doi: 10.1038/s41598-021-96979-0.","Eichholz K","Sci Rep","2021","2021/08/31","PMC8405663","","10.1038/s41598-021-96979-0"
"24554666","Virologic and immunologic evidence of multifocal genital herpes simplex virus 2 infection","Johnston C, Zhu J, Jing L, Laing KJ, McClurkan CM, Klock A, Diem K, Jin L, Stanaway J, Tronstein E, Kwok WW, Huang ML, Selke S, Fong Y, Magaret A, Koelle DM, Wald A, Corey L.","J Virol. 2014 May;88(9):4921-31. doi: 10.1128/JVI.03285-13. Epub 2014 Feb 19.","Johnston C","J Virol","2014","2014/02/21","PMC3993786","","10.1128/JVI.03285-13"
"34552595","Tissue-Resident-Memory CD8(+) T Cells Bridge Innate Immune Responses in Neighboring Epithelial Cells to Control Human Genital Herpes","Peng T, Phasouk K, Sodroski CN, Sun S, Hwangbo Y, Layton ED, Jin L, Klock A, Diem K, Magaret AS, Jing L, Laing K, Li A, Huang ML, Mertens M, Johnston C, Jerome KR, Koelle DM, Wald A, Knipe DM, Corey L, Zhu J.","Front Immunol. 2021 Sep 6;12:735643. doi: 10.3389/fimmu.2021.735643. eCollection 2021.","Peng T","Front Immunol","2021","2021/09/23","PMC8450389","","10.3389/fimmu.2021.735643"
"23657257","Immune surveillance by CD8αα+ skin-resident T cells in human herpes virus infection","Zhu J, Peng T, Johnston C, Phasouk K, Kask AS, Klock A, Jin L, Diem K, Koelle DM, Wald A, Robins H, Corey L.","Nature. 2013 May 23;497(7450):494-7. doi: 10.1038/nature12110. Epub 2013 May 8.","Zhu J","Nature","2013","2013/05/10","PMC3663925","NIHMS458417","10.1038/nature12110"
"23606943","Rapid localized spread and immunologic containment define Herpes simplex virus-2 reactivation in the human genital tract","Schiffer JT, Swan D, Al Sallaq R, Magaret A, Johnston C, Mark KE, Selke S, Ocbamichael N, Kuntz S, Zhu J, Robinson B, Huang ML, Jerome KR, Wald A, Corey L.","Elife. 2013 Apr 16;2:e00288. doi: 10.7554/eLife.00288.","Schiffer JT","Elife","2013","2013/04/23","PMC3629793","","10.7554/eLife.00288"
"30333177","Acute Infection and Subsequent Subclinical Reactivation of Herpes Simplex Virus 2 after Vaginal Inoculation of Rhesus Macaques","Lo M, Zhu J, Hansen SG, Carroll T, Farr Zuend C, Nöel-Romas L, Ma ZM, Fritts L, Huang ML, Sun S, Huang Y, Koelle DM, Picker LJ, Burgener A, Corey L, Miller CJ.","J Virol. 2019 Jan 4;93(2):e01574-18. doi: 10.1128/JVI.01574-18. Print 2019 Jan 15.","Lo M","J Virol","2019","2018/10/19","PMC6321901","","10.1128/JVI.01574-18"
"26986062","In Situ Staining and Laser Capture Microdissection of Lymph Node Residing SIV Gag-Specific CD8+ T cells--A Tool to Interrogate a Functional Immune Response Ex Vivo","Tjernlund A, Burgener A, Lindvall JM, Peng T, Zhu J, Öhrmalm L, Picker LJ, Broliden K, McElrath MJ, Corey L.","PLoS One. 2016 Mar 17;11(3):e0149907. doi: 10.1371/journal.pone.0149907. eCollection 2016.","Tjernlund A","PLoS One","2016","2016/03/18","PMC4795610","","10.1371/journal.pone.0149907"
"20161655","Frequent release of low amounts of herpes simplex virus from neurons: results of a mathematical model","Schiffer JT, Abu-Raddad L, Mark KE, Zhu J, Selke S, Magaret A, Wald A, Corey L.","Sci Transl Med. 2009 Nov 18;1(7):7ra16. doi: 10.1126/scitranslmed.3000193.","Schiffer JT","Sci Transl Med","2009","2010/02/18","PMC2818652","NIHMS163894","10.1126/scitranslmed.3000193"
"19793807","Evasion of the mucosal innate immune system by herpes simplex virus type 2","Peng T, Zhu J, Klock A, Phasouk K, Huang ML, Koelle DM, Wald A, Corey L.","J Virol. 2009 Dec;83(23):12559-68. doi: 10.1128/JVI.00939-09. Epub 2009 Sep 30.","Peng T","J Virol","2009","2009/10/02","PMC2786730","","10.1128/JVI.00939-09"
"19648930","Persistence of HIV-1 receptor-positive cells after HSV-2 reactivation is a potential mechanism for increased HIV-1 acquisition","Zhu J, Hladik F, Woodward A, Klock A, Peng T, Johnston C, Remington M, Magaret A, Koelle DM, Wald A, Corey L.","Nat Med. 2009 Aug;15(8):886-92. doi: 10.1038/nm.2006. Epub 2009 Aug 2.","Zhu J","Nat Med","2009","2009/08/04","PMC2723183","NIHMS124698","10.1038/nm.2006"
"20956313","Mucosal host immune response predicts the severity and duration of herpes simplex virus-2 genital tract shedding episodes","Schiffer JT, Abu-Raddad L, Mark KE, Zhu J, Selke S, Koelle DM, Wald A, Corey L.","Proc Natl Acad Sci U S A. 2010 Nov 2;107(44):18973-8. doi: 10.1073/pnas.1006614107. Epub 2010 Oct 18.","Schiffer JT","Proc Natl Acad Sci U S A","2010","2010/10/20","PMC2973882","","10.1073/pnas.1006614107"
"20158906","In situ detection of Gag-specific CD8+ cells in the GI tract of SIV infected Rhesus macaques","Tjernlund A, Zhu J, Laing K, Diem K, McDonald D, Vazquez J, Cao J, Ohlen C, McElrath MJ, Picker LJ, Corey L.","Retrovirology. 2010 Feb 16;7:12. doi: 10.1186/1742-4690-7-12.","Tjernlund A","Retrovirology","2010","2010/02/18","PMC2834607","","10.1186/1742-4690-7-12"
"27117511","In Situ Detection of Regulatory T Cells in Human Genital Herpes Simplex Virus Type 2 (HSV-2) Reactivation and Their Influence on Spontaneous HSV-2 Reactivation","Milman N, Zhu J, Johnston C, Cheng A, Magaret A, Koelle DM, Huang ML, Jin L, Klock A, Layton ED, Corey L.","J Infect Dis. 2016 Jul 1;214(1):23-31. doi: 10.1093/infdis/jiw091. Epub 2016 Apr 25.","Milman N","J Infect Dis","2016","2016/04/28","PMC4907414","","10.1093/infdis/jiw091"
"22811543","An effector phenotype of CD8+ T cells at the junction epithelium during clinical quiescence of herpes simplex virus 2 infection","Peng T, Zhu J, Phasouk K, Koelle DM, Wald A, Corey L.","J Virol. 2012 Oct;86(19):10587-96. doi: 10.1128/JVI.01237-12. Epub 2012 Jul 18.","Peng T","J Virol","2012","2012/07/20","PMC3457322","","10.1128/JVI.01237-12"
"17325200","Virus-specific CD8+ T cells accumulate near sensory nerve endings in genital skin during subclinical HSV-2 reactivation","Zhu J, Koelle DM, Cao J, Vazquez J, Huang ML, Hladik F, Wald A, Corey L.","J Exp Med. 2007 Mar 19;204(3):595-603. doi: 10.1084/jem.20061792. Epub 2007 Feb 26.","Zhu J","J Exp Med","2007","2007/02/28","PMC2137910","","10.1084/jem.20061792"
