PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35073168","Precision Medicine in Low- and Middle-Income Countries","Radich JP, Briercheck E, Chiu DT, Menon MP, Sala Torra O, Yeung CCS, Warren EH.","Annu Rev Pathol. 2022 Jan 24;17:387-402. doi: 10.1146/annurev-pathol-042320-034052.","Radich JP","Annu Rev Pathol","2022","2022/01/24","PMC9275191","NIHMS1813122","10.1146/annurev-pathol-042320-034052"
"30787130","AIDS-Related Kaposi Sarcoma, Version 2.2019, NCCN Clinical Practice Guidelines in Oncology","Reid E, Suneja G, Ambinder RF, Ard K, Baiocchi R, Barta SK, Carchman E, Cohen A, Crysler OV, Gupta N, Gustafson C, Hall A, Johung KL, Klopp A, LaCasce AS, Lin C, Mehta A, Menon MP, Morgan D, Nathwani N, Noy A, Ratner L, Rizza S, Rudek MA, Sanchez J, Taylor J, Tomlinson B, Wang CJ, Yendamuri S, Dwyer MA; CGC; Freedman-Cass DA.","J Natl Compr Canc Netw. 2019 Feb;17(2):171-189. doi: 10.6004/jnccn.2019.0008.","Reid E","J Natl Compr Canc Netw","2019","2019/02/22","","","10.6004/jnccn.2019.0008"
"33449804","Breast Cancer Clinical Trials: The Landscape at the Uganda Cancer Institute and Lessons Learned","Menon MP, Niyonzima N, Gralow J, Orem J.","JCO Glob Oncol. 2021 Jan;7:127-132. doi: 10.1200/GO.20.00185.","Menon MP","JCO Glob Oncol","2021","2021/01/15","PMC8081514","","10.1200/GO.20.00185"
"17484236","Pasteurization of banked human breast milk","Menon MP, Sobel J, Tauxe RV.","Pediatr Infect Dis J. 2007 Mar;26(3):277-8. doi: 10.1097/01.inf.0000255754.85529.9d.","Menon MP","Pediatr Infect Dis J","2007","2007/05/09","","","10.1097/01.inf.0000255754.85529.9d"
"33200828","Tocilizumab in hospitalized patients with COVID-19: Clinical outcomes, inflammatory marker kinetics, and safety","Hill JA, Menon MP, Dhanireddy S, Wurfel MM, Green M, Jain R, Chan JD, Huang J, Bethune D, Turtle C, Johnston C, Xie H, Leisenring WM, Nina Kim H, Cheng GS.","J Med Virol. 2021 Apr;93(4):2270-2280. doi: 10.1002/jmv.26674. Epub 2020 Nov 22.","Hill JA","J Med Virol","2021","2020/11/17","PMC7753799","","10.1002/jmv.26674"
"30663774","Eligibility for CAR T-cell therapy: An analysis of selection criteria and survival outcomes in chemorefractory DLBCL","Smith SD, Reddy P, Sokolova A, Chow VA, Lynch RC, Shadman MA, Till BG, Shustov AR, Warren EH, Ujjani CS, Menon MP, Tseng YD, Gopal AK.","Am J Hematol. 2019 Apr;94(4):E117-E116. doi: 10.1002/ajh.25411. Epub 2019 Feb 4.","Smith SD","Am J Hematol","2019","2019/01/22","","","10.1002/ajh.25411"
"30099375","Cancer in People Living With HIV, Version 1.2018, NCCN Clinical Practice Guidelines in Oncology","Reid E, Suneja G, Ambinder RF, Ard K, Baiocchi R, Barta SK, Carchman E, Cohen A, Gupta N, Johung KL, Klopp A, LaCasce AS, Lin C, Makarova-Rusher OV, Mehta A, Menon MP, Morgan D, Nathwani N, Noy A, Palella F, Ratner L, Rizza S, Rudek MA, Taylor J, Tomlinson B, Wang CJ, Dwyer MA, Freedman-Cass DA.","J Natl Compr Canc Netw. 2018 Aug;16(8):986-1017. doi: 10.6004/jnccn.2018.0066.","Reid E","J Natl Compr Canc Netw","2018","2018/08/13","","","10.6004/jnccn.2018.0066"
"26880780","Cost and Predictors of Care-Seeking Behaviors Among Caregivers of Febrile Children-Uganda, 2009","Menon MP, Njau JD, McFarland DA; Uganda Malaria Indicator Survey Technical Working Group.","Am J Trop Med Hyg. 2016 Apr;94(4):932-7. doi: 10.4269/ajtmh.15-0730. Epub 2016 Feb 15.","Menon MP","Am J Trop Med Hyg","2016","2016/02/17","PMC4824241","","10.4269/ajtmh.15-0730"
"31056762","Outcomes of patients with large B-cell lymphomas and progressive disease following CD19-specific CAR T-cell therapy","Chow VA, Gopal AK, Maloney DG, Turtle CJ, Smith SD, Ujjani CS, Shadman M, Cassaday RD, Till BG, Tseng YD, Warren EH, Shustov AR, Menon MP, Bhark S, Acharya UH, Mullane E, Hannan LM, Voutsinas JM, Gooley TA, Lynch RC.","Am J Hematol. 2019 Aug;94(8):E209-E213. doi: 10.1002/ajh.25505. Epub 2019 May 21.","Chow VA","Am J Hematol","2019","2019/05/07","PMC6776079","NIHMS1036220","10.1002/ajh.25505"
"30241147","Association Between HIV Infection and Cancer Stage at Presentation at the Uganda Cancer Institute","Menon MP, Coghill A, Mutyaba IO, Phipps WT, Okuku FM, Harlan JM, Orem J, Casper C.","J Glob Oncol. 2018 Sep;4:1-9. doi: 10.1200/JGO.17.00005. Epub 2017 Oct 16.","Menon MP","J Glob Oncol","2018","2018/09/23","PMC6180750","","10.1200/JGO.17.00005"
