PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33378609","Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine","Baden LR, El Sahly HM, Essink B, Kotloff K, Frey S, Novak R, Diemert D, Spector SA, Rouphael N, Creech CB, McGettigan J, Khetan S, Segall N, Solis J, Brosz A, Fierro C, Schwartz H, Neuzil K, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Mascola J, Polakowski L, Ledgerwood J, Graham BS, Bennett H, Pajon R, Knightly C, Leav B, Deng W, Zhou H, Han S, Ivarsson M, Miller J, Zaks T; COVE Study Group.","N Engl J Med. 2021 Feb 4;384(5):403-416. doi: 10.1056/NEJMoa2035389. Epub 2020 Dec 30.","Baden LR","N Engl J Med","2021","2020/12/30","PMC7787219","","10.1056/NEJMoa2035389"
"34812653","Immune correlates analysis of the mRNA-1273 COVID-19 vaccine efficacy clinical trial","Gilbert PB, Montefiori DC, McDermott AB, Fong Y, Benkeser D, Deng W, Zhou H, Houchens CR, Martins K, Jayashankar L, Castellino F, Flach B, Lin BC, O'Connell S, McDanal C, Eaton A, Sarzotti-Kelsoe M, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Huynh C, Miller J, El Sahly HM, Baden LR, Baron M, De La Cruz L, Gay C, Kalams S, Kelley CF, Andrasik MP, Kublin JG, Corey L, Neuzil KM, Carpp LN, Pajon R, Follmann D, Donis RO, Koup RA; Immune Assays Team§; Moderna, Inc. Team§; Coronavirus Vaccine Prevention Network (CoVPN)/Coronavirus Efficacy (COVE) Team§; United States Government (USG)/CoVPN Biostatistics Team§.","Science. 2022 Jan 7;375(6576):43-50. doi: 10.1126/science.abm3425. Epub 2021 Nov 23.","Gilbert PB","Science","2022","2021/11/23","PMC9017870","NIHMS1800809","10.1126/science.abm3425"
"34551225","Efficacy of the mRNA-1273 SARS-CoV-2 Vaccine at Completion of Blinded Phase","El Sahly HM, Baden LR, Essink B, Doblecki-Lewis S, Martin JM, Anderson EJ, Campbell TB, Clark J, Jackson LA, Fichtenbaum CJ, Zervos M, Rankin B, Eder F, Feldman G, Kennelly C, Han-Conrad L, Levin M, Neuzil KM, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Polakowski L, Mascola JR, Ledgerwood JE, Graham BS, August A, Clouting H, Deng W, Han S, Leav B, Manzo D, Pajon R, Schödel F, Tomassini JE, Zhou H, Miller J; COVE Study Group.","N Engl J Med. 2021 Nov 4;385(19):1774-1785. doi: 10.1056/NEJMoa2113017. Epub 2021 Sep 22.","El Sahly HM","N Engl J Med","2021","2021/09/22","PMC8482810","NIHMS1743941","10.1056/NEJMoa2113017"
"33761206","Vaccine Efficacy of ALVAC-HIV and Bivalent Subtype C gp120-MF59 in Adults","Gray GE, Bekker LG, Laher F, Malahleha M, Allen M, Moodie Z, Grunenberg N, Huang Y, Grove D, Prigmore B, Kee JJ, Benkeser D, Hural J, Innes C, Lazarus E, Meintjes G, Naicker N, Kalonji D, Nchabeleng M, Sebe M, Singh N, Kotze P, Kassim S, Dubula T, Naicker V, Brumskine W, Ncayiya CN, Ward AM, Garrett N, Kistnasami G, Gaffoor Z, Selepe P, Makhoba PB, Mathebula MP, Mda P, Adonis T, Mapetla KS, Modibedi B, Philip T, Kobane G, Bentley C, Ramirez S, Takuva S, Jones M, Sikhosana M, Atujuna M, Andrasik M, Hejazi NS, Puren A, Wiesner L, Phogat S, Diaz Granados C, Koutsoukos M, Van Der Meeren O, Barnett SW, Kanesa-Thasan N, Kublin JG, McElrath MJ, Gilbert PB, Janes H, Corey L; HVTN 702 Study Team.","N Engl J Med. 2021 Mar 25;384(12):1089-1100. doi: 10.1056/NEJMoa2031499.","Gray GE","N Engl J Med","2021","2021/03/24","PMC7888373","","10.1056/NEJMoa2031499"
"29513587","HIV Stigma Among Black Women in the United States: Intersectionality, Support, Resilience","Rao D, Andrasik MP, Lipira L.","Am J Public Health. 2018 Apr;108(4):446-448. doi: 10.2105/AJPH.2018.304310.","Rao D","Am J Public Health","2018","2018/03/08","PMC5844414","NIHMS1013922","10.2105/AJPH.2018.304310"
"31800273","Stigma, Implicit Bias, and Long-Lasting Prevention Interventions to End the Domestic HIV/AIDS Epidemic","Andrasik M, Broder G, Oseso L, Wallace S, Rentas F, Corey L.","Am J Public Health. 2020 Jan;110(1):67-68. doi: 10.2105/AJPH.2019.305454.","Andrasik M","Am J Public Health","2020","2019/12/05","PMC6893342","","10.2105/AJPH.2019.305454"
"35636901","Awakening: The Unveiling of Historically Unaddressed Social Inequities During the COVID-19 Pandemic in the United States","Andrasik MP, Maunakea AK, Oseso L, Rodriguez-Diaz CE, Wallace S, Walters K, Yukawa M.","Infect Dis Clin North Am. 2022 Jun;36(2):295-308. doi: 10.1016/j.idc.2022.01.009. Epub 2022 Feb 1.","Andrasik MP","Infect Dis Clin North Am","2022","2022/05/31","PMC8806123","NIHMS1777210","10.1016/j.idc.2022.01.009"
"33606033","Assessment of the Inclusion of Racial/Ethnic Minority, Female, and Older Individuals in Vaccine Clinical Trials","Flores LE, Frontera WR, Andrasik MP, Del Rio C, Mondríguez-González A, Price SA, Krantz EM, Pergam SA, Silver JK.","JAMA Netw Open. 2021 Feb 1;4(2):e2037640. doi: 10.1001/jamanetworkopen.2020.37640.","Flores LE","JAMA Netw Open","2021","2021/02/19","PMC7896193","","10.1001/jamanetworkopen.2020.37640"
"36658109","Immune correlates analysis of the PREVENT-19 COVID-19 vaccine efficacy clinical trial","Fong Y, Huang Y, Benkeser D, Carpp LN, Áñez G, Woo W, McGarry A, Dunkle LM, Cho I, Houchens CR, Martins K, Jayashankar L, Castellino F, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Randhawa AK, Andrasik MP, Kublin JG, Hutter J, Keshtkar-Jahromi M, Beresnev TH, Corey L, Neuzil KM, Follmann D, Ake JA, Gay CL, Kotloff KL, Koup RA, Donis RO, Gilbert PB; Immune Assays Team; Coronavirus Vaccine Prevention Network (CoVPN)/2019nCoV-301 Principal Investigators and Study Team; United States Government (USG)/CoVPN Biostatistics Team.","Nat Commun. 2023 Jan 19;14(1):331. doi: 10.1038/s41467-022-35768-3.","Fong Y","Nat Commun","2023","2023/01/19","PMC9851580","","10.1038/s41467-022-35768-3"
"36949083","Publisher Correction: Immune correlates analysis of the PREVENT-19 COVID-19 vaccine efficacy clinical trial","Fong Y, Huang Y, Benkeser D, Carpp LN, Áñez G, Woo W, McGarry A, Dunkle LM, Cho I, Houchens CR, Martins K, Jayashankar L, Castellino F, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Randhawa AK, Andrasik MP, Kublin JG, Hutter J, Keshtkar-Jahromi M, Beresnev TH, Corey L, Neuzil KM, Follmann D, Ake JA, Gay CL, Kotloff KL, Koup RA, Donis RO, Gilbert PB; Immune Assays Team; Coronavirus Vaccine Prevention Network (CoVPN)/2019nCoV-301 Principal Investigators and Study Team; United States Government (USG)/CoVPN Biostatistics Team.","Nat Commun. 2023 Mar 22;14(1):1581. doi: 10.1038/s41467-023-37367-2.","Fong Y","Nat Commun","2023","2023/03/23","PMC10031713","","10.1038/s41467-023-37367-2"
