PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36385528","Effect of the intratumoral microbiota on spatial and cellular heterogeneity in cancer","Galeano Niño JL, Wu H, LaCourse KD, Kempchinsky AG, Baryiames A, Barber B, Futran N, Houlton J, Sather C, Sicinska E, Taylor A, Minot SS, Johnston CD, Bullman S.","Nature. 2022 Nov;611(7937):810-817. doi: 10.1038/s41586-022-05435-0. Epub 2022 Nov 16.","Galeano Niño JL","Nature","2022","2022/11/17","PMC9684076","","10.1038/s41586-022-05435-0"
"35421353","Colonization of the live biotherapeutic product VE303 and modulation of the microbiota and metabolites in healthy volunteers","Dsouza M, Menon R, Crossette E, Bhattarai SK, Schneider J, Kim YG, Reddy S, Caballero S, Felix C, Cornacchione L, Hendrickson J, Watson AR, Minot SS, Greenfield N, Schopf L, Szabady R, Patarroyo J, Smith W, Harrison P, Kuijper EJ, Kelly CP, Olle B, Bobilev D, Silber JL, Bucci V, Roberts B, Faith J, Norman JM.","Cell Host Microbe. 2022 Apr 13;30(4):583-598.e8. doi: 10.1016/j.chom.2022.03.016.","Dsouza M","Cell Host Microbe","2022","2022/04/14","","","10.1016/j.chom.2022.03.016"
"36384132","The cancer chemotherapeutic 5-fluorouracil is a potent Fusobacterium nucleatum inhibitor and its activity is modified by intratumoral microbiota","LaCourse KD, Zepeda-Rivera M, Kempchinsky AG, Baryiames A, Minot SS, Johnston CD, Bullman S.","Cell Rep. 2022 Nov 15;41(7):111625. doi: 10.1016/j.celrep.2022.111625.","LaCourse KD","Cell Rep","2022","2022/11/17","","","10.1016/j.celrep.2022.111625"
"36993193","VMAP: Vaginal Microbiome Atlas During Pregnancy","Leo AP, Oskotsky TT, Oskotsky B, Wibrand C, Roldan A, Tang A, Ha CWY, Wong RJ, Minot SS, Andreoletti G, Kosti I, Theis KR, Ng S, Lee YS, Diaz-Gimeno P, Bennett PR, MacIntyre DA, Lynch SV, Romero R, Tarca AL, Stevenson DK, Aghaeepour N, Golob J, Sirota M.","medRxiv. 2023 Apr 5:2023.03.21.23286947. doi: 10.1101/2023.03.21.23286947. Preprint.","Leo AP","medRxiv","2023","2023/03/30","PMC10055588","","10.1101/2023.03.21.23286947"
"37080202","Specific host metabolite and gut microbiome alterations are associated with bone loss during spaceflight","Bedree JK, Kerns K, Chen T, Lima BP, Liu G, Ha P, Shi J, Pan HC, Kim JK, Tran L, Minot SS, Hendrickson EL, Lamont EI, Schulte F, Hardt M, Stephens D, Patel M, Kokaras A, Stodieck L, Shirazi-Fard Y, Wu B, Kwak JH, Ting K, Soo C, McLean JS, He X, Shi W.","Cell Rep. 2023 May 30;42(5):112299. doi: 10.1016/j.celrep.2023.112299. Epub 2023 Apr 19.","Bedree JK","Cell Rep","2023","2023/04/20","PMC10344367","NIHMS1905342","10.1016/j.celrep.2023.112299"
"33952321","geneshot: gene-level metagenomics identifies genome islands associated with immunotherapy response","Minot SS, Barry KC, Kasman C, Golob JL, Willis AD.","Genome Biol. 2021 May 5;22(1):135. doi: 10.1186/s13059-021-02355-6.","Minot SS","Genome Biol","2021","2021/05/06","PMC8097837","","10.1186/s13059-021-02355-6"
"32298611","Strategies to Facilitate Translational Advances from Microbiome Surveys","Willis AD, Minot SS.","Trends Microbiol. 2020 May;28(5):329-330. doi: 10.1016/j.tim.2020.02.002. Epub 2020 Mar 4.","Willis AD","Trends Microbiol","2020","2020/04/17","PMC8118166","NIHMS1700563","10.1016/j.tim.2020.02.002"
"36945505","Microbiome Preterm Birth DREAM Challenge: Crowdsourcing Machine Learning Approaches to Advance Preterm Birth Research","Golob JL, Oskotsky TT, Tang AS, Roldan A, Chung V, Ha CWY, Wong RJ, Flynn KJ, Parraga-Leo A, Wibrand C, Minot SS, Andreoletti G, Kosti I, Bletz J, Nelson A, Gao J, Wei Z, Chen G, Tang ZZ, Novielli P, Romano D, Pantaleo E, Amoroso N, Monaco A, Vacca M, De Angelis M, Bellotti R, Tangaro S, Kuntzleman A, Bigcraft I, Techtmann S, Bae D, Kim E, Jeon J, Joe S; Preterm Birth DREAM Community; Theis KR, Ng S, Lee Li YS, Diaz-Gimeno P, Bennett PR, MacIntyre DA, Stolovitzky G, Lynch SV, Albrecht J, Gomez-Lopez N, Romero R, Stevenson DK, Aghaeepour N, Tarca AL, Costello JC, Sirota M.","medRxiv. 2023 Apr 11:2023.03.07.23286920. doi: 10.1101/2023.03.07.23286920. Preprint.","Golob JL","medRxiv","2023","2023/03/22","PMC10029035","","10.1101/2023.03.07.23286920"
"37350639","Optimizing metaproteomics database construction: lessons from a study of the vaginal microbiome","Lee EM, Srinivasan S, Purvine SO, Fiedler TL, Leiser OP, Proll SC, Minot SS, Deatherage Kaiser BL, Fredricks DN.","mSystems. 2023 Jun 23:e0067822. doi: 10.1128/msystems.00678-22. Online ahead of print.","Lee EM","mSystems","2023","2023/06/23","","","10.1128/msystems.00678-22"
"28934964","Comprehensive benchmarking and ensemble approaches for metagenomic classifiers","McIntyre ABR, Ounit R, Afshinnekoo E, Prill RJ, Hénaff E, Alexander N, Minot SS, Danko D, Foox J, Ahsanuddin S, Tighe S, Hasan NA, Subramanian P, Moffat K, Levy S, Lonardi S, Greenfield N, Colwell RR, Rosen GL, Mason CE.","Genome Biol. 2017 Sep 21;18(1):182. doi: 10.1186/s13059-017-1299-7.","McIntyre ABR","Genome Biol","2017","2017/09/23","PMC5609029","","10.1186/s13059-017-1299-7"
"30953547","Correction to: Comprehensive benchmarking and ensemble approaches for metagenomic classifiers","McIntyre ABR, Ounit R, Afshinnekoo E, Prill RJ, Hénaff E, Alexander N, Minot SS, Danko D, Foox J, Ahsanuddin S, Tighe S, Hasan NA, Subramanian P, Moffat K, Levy S, Lonardi S, Greenfield N, Colwell RR, Rosen GL, Mason CE.","Genome Biol. 2019 Apr 5;20(1):72. doi: 10.1186/s13059-019-1687-2.","McIntyre ABR","Genome Biol","2019","2019/04/07","PMC6450011","","10.1186/s13059-019-1687-2"
"27771207","Determining the cause of recurrent Clostridium difficile infection using whole genome sequencing","Sim JH, Truong C, Minot SS, Greenfield N, Budvytiene I, Lohith A, Anikst V, Pourmand N, Banaei N.","Diagn Microbiol Infect Dis. 2017 Jan;87(1):11-16. doi: 10.1016/j.diagmicrobio.2016.09.023. Epub 2016 Oct 5.","Sim JH","Diagn Microbiol Infect Dis","2017","2016/10/25","","","10.1016/j.diagmicrobio.2016.09.023"
"33205061","Human Tumor-Infiltrating MAIT Cells Display Hallmarks of Bacterial Antigen Recognition in Colorectal Cancer","Li S, Simoni Y, Becht E, Loh CY, Li N, Lachance D, Koo SL, Lim TP, Tan EKW, Mathew R, Nguyen A, Golovato J, Berkson JD, Prlic M, Lee B, Minot SS, Nagarajan N, Dey N, Tan DSW, Tan IB, Newell EW.","Cell Rep Med. 2020 Jun 23;1(3):100039. doi: 10.1016/j.xcrm.2020.100039. eCollection 2020 Jun 23.","Li S","Cell Rep Med","2020","2020/11/18","PMC7659584","","10.1016/j.xcrm.2020.100039"
"28194314","Evolutionary and functional implications of hypervariable loci within the skin virome","Hannigan GD, Zheng Q, Meisel JS, Minot SS, Bushman FD, Grice EA.","PeerJ. 2017 Feb 7;5:e2959. doi: 10.7717/peerj.2959. eCollection 2017.","Hannigan GD","PeerJ","2017","2017/02/15","PMC5299996","","10.7717/peerj.2959"
"32379863","Metagenomic Analysis Reveals Clinical SARS-CoV-2 Infection and Bacterial or Viral Superinfection and Colonization","Peddu V, Shean RC, Xie H, Shrestha L, Perchetti GA, Minot SS, Roychoudhury P, Huang ML, Nalla A, Reddy SB, Phung Q, Reinhardt A, Jerome KR, Greninger AL.","Clin Chem. 2020 Jul 1;66(7):966-972. doi: 10.1093/clinchem/hvaa106.","Peddu V","Clin Chem","2020","2020/05/08","PMC7239240","","10.1093/clinchem/hvaa106"
"37398369","Fusobacterium sphaericum sp. nov. , isolated from a human colon tumor, is prevalent in various human body sites and induces IL-8 secretion from colorectal cancer cells","Zepeda-Rivera MA, Eisele Y, Baryiames A, Wu H, LaCourse KD, Jones DS, Hauner H, Dewhirst FE, Minot SS, Johnston CD, Bullman S.","bioRxiv. 2023 Jun 16:2023.06.16.545380. doi: 10.1101/2023.06.16.545380. Preprint.","Zepeda-Rivera MA","bioRxiv","2023","2023/07/03","PMC10312772","","10.1101/2023.06.16.545380"
"30871856","De novo Assembly Vastly Expands the Known Microbial Universe","Minot SS.","Trends Microbiol. 2019 May;27(5):385-386. doi: 10.1016/j.tim.2019.02.007. Epub 2019 Mar 11.","Minot SS","Trends Microbiol","2019","2019/03/16","","","10.1016/j.tim.2019.02.007"
"33059593","In silico benchmarking of metagenomic tools for coding sequence detection reveals the limits of sensitivity and precision","Golob JL, Minot SS.","BMC Bioinformatics. 2020 Oct 15;21(1):459. doi: 10.1186/s12859-020-03802-0.","Golob JL","BMC Bioinformatics","2020","2020/10/16","PMC7559173","","10.1186/s12859-020-03802-0"
"25815165","Bacterial and viral identification and differentiation by amplicon sequencing on the MinION nanopore sequencer","Kilianski A, Haas JL, Corriveau EJ, Liem AT, Willis KL, Kadavy DR, Rosenzweig CN, Minot SS.","Gigascience. 2015 Mar 26;4:12. doi: 10.1186/s13742-015-0051-z. eCollection 2015.","Kilianski A","Gigascience","2015","2015/03/28","PMC4374364","","10.1186/s13742-015-0051-z"
"31370880","Clustering co-abundant genes identifies components of the gut microbiome that are reproducibly associated with colorectal cancer and inflammatory bowel disease","Minot SS, Willis AD.","Microbiome. 2019 Aug 1;7(1):110. doi: 10.1186/s40168-019-0722-6.","Minot SS","Microbiome","2019","2019/08/03","PMC6670193","","10.1186/s40168-019-0722-6"
"28327976","MinION™ nanopore sequencing of environmental metagenomes: a synthetic approach","Brown BL, Watson M, Minot SS, Rivera MC, Franklin RB.","Gigascience. 2017 Mar 1;6(3):1-10. doi: 10.1093/gigascience/gix007.","Brown BL","Gigascience","2017","2017/03/23","PMC5467020","","10.1093/gigascience/gix007"
"32466988","Strategies to Facilitate Translational Advances from Microbiome Surveys: (Trends in Microbiology 28, 329-330, 2020)","Willis AD, Minot SS.","Trends Microbiol. 2020 Jul;28(7):596. doi: 10.1016/j.tim.2020.05.005. Epub 2020 May 25.","Willis AD","Trends Microbiol","2020","2020/05/30","","","10.1016/j.tim.2020.05.005"
