PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33528741","Impact of Antiretroviral Therapy on Cancer Treatment Outcomes among People Living with HIV in Low- and Middle-Income Countries: a Systematic Review","Montaño MA, Chagomerana MB, Borok M, Painschab M, Uldrick TS, Bender Ignacio RA.","Curr HIV/AIDS Rep. 2021 Apr;18(2):105-116. doi: 10.1007/s11904-021-00542-5. Epub 2021 Feb 2.","Montaño MA","Curr HIV/AIDS Rep","2021","2021/02/02","PMC10227634","NIHMS1898935","10.1007/s11904-021-00542-5"
"34702087","Correlates of condomless anal intercourse with different types of sexual partners among men who have sex with men and transgender women in Lima, Peru","Bachman VF, Montaño MA, Ulrich A, Villaran M, Cabello R, Gonzalez P, Sanchez H, Lama JR, Duerr A.","AIDS Care. 2023 Jun;35(6):791-799. doi: 10.1080/09540121.2021.1994517. Epub 2021 Oct 26.","Bachman VF","AIDS Care","2023","2021/10/27","PMC9038957","NIHMS1751682","10.1080/09540121.2021.1994517"
"33148993","Sexual Behavior Among Men Who Have Sex With Men: The Need for More Targeted Outreach to Men Who Also Have Sex With Cisgender Women","Mayer ME, White E, Montano MA, Lama JR, Sanchez H, Cabello R, Sanchez J, Pasalar S, Duerr A.","J Acquir Immune Defic Syndr. 2021 Mar 1;86(3):265-270. doi: 10.1097/QAI.0000000000002568.","Mayer ME","J Acquir Immune Defic Syndr","2021","2020/11/05","PMC8605625","NIHMS1751835","10.1097/QAI.0000000000002568"
"22992928","Improved chemiluminescence assay for measuring antioxidant capacity of seminal plasma","Muller CH, Lee TK, Montaño MA.","Methods Mol Biol. 2013;927:363-76. doi: 10.1007/978-1-62703-038-0_31.","Muller CH","Methods Mol Biol","2013","2012/09/21","","","10.1007/978-1-62703-038-0_31"
"37012008","Assessing preferences for HIV pre-exposure prophylaxis (PrEP) delivery services via online pharmacies in Kenya: protocol for a discrete choice experiment","Chen Y, Saldarriaga EM, Montano MA, Ngure K, Thuo N, Kiptinness C, Rafferty M, Terris-Prestholt F, Stergachis A, Mugambi ML, Ortblad KF, Sharma M.","BMJ Open. 2023 Apr 3;13(4):e069195. doi: 10.1136/bmjopen-2022-069195.","Chen Y","BMJ Open","2023","2023/04/03","PMC10083853","","10.1136/bmjopen-2022-069195"
"34617189","Self-Identity, Beliefs, and Behavior Among Men Who Have Sex with Transgender Women: Implications for HIV Research and Interventions","Long JE, Montaño M, Sanchez H, Huerta L, Calderón Garcia D, Lama JR, Andrasik M, Duerr A.","Arch Sex Behav. 2021 Oct;50(7):3287-3295. doi: 10.1007/s10508-021-02019-3. Epub 2021 Oct 6.","Long JE","Arch Sex Behav","2021","2021/10/07","PMC8784120","NIHMS1770478","10.1007/s10508-021-02019-3"
"35149246","Performance of anterior nares and tongue swabs for nucleic acid, Nucleocapsid, and Spike antigen testing for detecting SARS-CoV-2 against nasopharyngeal PCR and viral culture","Montaño MA, Bemer MJ, Heller KB, Meisner A, Marfatia Z, Rechkina EA, Padgett LR, Ahls CL, Rains D, Hao L, Hsiang TY, Cangelosi GA, Greninger AL, Cantera JL, Golden A, Peck RB, Boyle DS, Gale M Jr, Drain PK.","Int J Infect Dis. 2022 Apr;117:287-294. doi: 10.1016/j.ijid.2022.02.009. Epub 2022 Feb 9.","Montaño MA","Int J Infect Dis","2022","2022/02/12","PMC8827388","","10.1016/j.ijid.2022.02.009"
"36913789","Duration of viral infectiousness and correlation with symptoms and diagnostic testing in non-hospitalized adults during acute SARS-CoV-2 infection: A longitudinal cohort study","Drain PK, Dalmat RR, Hao L, Bemer MJ, Budiawan E, Morton JF, Ireton RC, Hsiang TY, Marfatia Z, Prabhu R, Woosley C, Gichamo A, Rechkina E, Hamilton D, Montaño M, Cantera JL, Ball AS, Golez I, Smith E, Greninger AL, McElrath MJ, Thompson M, Grant BD, Meisner A, Gottlieb GS, Gale M Jr.","J Clin Virol. 2023 Apr;161:105420. doi: 10.1016/j.jcv.2023.105420. Epub 2023 Mar 3.","Drain PK","J Clin Virol","2023","2023/03/13","PMC9981266","","10.1016/j.jcv.2023.105420"
"30911687","Demographic-Specific Rates for Life Events in the Cardiovascular Health Study and Comparisons With Other Studies","Vitaliano PP, Fitzpatrick AL, Williams LE, Montano MA, Russo JE.","Innov Aging. 2018 Mar 26;2(1):igy005. doi: 10.1093/geroni/igy005. eCollection 2018 Jan.","Vitaliano PP","Innov Aging","2018","2019/03/27","PMC6177086","","10.1093/geroni/igy005"
"30117076","Changes in Sexual Behavior and STI Diagnoses Among MSM Initiating PrEP in a Clinic Setting","Montaño MA, Dombrowski JC, Dasgupta S, Golden MR, Duerr A, Manhart LE, Barbee LA, Khosropour CM.","AIDS Behav. 2019 Feb;23(2):548-555. doi: 10.1007/s10461-018-2252-9.","Montaño MA","AIDS Behav","2019","2018/08/18","PMC6368873","NIHMS1504041","10.1007/s10461-018-2252-9"
"33629225","A Rapid, High-Sensitivity SARS-CoV-2 Nucleocapsid Immunoassay to Aid Diagnosis of Acute COVID-19 at the Point of Care: A Clinical Performance Study","Drain PK, Ampajwala M, Chappel C, Gvozden AB, Hoppers M, Wang M, Rosen R, Young S, Zissman E, Montano M.","Infect Dis Ther. 2021 Jun;10(2):753-761. doi: 10.1007/s40121-021-00413-x. Epub 2021 Feb 24.","Drain PK","Infect Dis Ther","2021","2021/02/25","PMC7904038","","10.1007/s40121-021-00413-x"
