PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33617777","Single-dose administration and the influence of the timing of the booster dose on immunogenicity and efficacy of ChAdOx1 nCoV-19 (AZD1222) vaccine: a pooled analysis of four randomised trials","Voysey M, Costa Clemens SA, Madhi SA, Weckx LY, Folegatti PM, Aley PK, Angus B, Baillie VL, Barnabas SL, Bhorat QE, Bibi S, Briner C, Cicconi P, Clutterbuck EA, Collins AM, Cutland CL, Darton TC, Dheda K, Dold C, Duncan CJA, Emary KRW, Ewer KJ, Flaxman A, Fairlie L, Faust SN, Feng S, Ferreira DM, Finn A, Galiza E, Goodman AL, Green CM, Green CA, Greenland M, Hill C, Hill HC, Hirsch I, Izu A, Jenkin D, Joe CCD, Kerridge S, Koen A, Kwatra G, Lazarus R, Libri V, Lillie PJ, Marchevsky NG, Marshall RP, Mendes AVA, Milan EP, Minassian AM, McGregor A, Mujadidi YF, Nana A, Padayachee SD, Phillips DJ, Pittella A, Plested E, Pollock KM, Ramasamy MN, Ritchie AJ, Robinson H, Schwarzbold AV, Smith A, Song R, Snape MD, Sprinz E, Sutherland RK, Thomson EC, Török ME, Toshner M, Turner DPJ, Vekemans J, Villafana TL, White T, Williams CJ, Douglas AD, Hill AVS, Lambe T, Gilbert SC, Pollard AJ; Oxford COVID Vaccine Trial Group.","Lancet. 2021 Mar 6;397(10277):881-891. doi: 10.1016/S0140-6736(21)00432-3. Epub 2021 Feb 19.","Voysey M","Lancet","2021","2021/02/22","PMC7894131","","10.1016/S0140-6736(21)00432-3"
"35615712","Erratum: Parallel Induction of CH505 B Cell Ontogeny-Guided Neutralizing Antibodies and tHIVconsvX Conserved Mosaic-Specific T Cells against HIV-1","Wee EG, Moyo NA, Saunders KO, LaBranche C, Donati F, Capucci S, Parks R, Borthwick N, Hannoun Z, Montefiori DC, Haynes BF, Hanke T.","Mol Ther Methods Clin Dev. 2022 May 17;25:490. doi: 10.1016/j.omtm.2022.05.001. eCollection 2022 Jun 9.","Wee EG","Mol Ther Methods Clin Dev","2022","2022/05/26","PMC9121067","","10.1016/j.omtm.2022.05.001"
"36680295","Equine Arteritis Virus in Monocytic Cells Suppresses Differentiation and Function of Dendritic Cells","Moyo NA, Westcott D, Simmonds R, Steinbach F.","Viruses. 2023 Jan 16;15(1):255. doi: 10.3390/v15010255.","Moyo NA","Viruses","2023","2023/01/21","PMC9862904","","10.3390/v15010255"
"32485938","Specificity of CD8(+) T-Cell Responses Following Vaccination with Conserved Regions of HIV-1 in Nairobi, Kenya","Mohamed YS, Borthwick NJ, Moyo N, Murakoshi H, Akahoshi T, Siliquini F, Hannoun Z, Crook A, Hayes P, Fast PE, Mutua G, Jaoko W, Silva-Arrieta S, Llano A, Brander C, Takiguchi M, Hanke T.","Vaccines (Basel). 2020 May 29;8(2):260. doi: 10.3390/vaccines8020260.","Mohamed YS","Vaccines (Basel)","2020","2020/06/04","PMC7349992","","10.3390/vaccines8020260"
"30817809","Complete protection of the BALB/c and C57BL/6J mice against Ebola and Marburg virus lethal challenges by pan-filovirus T-cell epigraph vaccine","Rahim MN, Wee EG, He S, Audet J, Tierney K, Moyo N, Hannoun Z, Crook A, Baines A, Korber B, Qiu X, Hanke T.","PLoS Pathog. 2019 Feb 28;15(2):e1007564. doi: 10.1371/journal.ppat.1007564. eCollection 2019 Feb.","Rahim MN","PLoS Pathog","2019","2019/03/01","PMC6394903","","10.1371/journal.ppat.1007564"
"30547051","Efficient Induction of T Cells against Conserved HIV-1 Regions by Mosaic Vaccines Delivered as Self-Amplifying mRNA","Moyo N, Vogel AB, Buus S, Erbar S, Wee EG, Sahin U, Hanke T.","Mol Ther Methods Clin Dev. 2018 Oct 26;12:32-46. doi: 10.1016/j.omtm.2018.10.010. eCollection 2019 Mar 15.","Moyo N","Mol Ther Methods Clin Dev","2018","2018/12/15","PMC6258890","","10.1016/j.omtm.2018.10.010"
"31367651","Parallel Induction of CH505 B Cell Ontogeny-Guided Neutralizing Antibodies and tHIVconsvX Conserved Mosaic-Specific T Cells against HIV-1","Wee EG, Moyo NA, Saunders KO, LaBranche C, Donati F, Capucci S, Parks R, Borthwick N, Hannoun Z, Montefiori DC, Haynes BF, Hanke T.","Mol Ther Methods Clin Dev. 2019 Jun 29;14:148-160. doi: 10.1016/j.omtm.2019.06.003. eCollection 2019 Sep 13.","Wee EG","Mol Ther Methods Clin Dev","2019","2019/08/02","PMC6657236","","10.1016/j.omtm.2019.06.003"
"34169114","Effect of epitope variant co-delivery on the depth of CD8 T cell responses induced by HIV-1 conserved mosaic vaccines","Wee EG, Moyo N, Hannoun Z, Giorgi EE, Korber B, Hanke T.","Mol Ther Methods Clin Dev. 2021 May 5;21:741-753. doi: 10.1016/j.omtm.2021.04.018. eCollection 2021 Jun 11.","Wee EG","Mol Ther Methods Clin Dev","2021","2021/06/25","PMC8187930","","10.1016/j.omtm.2021.04.018"
"32640600","Tetravalent Immunogen Assembled from Conserved Regions of HIV-1 and Delivered as mRNA Demonstrates Potent Preclinical T-Cell Immunogenicity and Breadth","Moyo N, Wee EG, Korber B, Bahl K, Falcone S, Himansu S, Wong AL, Dey AK, Feinberg M, Hanke T.","Vaccines (Basel). 2020 Jul 6;8(3):360. doi: 10.3390/vaccines8030360.","Moyo N","Vaccines (Basel)","2020","2020/07/10","PMC7563622","","10.3390/vaccines8030360"
"23461413","Differentiation and activation of equine monocyte-derived dendritic cells are not correlated with CD206 or CD83 expression","Moyo NA, Marchi E, Steinbach F.","Immunology. 2013 Aug;139(4):472-83. doi: 10.1111/imm.12094.","Moyo NA","Immunology","2013","2013/03/07","PMC3719064","","10.1111/imm.12094"
"31156614","Priming With Recombinant BCG Expressing Novel HIV-1 Conserved Mosaic Immunogens and Boosting With Recombinant ChAdOx1 Is Safe, Stable, and Elicits HIV-1-Specific T-Cell Responses in BALB/c Mice","Kilpeläinen A, Saubi N, Guitart N, Moyo N, Wee EG, Ravi K, Hanke T, Joseph J.","Front Immunol. 2019 May 14;10:923. doi: 10.3389/fimmu.2019.00923. eCollection 2019.","Kilpeläinen A","Front Immunol","2019","2019/06/04","PMC6530512","","10.3389/fimmu.2019.00923"
"29772028","Randomized phase I trial HIV-CORE 003: Depletion of serum amyloid P component and immunogenicity of DNA vaccination against HIV-1","Borthwick NJ, Lane T, Moyo N, Crook A, Shim JM, Baines I, Wee EG, Hawkins PN, Gillmore JD, Hanke T, Pepys MB.","PLoS One. 2018 May 17;13(5):e0197299. doi: 10.1371/journal.pone.0197299. eCollection 2018.","Borthwick NJ","PLoS One","2018","2018/05/18","PMC5957335","","10.1371/journal.pone.0197299"
"28719652","Long-term follow up of human T-cell responses to conserved HIV-1 regions elicited by DNA/simian adenovirus/MVA vaccine regimens","Moyo N, Borthwick NJ, Wee EG, Capucci S, Crook A, Dorrell L, Hanke T.","PLoS One. 2017 Jul 18;12(7):e0181382. doi: 10.1371/journal.pone.0181382. eCollection 2017.","Moyo N","PLoS One","2017","2017/07/19","PMC5515449","","10.1371/journal.pone.0181382"
"25531566","Gammaherpesvirus infection modulates the temporal and spatial expression of SCGB1A1 (CCSP) and BPIFA1 (SPLUNC1) in the respiratory tract","Leeming GH, Kipar A, Hughes DJ, Bingle L, Bennett E, Moyo NA, Tripp RA, Bigley AL, Bingle CD, Sample JT, Stewart JP.","Lab Invest. 2015 Jun;95(6):610-24. doi: 10.1038/labinvest.2014.162. Epub 2014 Dec 22.","Leeming GH","Lab Invest","2015","2014/12/23","PMC4450743","","10.1038/labinvest.2014.162"
"27311020","Influenza A Virus Challenge Models in Cynomolgus Macaques Using the Authentic Inhaled Aerosol and Intra-Nasal Routes of Infection","Marriott AC, Dennis M, Kane JA, Gooch KE, Hatch G, Sharpe S, Prevosto C, Leeming G, Zekeng EG, Staples KJ, Hall G, Ryan KA, Bate S, Moyo N, Whittaker CJ, Hallis B, Silman NJ, Lalvani A, Wilkinson TM, Hiscox JA, Stewart JP, Carroll MW.","PLoS One. 2016 Jun 16;11(6):e0157887. doi: 10.1371/journal.pone.0157887. eCollection 2016.","Marriott AC","PLoS One","2016","2016/06/17","PMC4911124","","10.1371/journal.pone.0157887"
