PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36127367","KSHV (HHV8) vaccine: promises and potential pitfalls for a new anti-cancer vaccine","Casper C, Corey L, Cohen JI, Damania B, Gershon AA, Kaslow DC, Krug LT, Martin J, Mbulaiteye SM, Mocarski ES, Moore PS, Ogembo JG, Phipps W, Whitby D, Wood C.","NPJ Vaccines. 2022 Sep 20;7(1):108. doi: 10.1038/s41541-022-00535-4.","Casper C","NPJ Vaccines","2022","2022/09/20","PMC9488886","","10.1038/s41541-022-00535-4"
"30241258","Peer Mentoring at the Uganda Cancer Institute: A Novel Model for Career Development of Clinician-Scientists in Resource-Limited Settings","Phipps W, Kansiime R, Stevenson P, Orem J, Casper C, Morrow RA.","J Glob Oncol. 2018 Sep;4:1-11. doi: 10.1200/JGO.17.00134.","Phipps W","J Glob Oncol","2018","2018/09/23","PMC6223430","","10.1200/JGO.17.00134"
"31362783","Bacteremia in febrile cancer patients in Uganda","Lubwama M, Phipps W, Najjuka CF, Kajumbula H, Ddungu H, Kambugu JB, Bwanga F.","BMC Res Notes. 2019 Jul 30;12(1):464. doi: 10.1186/s13104-019-4520-9.","Lubwama M","BMC Res Notes","2019","2019/08/01","PMC6668181","","10.1186/s13104-019-4520-9"
"36441790","Genomic changes in Kaposi Sarcoma-associated Herpesvirus and their clinical correlates","Santiago JC, Adams SV, Towlerton A, Okuku F, Phipps W, Mullins JI.","PLoS Pathog. 2022 Nov 28;18(11):e1010524. doi: 10.1371/journal.ppat.1010524. eCollection 2022 Nov.","Santiago JC","PLoS Pathog","2022","2022/11/28","PMC9731496","","10.1371/journal.ppat.1010524"
"37325087","Variation within major internal repeats of KSHV in vivo","Santiago JC, Westfall DH, Adams SV, Okuku F, Phipps W, Mullins JI.","Virus Evol. 2023 May 22;9(1):vead034. doi: 10.1093/ve/vead034. eCollection 2023.","Santiago JC","Virus Evol","2023","2023/06/16","PMC10266750","","10.1093/ve/vead034"
"25117957","Challenges in the detection, prevention, and treatment of HIV-associated malignancies in low- and middle-income countries in Africa","Adebamowo CA, Casper C, Bhatia K, Mbulaiteye SM, Sasco AJ, Phipps W, Vermund SH, Krown SE.","J Acquir Immune Defic Syndr. 2014 Sep 1;67 Suppl 1(0 1):S17-26. doi: 10.1097/QAI.0000000000000255.","Adebamowo CA","J Acquir Immune Defic Syndr","2014","2014/08/14","PMC4392880","NIHMS677445","10.1097/QAI.0000000000000255"
"33465147","Intra-host changes in Kaposi sarcoma-associated herpesvirus genomes in Ugandan adults with Kaposi sarcoma","Santiago JC, Goldman JD, Zhao H, Pankow AP, Okuku F, Schmitt MW, Chen LH, Hill CA, Casper C, Phipps WT, Mullins JI.","PLoS Pathog. 2021 Jan 19;17(1):e1008594. doi: 10.1371/journal.ppat.1008594. eCollection 2021 Jan.","Santiago JC","PLoS Pathog","2021","2021/01/19","PMC7845968","","10.1371/journal.ppat.1008594"
"36083142","A prospective study of clinical outcomes of HIV-associated and HIV-negative Kaposi sarcoma in Uganda","Phipps W, Adams SV, Mooka P, Kafeero J, Sekitene S, Mubiru D, Nankoma J, Namirembe C, Okoche L, Namubiru EB, Kayemba S, Baker KK, Redman MW, Casper C, Orem J, Warren EH.","AIDS. 2023 Jan 1;37(1):51-59. doi: 10.1097/QAD.0000000000003376. Epub 2022 Sep 2.","Phipps W","AIDS","2023","2022/09/09","PMC9742184","NIHMS1833599","10.1097/QAD.0000000000003376"
"31205984","Presentation and Outcomes of Childhood Cancer Patients at Uganda Cancer Institute","Mutyaba I, Wabinga HR, Orem J, Casper C, Phipps W.","Glob Pediatr Health. 2019 May 18;6:2333794X19849749. doi: 10.1177/2333794X19849749. eCollection 2019.","Mutyaba I","Glob Pediatr Health","2019","2019/06/18","PMC6537233","","10.1177/2333794X19849749"
"28099188","Hepatitis B incidence and prevention with antiretroviral therapy among HIV-positive individuals in Uganda","Seremba E, Ssempijja V, Kalibbala S, Gray RH, Wawer MJ, Nalugoda F, Casper C, Phipps W, Ocama P, Serwadda D, Thomas DL, Reynolds SJ.","AIDS. 2017 Mar 27;31(6):781-786. doi: 10.1097/QAD.0000000000001399.","Seremba E","AIDS","2017","2017/01/19","PMC5380792","NIHMS850697","10.1097/QAD.0000000000001399"
"28107226","Evaluation of a Predictive Staging Model for HIV-Associated Kaposi Sarcoma in Uganda","Okuku F, Krantz EM, Kafeero J, Kamya MR, Orem J, Casper C, Phipps W.","J Acquir Immune Defic Syndr. 2017 Apr 15;74(5):548-554. doi: 10.1097/QAI.0000000000001286.","Okuku F","J Acquir Immune Defic Syndr","2017","2017/01/21","PMC5340582","NIHMS841480","10.1097/QAI.0000000000001286"
"25002726","Stage-stratified approach to AIDS-related Kaposi's sarcoma: implications for resource-limited environments","Krown SE, Borok MZ, Campbell TB, Casper C, Dittmer DP, Hosseinipour MC, Mitsuyasu RT, Mosam A, Orem J, Phipps WT.","J Clin Oncol. 2014 Aug 10;32(23):2512-3. doi: 10.1200/JCO.2014.55.8999. Epub 2014 Jul 7.","Krown SE","J Clin Oncol","2014","2014/07/09","PMC4809749","NIHMS696346","10.1200/JCO.2014.55.8999"
"24692069","Oral HHV-8 replication among women in Mombasa, Kenya","Phipps W, Saracino M, Selke S, Huang ML, Jaoko W, Mandaliya K, Wald A, Casper C, McClelland RS.","J Med Virol. 2014 Oct;86(10):1759-65. doi: 10.1002/jmv.23941. Epub 2014 Apr 1.","Phipps W","J Med Virol","2014","2014/04/03","PMC4289619","NIHMS609666","10.1002/jmv.23941"
"36483337","Knowledge and perceptions of antimicrobial resistance and antimicrobial stewardship among staff at a national cancer referral center in Uganda","Gulleen EA, Lubwama M, Komakech A, Krantz EM, Liu C, Phipps W.","Antimicrob Steward Healthc Epidemiol. 2022 Apr 6;2(1):e54. doi: 10.1017/ash.2022.28. eCollection 2022.","Gulleen EA","Antimicrob Steward Healthc Epidemiol","2022","2022/12/09","PMC9726558","","10.1017/ash.2022.28"
"30241139","HIV Status and Associated Clinical Characteristics Among Adult Patients With Cancer at the Uganda Cancer Institute","Bender Ignacio R, Ghadrshenas M, Low D, Orem J, Casper C, Phipps W.","J Glob Oncol. 2018 Sep;4:1-10. doi: 10.1200/JGO.17.00112. Epub 2017 Nov 16.","Bender Ignacio R","J Glob Oncol","2018","2018/09/23","PMC6181185","","10.1200/JGO.17.00112"
"29381560","Omega-3 decreases IL-6 levels in HIV and human herpesvirus-8 coinfected patients in Uganda","Coghill AE, Schenk JM, Mahkoul Z, Orem J, Phipps W, Casper C.","AIDS. 2018 Feb 20;32(4):505-512. doi: 10.1097/QAD.0000000000001722.","Coghill AE","AIDS","2018","2018/01/31","PMC5872837","NIHMS924066","10.1097/QAD.0000000000001722"
"30241147","Association Between HIV Infection and Cancer Stage at Presentation at the Uganda Cancer Institute","Menon MP, Coghill A, Mutyaba IO, Phipps WT, Okuku FM, Harlan JM, Orem J, Casper C.","J Glob Oncol. 2018 Sep;4:1-9. doi: 10.1200/JGO.17.00005. Epub 2017 Oct 16.","Menon MP","J Glob Oncol","2018","2018/09/23","PMC6180750","","10.1200/JGO.17.00005"
"23921614","Contribution of HIV infection to mortality among cancer patients in Uganda","Coghill AE, Newcomb PA, Madeleine MM, Richardson BA, Mutyaba I, Okuku F, Phipps W, Wabinga H, Orem J, Casper C.","AIDS. 2013 Nov 28;27(18):2933-42. doi: 10.1097/01.aids.0000433236.55937.cb.","Coghill AE","AIDS","2013","2013/08/08","PMC4319357","NIHMS609665","10.1097/01.aids.0000433236.55937.cb"
"32697667","Clinical Trials for Treatment and Prevention of HIV-Associated Malignancies in Sub-Saharan Africa: Building Capacity and Overcoming Barriers","Lin LL, Lakomy DS, Chiao EY, Strother RM, Wirth M, Cesarman E, Borok M, Busakhala N, Chibwesha CJ, Chinula L, Ndlovu N, Orem J, Phipps W, Sewram V, Vogt SL, Sparano JA, Mitsuyasu RT, Krown SE, Gopal S.","JCO Glob Oncol. 2020 Jul;6:1134-1146. doi: 10.1200/GO.20.00153.","Lin LL","JCO Glob Oncol","2020","2020/07/23","PMC7392698","","10.1200/GO.20.00153"
"34262989","Factors and Outcomes Related to the Use of Guideline-Recommended Antibiotics in Patients With Neutropenic Fever at the Uganda Cancer Institute","Gulleen EA, Adams SV, Chang BH, Falk L, Hazard R, Kabukye J, Scala J, Liu C, Phipps W, Abrahams O, Moore CC.","Open Forum Infect Dis. 2021 Jun 10;8(7):ofab307. doi: 10.1093/ofid/ofab307. eCollection 2021 Jul.","Gulleen EA","Open Forum Infect Dis","2021","2021/07/15","PMC8275883","","10.1093/ofid/ofab307"
