PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35081293","Homologous and Heterologous Covid-19 Booster Vaccinations","Atmar RL, Lyke KE, Deming ME, Jackson LA, Branche AR, El Sahly HM, Rostad CA, Martin JM, Johnston C, Rupp RE, Mulligan MJ, Brady RC, Frenck RW Jr, Bäcker M, Kottkamp AC, Babu TM, Rajakumar K, Edupuganti S, Dobrzynski D, Coler RN, Posavad CM, Archer JI, Crandon S, Nayak SU, Szydlo D, Zemanek JA, Dominguez Islas CP, Brown ER, Suthar MS, McElrath MJ, McDermott AB, O'Connell SE, Montefiori DC, Eaton A, Neuzil KM, Stephens DS, Roberts PC, Beigel JH; DMID 21-0012 Study Group.","N Engl J Med. 2022 Mar 17;386(11):1046-1057. doi: 10.1056/NEJMoa2116414. Epub 2022 Jan 26.","Atmar RL","N Engl J Med","2022","2022/01/26","PMC8820244","","10.1056/NEJMoa2116414"
"35798000","Rapid decline in vaccine-boosted neutralizing antibodies against SARS-CoV-2 Omicron variant","Lyke KE, Atmar RL, Islas CD, Posavad CM, Szydlo D, Paul Chourdhury R, Deming ME, Eaton A, Jackson LA, Branche AR, El Sahly HM, Rostad CA, Martin JM, Johnston C, Rupp RE, Mulligan MJ, Brady RC, Frenck RW Jr, Bäcker M, Kottkamp AC, Babu TM, Rajakumar K, Edupuganti S, Dobrzynski D, Coler RN, Archer JI, Crandon S, Zemanek JA, Brown ER, Neuzil KM, Stephens DS, Post DJ, Nayak SU, Suthar MS, Roberts PC, Beigel JH, Montefiori DC; DMID 21-0012 Study Group.","Cell Rep Med. 2022 Jul 19;3(7):100679. doi: 10.1016/j.xcrm.2022.100679. Epub 2022 Jun 20.","Lyke KE","Cell Rep Med","2022","2022/07/07","PMC9212999","","10.1016/j.xcrm.2022.100679"
"34385356","Durability of mRNA-1273 vaccine-induced antibodies against SARS-CoV-2 variants","Pegu A, O'Connell SE, Schmidt SD, O'Dell S, Talana CA, Lai L, Albert J, Anderson E, Bennett H, Corbett KS, Flach B, Jackson L, Leav B, Ledgerwood JE, Luke CJ, Makowski M, Nason MC, Roberts PC, Roederer M, Rebolledo PA, Rostad CA, Rouphael NG, Shi W, Wang L, Widge AT, Yang ES; mRNA-1273 Study Group§; Beigel JH, Graham BS, Mascola JR, Suthar MS, McDermott AB, Doria-Rose NA, Arega J, Beigel JH, Buchanan W, Elsafy M, Hoang B, Lampley R, Kolhekar A, Koo H, Luke C, Makhene M, Nayak S, Pikaart-Tautges R, Roberts PC, Russell J, Sindall E, Albert J, Kunwar P, Makowski M, Anderson EJ, Bechnak A, Bower M, Camacho-Gonzalez AF, Collins M, Drobeniuc A, Edara VV, Edupuganti S, Floyd K, Gibson T, Ackerley CMG, Johnson B, Kamidani S, Kao C, Kelley C, Lai L, Macenczak H, McCullough MP, Peters E, Phadke VK, Rebolledo PA, Rostad CA, Rouphael N, Scherer E, Sherman A, Stephens K, Suthar MS, Teherani M, Traenkner J, Winston J, Yildirim I, Barr L, Benoit J, Carste B, Choe J, Dunstan M, Erolin R, Ffitch J, Fields C, Jackson LA, Kiniry E, Lasicka S, Lee S, Nguyen M, Pimienta S, Suyehira J, Witte M, Bennett H, Altaras NE, et al.","Science. 2021 Sep 17;373(6561):1372-1377. doi: 10.1126/science.abj4176. Epub 2021 Aug 13.","Pegu A","Science","2021","2021/08/13","PMC8691522","NIHMS1761636","10.1126/science.abj4176"
"35857529","Omicron spike function and neutralizing activity elicited by a comprehensive panel of vaccines","Bowen JE, Addetia A, Dang HV, Stewart C, Brown JT, Sharkey WK, Sprouse KR, Walls AC, Mazzitelli IG, Logue JK, Franko NM, Czudnochowski N, Powell AE, Dellota E Jr, Ahmed K, Ansari AS, Cameroni E, Gori A, Bandera A, Posavad CM, Dan JM, Zhang Z, Weiskopf D, Sette A, Crotty S, Iqbal NT, Corti D, Geffner J, Snell G, Grifantini R, Chu HY, Veesler D.","Science. 2022 Aug 19;377(6608):890-894. doi: 10.1126/science.abq0203. Epub 2022 Jul 19.","Bowen JE","Science","2022","2022/07/20","PMC9348749","","10.1126/science.abq0203"
"35898343","SARS-CoV-2 Variant Vaccine Boosters Trial: Preliminary Analyses","Branche AR, Rouphael NG, Diemert DJ, Falsey AR, Losada C, Baden LR, Frey SE, Whitaker JA, Little SJ, Anderson EJ, Walter EB, Novak RM, Rupp R, Jackson LA, Babu TM, Kottkamp AC, Luetkemeyer AF, Immergluck LC, Presti RM, Bäcker M, Winokur PL, Mahgoub SM, Goepfert PA, Fusco DN, Malkin E, Bethony JM, Walsh EE, Graciaa DS, Samaha H, Sherman AC, Walsh SR, Abate G, Oikonomopoulou Z, El Sahly HM, Martin TCS, Rostad CA, Smith MJ, Ladner BG, Porterfield L, Dunstan M, Wald A, Davis T, Atmar RL, Mulligan MJ, Lyke KE, Posavad CM, Meagher MA, Stephens DS, Neuzil KM, Abebe K, Hill H, Albert J, Lewis TC, Giebeig LA, Eaton A, Netzl A, Wilks SH, Türeli S, Makhene M, Crandon S, Lee M, Nayak SU, Montefiori DC, Makowski M, Smith DJ, Roberts PC, Beigel JH; COVAIL Study Group.","medRxiv. 2022 Jul 15:2022.07.12.22277336. doi: 10.1101/2022.07.12.22277336. Preprint.","Branche AR","medRxiv","2022","2022/07/28","PMC9327623","","10.1101/2022.07.12.22277336"
"32991794","Safety and Immunogenicity of SARS-CoV-2 mRNA-1273 Vaccine in Older Adults","Anderson EJ, Rouphael NG, Widge AT, Jackson LA, Roberts PC, Makhene M, Chappell JD, Denison MR, Stevens LJ, Pruijssers AJ, McDermott AB, Flach B, Lin BC, Doria-Rose NA, O'Dell S, Schmidt SD, Corbett KS, Swanson PA 2nd, Padilla M, Neuzil KM, Bennett H, Leav B, Makowski M, Albert J, Cross K, Edara VV, Floyd K, Suthar MS, Martinez DR, Baric R, Buchanan W, Luke CJ, Phadke VK, Rostad CA, Ledgerwood JE, Graham BS, Beigel JH; mRNA-1273 Study Group.","N Engl J Med. 2020 Dec 17;383(25):2427-2438. doi: 10.1056/NEJMoa2028436. Epub 2020 Sep 29.","Anderson EJ","N Engl J Med","2020","2020/09/29","PMC7556339","","10.1056/NEJMoa2028436"
"33270381","Durability of Responses after SARS-CoV-2 mRNA-1273 Vaccination","Widge AT, Rouphael NG, Jackson LA, Anderson EJ, Roberts PC, Makhene M, Chappell JD, Denison MR, Stevens LJ, Pruijssers AJ, McDermott AB, Flach B, Lin BC, Doria-Rose NA, O'Dell S, Schmidt SD, Neuzil KM, Bennett H, Leav B, Makowski M, Albert J, Cross K, Edara VV, Floyd K, Suthar MS, Buchanan W, Luke CJ, Ledgerwood JE, Mascola JR, Graham BS, Beigel JH; mRNA-1273 Study Group.","N Engl J Med. 2021 Jan 7;384(1):80-82. doi: 10.1056/NEJMc2032195. Epub 2020 Dec 3.","Widge AT","N Engl J Med","2021","2020/12/03","PMC7727324","","10.1056/NEJMc2032195"
"35081298","SARS-CoV-2 Omicron Variant Neutralization after mRNA-1273 Booster Vaccination","Pajon R, Doria-Rose NA, Shen X, Schmidt SD, O'Dell S, McDanal C, Feng W, Tong J, Eaton A, Maglinao M, Tang H, Manning KE, Edara VV, Lai L, Ellis M, Moore KM, Floyd K, Foster SL, Posavad CM, Atmar RL, Lyke KE, Zhou T, Wang L, Zhang Y, Gaudinski MR, Black WP, Gordon I, Guech M, Ledgerwood JE, Misasi JN, Widge A, Sullivan NJ, Roberts PC, Beigel JH, Korber B, Baden LR, El Sahly H, Chalkias S, Zhou H, Feng J, Girard B, Das R, Aunins A, Edwards DK, Suthar MS, Mascola JR, Montefiori DC.","N Engl J Med. 2022 Mar 17;386(11):1088-1091. doi: 10.1056/NEJMc2119912. Epub 2022 Jan 26.","Pajon R","N Engl J Med","2022","2022/01/26","PMC8809504","","10.1056/NEJMc2119912"
"37433788","Immunogenicity of NVX-CoV2373 heterologous boost against SARS-CoV-2 variants","Lyke KE, Atmar RL, Dominguez Islas C, Posavad CM, Deming ME, Branche AR, Johnston C, El Sahly HM, Edupuganti S, Mulligan MJ, Jackson LA, Rupp RE, Rostad CA, Coler RN, Bäcker M, Kottkamp AC, Babu TM, Dobrzynski D, Martin JM, Brady RC, Frenck RW Jr, Rajakumar K, Kotloff K, Rouphael N, Szydlo D, PaulChoudhury R, Archer JI, Crandon S, Ingersoll B, Eaton A, Brown ER, McElrath MJ, Neuzil KM, Stephens DS, Post DJ, Lin BC, Serebryannyy L, Beigel JH, Montefiori DC, Roberts PC; DMID 21-0012 Study Group.","NPJ Vaccines. 2023 Jul 11;8(1):98. doi: 10.1038/s41541-023-00693-z.","Lyke KE","NPJ Vaccines","2023","2023/07/11","PMC10336079","","10.1038/s41541-023-00693-z"
"34671773","Heterologous SARS-CoV-2 Booster Vaccinations - Preliminary Report","Atmar RL, Lyke KE, Deming ME, Jackson LA, Branche AR, El Sahly HM, Rostad CA, Martin JM, Johnston C, Rupp RE, Mulligan MJ, Brady RC, Frenck RW, Bäcker M, Kottkamp AC, Babu TM, Rajakumar K, Edupuganti S, Dobryzynski D, Posavad CM, Archer JI, Crandon S, Nayak SU, Szydlo D, Zemanek J, Islas CPD, Brown ER, Suthar MS, McElrath MJ, McDermott AB, O'Connell SE, Montefiori DC, Eaton A, Neuzil KM, Stephens DS, Roberts PC, Beigel JH; DMID 21-0012 Study Group.","medRxiv. 2021 Oct 15:2021.10.10.21264827. doi: 10.1101/2021.10.10.21264827. Preprint.","Atmar RL","medRxiv","2021","2021/10/21","PMC8528081","","10.1101/2021.10.10.21264827"
