PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35545675","Extricating human tumour immune alterations from tissue inflammation","Mair F, Erickson JR, Frutoso M, Konecny AJ, Greene E, Voillet V, Maurice NJ, Rongvaux A, Dixon D, Barber B, Gottardo R, Prlic M.","Nature. 2022 May;605(7911):728-735. doi: 10.1038/s41586-022-04718-w. Epub 2022 May 11.","Mair F","Nature","2022","2022/05/11","PMC9132772","","10.1038/s41586-022-04718-w"
"36797499","Pyrimidine de novo synthesis inhibition selectively blocks effector but not memory T cell development","Scherer S, Oberle SG, Kanev K, Gerullis AK, Wu M, de Almeida GP, Puleston DJ, Baixauli F, Aly L, Greco A, Nizharadze T, Becker NB, Hoesslin MV, Donhauser LV, Berner J, Chu T, McNamara HA, Esencan Z, Roelli P, Wurmser C, Kleiter I, Vehreschild MJGT, Mayer CA, Knolle P, Klingenspor M, Fumagalli V, Iannacone M, Prlic M, Korn T, Pearce EL, Höfer T, Schulz AM, Zehn D.","Nat Immunol. 2023 Mar;24(3):501-515. doi: 10.1038/s41590-023-01436-x. Epub 2023 Feb 16.","Scherer S","Nat Immunol","2023","2023/02/16","","","10.1038/s41590-023-01436-x"
"34644150","Metabolic regulation by PD-1 signaling promotes long-lived quiescent CD8 T cell memory in mice","Kalia V, Yuzefpolskiy Y, Vegaraju A, Xiao H, Baumann F, Jatav S, Church C, Prlic M, Jha A, Nghiem P, Riddell S, Sarkar S.","Sci Transl Med. 2021 Oct 13;13(615):eaba6006. doi: 10.1126/scitranslmed.aba6006. Epub 2021 Oct 13.","Kalia V","Sci Transl Med","2021","2021/10/13","PMC8896520","NIHMS1774252","10.1126/scitranslmed.aba6006"
"36101938","A path forward to improving the specificity of immunotherapies","Barber B, Mair F, Prlic M.","Clin Transl Med. 2022 Sep;12(9):e1051. doi: 10.1002/ctm2.1051.","Barber B","Clin Transl Med","2022","2022/09/14","PMC9471041","","10.1002/ctm2.1051"
"32268080","A Targeted Multi-omic Analysis Approach Measures Protein Expression and Low-Abundance Transcripts on the Single-Cell Level","Mair F, Erickson JR, Voillet V, Simoni Y, Bi T, Tyznik AJ, Martin J, Gottardo R, Newell EW, Prlic M.","Cell Rep. 2020 Apr 7;31(1):107499. doi: 10.1016/j.celrep.2020.03.063.","Mair F","Cell Rep","2020","2020/04/09","PMC7224638","NIHMS1582940","10.1016/j.celrep.2020.03.063"
"22100157","iNKTs foil fungi","Prlic M, Hohl TM.","Cell Host Microbe. 2011 Nov 17;10(5):421-2. doi: 10.1016/j.chom.2011.11.003.","Prlic M","Cell Host Microbe","2011","2011/11/22","PMC3733374","NIHMS414047","10.1016/j.chom.2011.11.003"
"33468558","The Ugly Duckling Turned to Swan: A Change in Perception of Bystander-Activated Memory CD8 T Cells","Maurice NJ, Taber AK, Prlic M.","J Immunol. 2021 Feb 1;206(3):455-462. doi: 10.4049/jimmunol.2000937.","Maurice NJ","J Immunol","2021","2021/01/20","PMC7839146","NIHMS1631031","10.4049/jimmunol.2000937"
"33339211","Human Tissue-Resident Memory T Cells in the Maternal-Fetal Interface. Lost Soldiers or Special Forces?","DeJong CS, Maurice NJ, McCartney SA, Prlic M.","Cells. 2020 Dec 16;9(12):2699. doi: 10.3390/cells9122699.","DeJong CS","Cells","2020","2020/12/19","PMC7765601","","10.3390/cells9122699"
"37140024","Advances and challenges in studying the tissue-resident T cell compartment in the human female reproductive tract","Lund JM, Hladik F, Prlic M.","Immunol Rev. 2023 Jul;316(1):52-62. doi: 10.1111/imr.13212. Epub 2023 May 4.","Lund JM","Immunol Rev","2023","2023/05/04","","","10.1111/imr.13212"
"28987476","The MAIT conundrum - how human MAIT cells distinguish bacterial colonization from infection in mucosal barrier tissues","Berkson JD, Prlic M.","Immunol Lett. 2017 Dec;192:7-11. doi: 10.1016/j.imlet.2017.09.013. Epub 2017 Oct 5.","Berkson JD","Immunol Lett","2017","2017/10/09","PMC5685889","NIHMS912551","10.1016/j.imlet.2017.09.013"
