PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34706189","Early Treatment for Covid-19 with SARS-CoV-2 Neutralizing Antibody Sotrovimab","Gupta A, Gonzalez-Rojas Y, Juarez E, Crespo Casal M, Moya J, Falci DR, Sarkis E, Solis J, Zheng H, Scott N, Cathcart AL, Hebner CM, Sager J, Mogalian E, Tipple C, Peppercorn A, Alexander E, Pang PS, Free A, Brinson C, Aldinger M, Shapiro AE; COMET-ICE Investigators.","N Engl J Med. 2021 Nov 18;385(21):1941-1950. doi: 10.1056/NEJMoa2107934. Epub 2021 Oct 27.","Gupta A","N Engl J Med","2021","2021/10/27","","","10.1056/NEJMoa2107934"
"34587382","Phase 3 Safety and Efficacy of AZD1222 (ChAdOx1 nCoV-19) Covid-19 Vaccine","Falsey AR, Sobieszczyk ME, Hirsch I, Sproule S, Robb ML, Corey L, Neuzil KM, Hahn W, Hunt J, Mulligan MJ, McEvoy C, DeJesus E, Hassman M, Little SJ, Pahud BA, Durbin A, Pickrell P, Daar ES, Bush L, Solis J, Carr QO, Oyedele T, Buchbinder S, Cowden J, Vargas SL, Guerreros Benavides A, Call R, Keefer MC, Kirkpatrick BD, Pullman J, Tong T, Brewinski Isaacs M, Benkeser D, Janes HE, Nason MC, Green JA, Kelly EJ, Maaske J, Mueller N, Shoemaker K, Takas T, Marshall RP, Pangalos MN, Villafana T, Gonzalez-Lopez A; AstraZeneca AZD1222 Clinical Study Group.","N Engl J Med. 2021 Dec 16;385(25):2348-2360. doi: 10.1056/NEJMoa2105290. Epub 2021 Sep 29.","Falsey AR","N Engl J Med","2021","2021/09/29","PMC8522798","","10.1056/NEJMoa2105290"
"30045416","Treatment for HIV-associated cryptococcal meningitis","Tenforde MW, Shapiro AE, Rouse B, Jarvis JN, Li T, Eshun-Wilson I, Ford N.","Cochrane Database Syst Rev. 2018 Jul 25;7(7):CD005647. doi: 10.1002/14651858.CD005647.pub3.","Tenforde MW","Cochrane Database Syst Rev","2018","2018/07/26","PMC6513250","","10.1002/14651858.CD005647.pub3"
"35285853","Effect of Sotrovimab on Hospitalization or Death Among High-risk Patients With Mild to Moderate COVID-19: A Randomized Clinical Trial","Gupta A, Gonzalez-Rojas Y, Juarez E, Crespo Casal M, Moya J, Rodrigues Falci D, Sarkis E, Solis J, Zheng H, Scott N, Cathcart AL, Parra S, Sager JE, Austin D, Peppercorn A, Alexander E, Yeh WW, Brinson C, Aldinger M, Shapiro AE; COMET-ICE Investigators.","JAMA. 2022 Apr 5;327(13):1236-1246. doi: 10.1001/jama.2022.2832.","Gupta A","JAMA","2022","2022/03/14","PMC8922199","","10.1001/jama.2022.2832"
"36326680","Successful Treatment of Prolonged, Severe Coronavirus Disease 2019 Lower Respiratory Tract Disease in a B cell Acute Lymphoblastic Leukemia Patient With an Extended Course of Remdesivir and Nirmatrelvir/Ritonavir","Ford ES, Simmons W, Karmarkar EN, Yoke LH, Braimah AB, Orozco JJ, Ghiuzeli CM, Barnhill S, Sack CL, Benditt JO, Roychoudhury P, Greninger AL, Shapiro AE, Hammond JL, Rusnak JM, Dolsten M, Boeckh M, Liu C, Cheng GS, Corey L.","Clin Infect Dis. 2023 Mar 4;76(5):926-929. doi: 10.1093/cid/ciac868.","Ford ES","Clin Infect Dis","2023","2022/11/03","PMC10226728","","10.1093/cid/ciac868"
"33765456","Community-based active case-finding interventions for tuberculosis: a systematic review","Burke RM, Nliwasa M, Feasey HRA, Chaisson LH, Golub JE, Naufal F, Shapiro AE, Ruperez M, Telisinghe L, Ayles H, Corbett EL, MacPherson P.","Lancet Public Health. 2021 May;6(5):e283-e299. doi: 10.1016/S2468-2667(21)00033-5. Epub 2021 Mar 22.","Burke RM","Lancet Public Health","2021","2021/03/25","PMC8082281","","10.1016/S2468-2667(21)00033-5"
"34800394","Tuberculosis screening among ambulatory people living with HIV: a systematic review and individual participant data meta-analysis","Dhana A, Hamada Y, Kengne AP, Kerkhoff AD, Rangaka MX, Kredo T, Baddeley A, Miller C, Singh S, Hanifa Y, Grant AD, Fielding K, Affolabi D, Merle CS, Wachinou AP, Yoon C, Cattamanchi A, Hoffmann CJ, Martinson N, Mbu ET, Sander MS, Balcha TT, Skogmar S, Reeve BWP, Theron G, Ndlangalavu G, Modi S, Cavanaugh J, Swindells S, Chaisson RE, Ahmad Khan F, Howard AA, Wood R, Thit SS, Kyi MM, Hanson J, Drain PK, Shapiro AE, Kufa T, Churchyard G, Nguyen DT, Graviss EA, Bjerrum S, Johansen IS, Gersh JK, Horne DJ, LaCourse SM, Al-Darraji HAA, Kamarulzaman A, Kempker RR, Tukvadze N, Barr DA, Meintjes G, Maartens G.","Lancet Infect Dis. 2022 Apr;22(4):507-518. doi: 10.1016/S1473-3099(21)00387-X. Epub 2021 Nov 17.","Dhana A","Lancet Infect Dis","2022","2021/11/20","PMC8942858","NIHMS1782032","10.1016/S1473-3099(21)00387-X"
"35636907","COVID-19 in the Immunocompromised Host, Including People with Human Immunodeficiency Virus","Jakharia N, Subramanian AK, Shapiro AE.","Infect Dis Clin North Am. 2022 Jun;36(2):397-421. doi: 10.1016/j.idc.2022.01.006. Epub 2022 Feb 1.","Jakharia N","Infect Dis Clin North Am","2022","2022/05/31","PMC8806148","","10.1016/j.idc.2022.01.006"
"29946517","Extending the reach of integrated TB-HIV services with community health workers","Shapiro AE.","Public Health Action. 2018 Jun 21;8(2):32-33. doi: 10.5588/pha.18.0036.","Shapiro AE","Public Health Action","2018","2018/06/28","PMC6012963","","10.5588/pha.18.0036"
"18056669","An uneasy understanding","Shapiro AE.","Ann Intern Med. 2007 Dec 4;147(11):811-2. doi: 10.7326/0003-4819-147-11-200712040-00016.","Shapiro AE","Ann Intern Med","2007","2007/12/07","","","10.7326/0003-4819-147-11-200712040-00016"
