PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"15500864","NKG2D and Related Immunoreceptors","Strong RK, McFarland BJ.","Adv Protein Chem. 2004;68:281-312. doi: 10.1016/S0065-3233(04)68008-9.","Strong RK","Adv Protein Chem","2004","2004/10/27","","","10.1016/S0065-3233(04)68008-9"
"22389496","Mammalian siderophores, siderophore-binding lipocalins, and the labile iron pool","Correnti C, Strong RK.","J Biol Chem. 2012 Apr 20;287(17):13524-31. doi: 10.1074/jbc.R111.311829. Epub 2012 Mar 2.","Correnti C","J Biol Chem","2012","2012/03/06","PMC3340207","","10.1074/jbc.R111.311829"
"19184458","Siderocalins: siderophore-binding proteins of the innate immune system","Clifton MC, Corrent C, Strong RK.","Biometals. 2009 Aug;22(4):557-64. doi: 10.1007/s10534-009-9207-6. Epub 2009 Jan 30.","Clifton MC","Biometals","2009","2009/02/03","","","10.1007/s10534-009-9207-6"
"23046134","Structural insights into activation of antiviral NK cell responses","Finton KA, Strong RK.","Immunol Rev. 2012 Nov;250(1):239-57. doi: 10.1111/j.1600-065X.2012.01168.x.","Finton KA","Immunol Rev","2012","2012/10/11","PMC3471384","NIHMS395550","10.1111/j.1600-065X.2012.01168.x"
"29902106","Patient HLA Germline Variation and Transplant Survivorship","Petersdorf EW, Stevenson P, Malkki M, Strong RK, Spellman SR, Haagenson MD, Horowitz MM, Gooley T, Wang T.","J Clin Oncol. 2018 Aug 20;36(24):2524-2531. doi: 10.1200/JCO.2017.77.6534. Epub 2018 Jun 14.","Petersdorf EW","J Clin Oncol","2018","2018/06/15","PMC6097831","","10.1200/JCO.2017.77.6534"
"17398114","Polyspecificity of T cell and B cell receptor recognition","Wucherpfennig KW, Allen PM, Celada F, Cohen IR, De Boer R, Garcia KC, Goldstein B, Greenspan R, Hafler D, Hodgkin P, Huseby ES, Krakauer DC, Nemazee D, Perelson AS, Pinilla C, Strong RK, Sercarz EE.","Semin Immunol. 2007 Aug;19(4):216-24. doi: 10.1016/j.smim.2007.02.012. Epub 2007 Mar 29.","Wucherpfennig KW","Semin Immunol","2007","2007/04/03","PMC2034306","NIHMS28092","10.1016/j.smim.2007.02.012"
"34288726","Evaluation of Cell-Based and Surrogate SARS-CoV-2 Neutralization Assays","Sholukh AM, Fiore-Gartland A, Ford ES, Miner MD, Hou YJ, Tse LV, Kaiser H, Zhu H, Lu J, Madarampalli B, Park A, Lempp FA, St Germain R, Bossard EL, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Huang ML, Jerome KR, Baric RS, Montefiori D, Corey L.","J Clin Microbiol. 2021 Sep 20;59(10):e0052721. doi: 10.1128/JCM.00527-21. Epub 2021 Jul 21.","Sholukh AM","J Clin Microbiol","2021","2021/07/21","PMC8451402","","10.1128/JCM.00527-21"
"37193826","Large libraries of single-chain trimer peptide-MHCs enable antigen-specific CD8+ T cell discovery and analysis","Chour W, Choi J, Xie J, Chaffee ME, Schmitt TM, Finton K, DeLucia DC, Xu AM, Su Y, Chen DG, Zhang R, Yuan D, Hong S, Ng AHC, Butler JZ, Edmark RA, Jones LC, Murray KM, Peng S, Li G, Strong RK, Lee JK, Goldman JD, Greenberg PD, Heath JR.","Commun Biol. 2023 May 16;6(1):528. doi: 10.1038/s42003-023-04899-8.","Chour W","Commun Biol","2023","2023/05/16","PMC10186326","","10.1038/s42003-023-04899-8"
"25988188","Anti-CD28 Antibody-Initiated Cytokine Storm in Canines","Rosinski SL, Storb R, Strong RK, Sale GE, Stone DM, Gewe MM, Friend DJ, Abrams VK, Randolph-Habecker J, Graves SS.","Transplant Direct. 2015 Mar;1(2):e7. doi: 10.1097/TXD.0000000000000516.","Rosinski SL","Transplant Direct","2015","2015/05/20","PMC4433175","NIHMS662943","10.1097/TXD.0000000000000516"
"37207206","Effects of HLA single chain trimer design on peptide presentation and stability","Finton KAK, Rupert PB, Friend DJ, Dinca A, Lovelace ES, Buerger M, Rusnac DV, Foote-McNabb U, Chour W, Heath JR, Campbell JS, Pierce RH, Strong RK.","Front Immunol. 2023 May 3;14:1170462. doi: 10.3389/fimmu.2023.1170462. eCollection 2023.","Finton KAK","Front Immunol","2023","2023/05/19","PMC10189100","","10.3389/fimmu.2023.1170462"
