PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34694761","Antibiotics versus Appendectomy for Acute Appendicitis - Longer-Term Outcomes","CODA Collaborative; Davidson GH, Flum DR, Monsell SE, Kao LS, Voldal EC, Heagerty PJ, Fannon E, Lavallee DC, Bizzell B, Lawrence SO, Comstock BA, Krishnadasan A, Winchell RJ, Self WH, Thompson CM, Farjah F, Park PK, Alam HB, Saltzman D, Moran GJ, Kaji AH, DeUgarte DA, Salzberg M, Ferrigno L, Mandell KA, Price TP, Siparsky N, Glaser J, Ayoung-Chee P, Chiang W, Victory J, Chung B, Carter DW, Kutcher ME, Jones A, Holihan J, Liang MK, Faine BA, Cuschieri J, Evans HL, Johnson J, Patton JH, Coleman N, Fischkoff K, Drake FT, Sanchez SE, Parsons C, Odom SR, Kessler LG, Talan DA.","N Engl J Med. 2021 Dec 16;385(25):2395-2397. doi: 10.1056/NEJMc2116018. Epub 2021 Oct 25.","CODA Collaborative","N Engl J Med","2021","2021/10/25","","","10.1056/NEJMc2116018"
"35019975","Patient Factors Associated With Appendectomy Within 30 Days of Initiating Antibiotic Treatment for Appendicitis","Writing Group for the CODA Collaborative; Monsell SE, Voldal EC, Davidson GH, Fischkoff K, Coleman N, Bizzell B, Price T, Narayan M, Siparsky N, Thompson CM, Ayoung-Chee P, Odom SR, Sanchez S, Drake FT, Johnson J, Cuschieri J, Evans HL, Liang MK, McGrane K, Hatch Q, Victory J, Wisler J, Salzberg M, Ferrigno L, Kaji A, DeUgarte DA, Gibbons MM, Alam HB, Scott J, Kao LS, Self WH, Winchell RJ, Villegas CM, Talan DA, Kessler LG, Lavallee DC, Krishnadasan A, Lawrence SO, Comstock B, Fannon E, Flum DR, Heagerty PJ.","JAMA Surg. 2022 Mar 1;157(3):e216900. doi: 10.1001/jamasurg.2021.6900. Epub 2022 Mar 9.","Writing Group for the CODA Collaborative","JAMA Surg","2022","2022/01/12","PMC8756360","","10.1001/jamasurg.2021.6900"
"35796152","Analysis of Outcomes Associated With Outpatient Management of Nonoperatively Treated Patients With Appendicitis","Writing Group for the CODA Collaborative; Talan DA, Moran GJ, Krishnadasan A, Monsell SE, Faine BA, Uribe L, Kaji AH, DeUgarte DA, Self WH, Shapiro NI, Cuschieri J, Glaser J, Park PK, Price TP, Siparsky N, Sanchez SE, Machado-Aranda DA, Victory J, Ayoung-Chee P, Chiang W, Corsa J, Evans HL, Ferrigno L, Garcia L, Hatch Q, Horton MD, Johnson J, Jones A, Kao LS, Kelly A, Kim D, Kutcher ME, Liang MK, Maghami N, McGrane K, Minko E, Mohr C, Neufeld M, Patton JH, Rog C, Rushing A, Sabbatini AK, Salzberg M, Thompson CM, Tichter A, Wisler J, Bizzell B, Fannon E, Lawrence SO, Voldal EC, Lavallee DC, Comstock BA, Heagerty PJ, Davidson GH, Flum DR, Kessler LG.","JAMA Netw Open. 2022 Jul 1;5(7):e2220039. doi: 10.1001/jamanetworkopen.2022.20039.","Writing Group for the CODA Collaborative","JAMA Netw Open","2022","2022/07/07","PMC9250049","","10.1001/jamanetworkopen.2022.20039"
"35257614","Random effect misspecification in stepped wedge designs","Voldal EC, Xia F, Kenny A, Heagerty PJ, Hughes JP.","Clin Trials. 2022 Aug;19(4):380-383. doi: 10.1177/17407745221084702. Epub 2022 Mar 8.","Voldal EC","Clin Trials","2022","2022/03/08","PMC9378360","NIHMS1781141","10.1177/17407745221084702"
"36988939","Patient Beliefs About Antibiotics for Appendicitis and Outcomes-Reply","Zhang IY, Voldal EC, Flum DR.","JAMA Surg. 2023 Jul 1;158(7):778-779. doi: 10.1001/jamasurg.2023.0234.","Zhang IY","JAMA Surg","2023","2023/03/29","","","10.1001/jamasurg.2023.0234"
"35612859","Self-selection vs Randomized Assignment of Treatment for Appendicitis","Writing Group for the CODA Collaborative; Davidson GH, Monsell SE, Evans H, Voldal EC, Fannon E, Lawrence SO, Krishnadasan A, Talan DA, Bizzell B, Heagerty PJ, Comstock BA, Lavallee DC, Villegas C, Winchell R, Thompson CM, Self WH, Kao LS, Dodwad SJ, Sabbatini AK, Droullard D, Machado-Aranda D, Gibbons MM, Kaji AH, DeUgarte DA, Ferrigno L, Salzberg M, Mandell KA, Siparsky N, Price TP, Raman A, Corsa J, Wisler J, Ayoung-Chee P, Victory J, Jones A, Kutcher M, McGrane K, Holihan J, Liang MK, Cuschieri J, Johnson J, Fischkoff K, Drake FT, Sanchez SE, Odom SR, Kessler LG, Flum DR.","JAMA Surg. 2022 Jul 1;157(7):598-608. doi: 10.1001/jamasurg.2022.1554.","Writing Group for the CODA Collaborative","JAMA Surg","2022","2022/05/25","PMC9134042","","10.1001/jamasurg.2022.1554"
"35137437","Model misspecification in stepped wedge trials: Random effects for time or treatment","Voldal EC, Xia F, Kenny A, Heagerty PJ, Hughes JP.","Stat Med. 2022 May 10;41(10):1751-1766. doi: 10.1002/sim.9326. Epub 2022 Feb 8.","Voldal EC","Stat Med","2022","2022/02/09","PMC9007853","NIHMS1776232","10.1002/sim.9326"
"34488848","Power and sample size calculation for stepped-wedge designs with discrete outcomes","Xia F, Hughes JP, Voldal EC, Heagerty PJ.","Trials. 2021 Sep 6;22(1):598. doi: 10.1186/s13063-021-05542-9.","Xia F","Trials","2021","2021/09/07","PMC8419932","","10.1186/s13063-021-05542-9"
"35774016","Analysis of stepped wedge cluster randomized trials in the presence of a time-varying treatment effect","Kenny A, Voldal EC, Xia F, Heagerty PJ, Hughes JP.","Stat Med. 2022 Sep 30;41(22):4311-4339. doi: 10.1002/sim.9511. Epub 2022 Jun 30.","Kenny A","Stat Med","2022","2022/07/01","PMC9481733","NIHMS1818186","10.1002/sim.9511"
"32554025","swCRTdesign: An RPackage for Stepped Wedge Trial Design and Analysis","Voldal EC, Hakhu NR, Xia F, Heagerty PJ, Hughes JP.","Comput Methods Programs Biomed. 2020 Nov;196:105514. doi: 10.1016/j.cmpb.2020.105514. Epub 2020 May 21.","Voldal EC","Comput Methods Programs Biomed","2020","2020/06/20","PMC8559260","NIHMS1745966","10.1016/j.cmpb.2020.105514"
