PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32728248","Perspectives on ENCODE","ENCODE Project Consortium; Snyder MP, Gingeras TR, Moore JE, Weng Z, Gerstein MB, Ren B, Hardison RC, Stamatoyannopoulos JA, Graveley BR, Feingold EA, Pazin MJ, Pagan M, Gilchrist DA, Hitz BC, Cherry JM, Bernstein BE, Mendenhall EM, Zerbino DR, Frankish A, Flicek P, Myers RM.","Nature. 2020 Jul;583(7818):693-698. doi: 10.1038/s41586-020-2449-8. Epub 2020 Jul 29.","ENCODE Project Consortium","Nature","2020","2020/07/31","PMC7410827","","10.1038/s41586-020-2449-8"
"35474002","Author Correction: Perspectives on ENCODE","ENCODE Project Consortium; Snyder MP, Gingeras TR, Moore JE, Weng Z, Gerstein MB, Ren B, Hardison RC, Stamatoyannopoulos JA, Graveley BR, Feingold EA, Pazin MJ, Pagan M, Gilchrist DA, Hitz BC, Cherry JM, Bernstein BE, Mendenhall EM, Zerbino DR, Frankish A, Flicek P, Myers RM.","Nature. 2022 May;605(7909):E4. doi: 10.1038/s41586-021-04213-8.","ENCODE Project Consortium","Nature","2022","2022/04/27","PMC9095462","","10.1038/s41586-021-04213-8"
"32728246","A large-scale binding and functional map of human RNA-binding proteins","Van Nostrand EL, Freese P, Pratt GA, Wang X, Wei X, Xiao R, Blue SM, Chen JY, Cody NAL, Dominguez D, Olson S, Sundararaman B, Zhan L, Bazile C, Bouvrette LPB, Bergalet J, Duff MO, Garcia KE, Gelboin-Burkhart C, Hochman M, Lambert NJ, Li H, McGurk MP, Nguyen TB, Palden T, Rabano I, Sathe S, Stanton R, Su A, Wang R, Yee BA, Zhou B, Louie AL, Aigner S, Fu XD, Lécuyer E, Burge CB, Graveley BR, Yeo GW.","Nature. 2020 Jul;583(7818):711-719. doi: 10.1038/s41586-020-2077-3. Epub 2020 Jul 29.","Van Nostrand EL","Nature","2020","2020/07/31","PMC7410833","","10.1038/s41586-020-2077-3"
"32728249","Expanded encyclopaedias of DNA elements in the human and mouse genomes","ENCODE Project Consortium; Moore JE, Purcaro MJ, Pratt HE, Epstein CB, Shoresh N, Adrian J, Kawli T, Davis CA, Dobin A, Kaul R, Halow J, Van Nostrand EL, Freese P, Gorkin DU, Shen Y, He Y, Mackiewicz M, Pauli-Behn F, Williams BA, Mortazavi A, Keller CA, Zhang XO, Elhajjajy SI, Huey J, Dickel DE, Snetkova V, Wei X, Wang X, Rivera-Mulia JC, Rozowsky J, Zhang J, Chhetri SB, Zhang J, Victorsen A, White KP, Visel A, Yeo GW, Burge CB, Lécuyer E, Gilbert DM, Dekker J, Rinn J, Mendenhall EM, Ecker JR, Kellis M, Klein RJ, Noble WS, Kundaje A, Guigó R, Farnham PJ, Cherry JM, Myers RM, Ren B, Graveley BR, Gerstein MB, Pennacchio LA, Snyder MP, Bernstein BE, Wold B, Hardison RC, Gingeras TR, Stamatoyannopoulos JA, Weng Z.","Nature. 2020 Jul;583(7818):699-710. doi: 10.1038/s41586-020-2493-4. Epub 2020 Jul 29.","ENCODE Project Consortium","Nature","2020","2020/07/31","PMC7410828","","10.1038/s41586-020-2493-4"
"34028794","Pelvic pain: What are the symptoms and predictors for surgery, endometriosis and endometriosis severity","Conroy I, Mooney SS, Kavanagh S, Duff M, Jakab I, Robertson K, Fitzgerald AL, Mccutchan A, Madden S, Maxwell S, Nair S, Origanti N, Quinless A, Mirowski-Allen K, Sewell M, Grover SR.","Aust N Z J Obstet Gynaecol. 2021 Oct;61(5):765-772. doi: 10.1111/ajo.13379. Epub 2021 May 24.","Conroy I","Aust N Z J Obstet Gynaecol","2021","2021/05/24","","","10.1111/ajo.13379"
"25462561","Thermodynamics and solvent linkage of macromolecule-ligand interactions","Duff MR Jr, Howell EE.","Methods. 2015 Apr;76:51-60. doi: 10.1016/j.ymeth.2014.11.009. Epub 2014 Nov 21.","Duff MR Jr","Methods","2015","2014/12/03","PMC4380819","NIHMS644121","10.1016/j.ymeth.2014.11.009"
"28766937","A Structural Basis for Biguanide Activity","Gabel SA, Duff MR, Pedersen LC, DeRose EF, Krahn JM, Howell EE, London RE.","Biochemistry. 2017 Sep 12;56(36):4786-4798. doi: 10.1021/acs.biochem.7b00619. Epub 2017 Aug 29.","Gabel SA","Biochemistry","2017","2017/08/03","PMC5740485","NIHMS922451","10.1021/acs.biochem.7b00619"
"30030232","In Vivo Titration of Folate Pathway Enzymes","Nambiar D, Berhane TK, Shew R, Schwarz B, Duff MR Jr, Howell EE.","Appl Environ Microbiol. 2018 Sep 17;84(19):e01139-18. doi: 10.1128/AEM.01139-18. Print 2018 Oct 1.","Nambiar D","Appl Environ Microbiol","2018","2018/07/22","PMC6146990","","10.1128/AEM.01139-18"
"21179090","The developmental transcriptome of Drosophila melanogaster","Graveley BR, Brooks AN, Carlson JW, Duff MO, Landolin JM, Yang L, Artieri CG, van Baren MJ, Boley N, Booth BW, Brown JB, Cherbas L, Davis CA, Dobin A, Li R, Lin W, Malone JH, Mattiuzzo NR, Miller D, Sturgill D, Tuch BB, Zaleski C, Zhang D, Blanchette M, Dudoit S, Eads B, Green RE, Hammonds A, Jiang L, Kapranov P, Langton L, Perrimon N, Sandler JE, Wan KH, Willingham A, Zhang Y, Zou Y, Andrews J, Bickel PJ, Brenner SE, Brent MR, Cherbas P, Gingeras TR, Hoskins RA, Kaufman TC, Oliver B, Celniker SE.","Nature. 2011 Mar 24;471(7339):473-9. doi: 10.1038/nature09715. Epub 2010 Dec 22.","Graveley BR","Nature","2011","2010/12/24","PMC3075879","NIHMS256122","10.1038/nature09715"
"21324177","Genomewide characterization of non-polyadenylated RNAs","Yang L, Duff MO, Graveley BR, Carmichael GG, Chen LL.","Genome Biol. 2011;12(2):R16. doi: 10.1186/gb-2011-12-2-r16. Epub 2011 Feb 16.","Yang L","Genome Biol","2011","2011/02/18","PMC3188798","","10.1186/gb-2011-12-2-r16"
