PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34210573","Evidence for antibody as a protective correlate for COVID-19 vaccines","Earle KA, Ambrosino DM, Fiore-Gartland A, Goldblatt D, Gilbert PB, Siber GR, Dull P, Plotkin SA.","Vaccine. 2021 Jul 22;39(32):4423-4428. doi: 10.1016/j.vaccine.2021.05.063. Epub 2021 May 24.","Earle KA","Vaccine","2021","2021/07/02","PMC8142841","","10.1016/j.vaccine.2021.05.063"
"33508224","Biomarker-guided tuberculosis preventive therapy (CORTIS): a randomised controlled trial","Scriba TJ, Fiore-Gartland A, Penn-Nicholson A, Mulenga H, Kimbung Mbandi S, Borate B, Mendelsohn SC, Hadley K, Hikuam C, Kaskar M, Musvosvi M, Bilek N, Self S, Sumner T, White RG, Erasmus M, Jaxa L, Raphela R, Innes C, Brumskine W, Hiemstra A, Malherbe ST, Hassan-Moosa R, Tameris M, Walzl G, Naidoo K, Churchyard G, Hatherill M; CORTIS-01 Study Team.","Lancet Infect Dis. 2021 Mar;21(3):354-365. doi: 10.1016/S1473-3099(20)30914-2. Epub 2021 Jan 25.","Scriba TJ","Lancet Infect Dis","2021","2021/01/28","PMC7907670","","10.1016/S1473-3099(20)30914-2"
"28636592","Quantifiable predictive features define epitope-specific T cell receptor repertoires","Dash P, Fiore-Gartland AJ, Hertz T, Wang GC, Sharma S, Souquette A, Crawford JC, Clemens EB, Nguyen THO, Kedzierska K, La Gruta NL, Bradley P, Thomas PG.","Nature. 2017 Jul 6;547(7661):89-93. doi: 10.1038/nature22383. Epub 2017 Jun 21.","Dash P","Nature","2017","2017/06/22","PMC5616171","NIHMS906385","10.1038/nature22383"
"35675923","End-point definition and trial design to advance tuberculosis vaccine development","Garcia-Basteiro AL, White RG, Tait D, Schmidt AC, Rangaka MX, Quaife M, Nemes E, Mogg R, Hill PC, Harris RC, Hanekom WA, Frick M, Fiore-Gartland A, Evans T, Dagnew AF, Churchyard G, Cobelens F, Behr MA, Hatherill M.","Eur Respir Rev. 2022 Jun 7;31(164):220044. doi: 10.1183/16000617.0044-2022. Print 2022 Jun 30.","Garcia-Basteiro AL","Eur Respir Rev","2022","2022/06/08","PMC9488660","","10.1183/16000617.0044-2022"
"36240834","Developing tuberculosis vaccines for people with HIV: consensus statements from an international expert panel","Miner MD, Hatherill M, Mave V, Gray GE, Nachman S, Read SW, White RG, Hesseling A, Cobelens F, Patel S, Frick M, Bailey T, Seder R, Flynn J, Rengarajan J, Kaushal D, Hanekom W, Schmidt AC, Scriba TJ, Nemes E, Andersen-Nissen E, Landay A, Dorman SE, Aldrovandi G, Cranmer LM, Day CL, Garcia-Basteiro AL, Fiore-Gartland A, Mogg R, Kublin JG, Gupta A, Churchyard G.","Lancet HIV. 2022 Nov;9(11):e791-e800. doi: 10.1016/S2352-3018(22)00255-7. Epub 2022 Oct 11.","Miner MD","Lancet HIV","2022","2022/10/14","PMC9667733","NIHMS1843749","10.1016/S2352-3018(22)00255-7"
"34933765","Towards a population-based threshold of protection for COVID-19 vaccines","Goldblatt D, Fiore-Gartland A, Johnson M, Hunt A, Bengt C, Zavadska D, Snipe HD, Brown JS, Workman L, Zar HJ, Montefiori D, Shen X, Dull P, Plotkin S, Siber G, Ambrosino D.","Vaccine. 2022 Jan 21;40(2):306-315. doi: 10.1016/j.vaccine.2021.12.006. Epub 2021 Dec 15.","Goldblatt D","Vaccine","2022","2021/12/22","PMC8673730","","10.1016/j.vaccine.2021.12.006"
"36087210","Flexible Distance-Based TCR Analysis in Python with tcrdist3","Mayer-Blackwell K, Fiore-Gartland A, Thomas PG.","Methods Mol Biol. 2022;2574:309-366. doi: 10.1007/978-1-0716-2712-9_16.","Mayer-Blackwell K","Methods Mol Biol","2022","2022/09/10","PMC9719034","NIHMS1842495","10.1007/978-1-0716-2712-9_16"
"36824851","The Regulation of Nucleic Acid Vaccine Responses by the Microbiome","Johnson AMF, Hager K, Alameh MG, Van P, Potchen N, Mayer-Blackwell K, Fiore-Gartland A, Minot S, Lin PJC, Tam YK, Weissman D, Kublin JG.","bioRxiv. 2023 Feb 19:2023.02.18.529093. doi: 10.1101/2023.02.18.529093. Preprint.","Johnson AMF","bioRxiv","2023","2023/02/24","PMC9949122","","10.1101/2023.02.18.529093"
"37091190","The quest for vaccine-induced immune correlates of protection against tuberculosis","Nemes E, Fiore-Gartland A, Boggiano C, Coccia M, D'Souza P, Gilbert P, Ginsberg A, Hyrien O, Laddy D, Makar K, McElrath MJ, Ramachandra L, Schmidt AC, Shororbani S, Sunshine J, Tomaras G, Yu WH, Scriba TJ, Frahm N; BCG Correlates PIs Study Team, M72 Correlates PIs Study Team.","Vaccine Insights. 2022 Jul;1(3):165-181. doi: 10.18609/vac/2022.027. Epub 2022 Jul 29.","Nemes E","Vaccine Insights","2022","2023/04/24","PMC10117634","NIHMS1865255","10.18609/vac/2022.027"
"34288726","Evaluation of Cell-Based and Surrogate SARS-CoV-2 Neutralization Assays","Sholukh AM, Fiore-Gartland A, Ford ES, Miner MD, Hou YJ, Tse LV, Kaiser H, Zhu H, Lu J, Madarampalli B, Park A, Lempp FA, St Germain R, Bossard EL, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Huang ML, Jerome KR, Baric RS, Montefiori D, Corey L.","J Clin Microbiol. 2021 Sep 20;59(10):e0052721. doi: 10.1128/JCM.00527-21. Epub 2021 Jul 21.","Sholukh AM","J Clin Microbiol","2021","2021/07/21","PMC8451402","","10.1128/JCM.00527-21"
"35432299","Durable Expansion of TCR-δ Meta-Clonotypes After BCG Revaccination in Humans","James CA, Yu KKQ, Mayer-Blackwell K, Fiore-Gartland A, Smith MT, Layton ED, Johnson JL, Hanekom WA, Scriba TJ, Seshadri C.","Front Immunol. 2022 Mar 30;13:834757. doi: 10.3389/fimmu.2022.834757. eCollection 2022.","James CA","Front Immunol","2022","2022/04/18","PMC9005636","","10.3389/fimmu.2022.834757"
